Key,Type,English,Desc,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
PR_BC_MOUNTED_ITEMS_PROF,Text,MOUNTED ITEM PROFICIENCY,,掛載物品 熟練專精,,,,,НЕЙРО-ИНТЕРФЕЙС,,
PR_BC_MOUNTED_ITEMS_PROF_DESC,Text,Proficiency with Robotic Arms and Mounted Weapons.,,機械手臂和掛載武器 熟練專精,,,,,Умение пользоваться роботизированными манипуляторами и встроенным в бронекостюм оружием,,
PR_BC_STIMPACK_ITEM_DESC,Text,A potent stimulant that regenerates body parts and instils Frenzy.,,強效興奮劑，可以使身體部位再生並注入瘋狂。,,,,,"Мощный стимулятор, который регенерирует части тела и вызывает ""Иссупление""",,
PR_BC_STIMPACK_ABILITY_DESC,Text,"Re-enables and restores 20 Hit Points on Body Parts, also instills Frenzy on target, increasing movement by 33% for 2 turns, with panic immunity.",,重新啟用並恢復身體部位 20 點生命值，同時對目標注入狂亂，增加移動力 33%，持續 2 回合，並免疫恐慌。,,,,,"Лечит 20 хитов частям тела и восстанавливает их. Вызывает ""Иссупление"" (увеличение Скорости на 33% и невосприимчивость к панике) на 2 хода",,
PR_BC_PSYCHIC_WARD_DESC,Text,Allies within 10 tiles are immune to panic and psychic scream damage.,,10 格內的盟友免疫恐慌與心靈尖叫傷害。,,,,,Союзники в радиусе 10 клеток не восприимчивы к панике и психическому воплю,,
PR_BC_POISON_STATUS_DESC,Text,"At start of turn poison is subtracted from Hit Points and Willpoints reduced by 3, then poison value is reduced by 10. Poison causes trembling (-50% Accuracy).",,"回合開始時，生命值減去中毒值，意志點數減少 3，然後中毒值減少 10。中毒會導致 -50% 精確度
",,,,,"В начале хода сила яда вычитается из хитов, Очки Воли уменьшаются на 3, затем сила яда снижается на 10. Отравление ядом вызывает ""Тремор"" (-50% точности)",,
PR_BC_RECOVER_DESC,Text,Recover Will Points equal to half Willpower. Divide any Viral damage by 2 and become immune to Panic for 1 turn. End the actor's current turn.,,恢復等於一半意志力的意志點數。將任何病毒傷害除以 2，並在 1 個回合內免疫恐慌。結束行動者目前的回合。,,,,,"Восстанавить Очки Воли в количестве равном половине Силы Воли. Сократить урон вируса наполовину. Невосприимчивость к панике на 1 ход.
Завершить ход",,
PR_BC_HIDDEN,Text,UNREVEALED,,未揭露,,,,,СКРЫТ,,
PR_BC_HIDDEN_DESC,Text,Indicates when the character is unrevealed and not spotted.,,表示角色未被揭露且未被發現的時間。,,,,,"Показывает, что боец замаскировался и не обнаруживается врагами",,
PR_BC_INFILTRATOR_HIDDEN,Text,HIDDEN: +25% stealth and completely undetected.,,隱藏：+25% 隱密且完全不被發現。,,,,,"СКРЫТ: +25% скрытности, враги даже не подозревают о вас",,
