Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
PROG_LE1_WIN_CHOICE_2_OUTCOME_GENERAL,Text,,"MESSAGE 
From:Colonel Jack Harlson (New Jericho) 
To: Phoenix Point

The Pandorans grow ever more cunning and deliberate in their attacks. We need more and better weapons. West is right: whatever the wishful thinkers may be dreaming, any feasible solution to this menace requires force and the willingness to use it.",,"MESSAGE
Expéditeur : Colonel Jack Harlson (Nouvelle Jericho)
Destinataire : Phoenix Point

Les pandorans deviennent de plus en plus rusés et réfléchis dans leurs attaques. Nous avons besoin de plus d’armes et de meilleures qualités. West a raison : peu importe ce que rêvent les penseurs, toute solution réaliste à cette menace nécessite la force et la volonté de l’utiliser.",,,,"СООБЩЕНИЕ
От кого: полковник Джек Харлсон (Новый Иерихон)
Куда: Феникс Пойнт

Пандорцы становятся все более хитрыми и обдуманными в своих атаках. Нам нужно больше хорошего и мощного оружия. Вест прав: о чем бы мы не мечтали, любое осуществимое решение нависшей над человечеством угрозы требует Силы и готовности ее использовать.",,
PROG_LE1_WIN_CHOICE_2_TEXT,Text,,"The Pandorans did it, all of it!",,Les Pandorans l’ont fait !,,,,"Пандоранцы сделали это, все это!",,
PROG_LE1_WIN_CHOICE_1_OUTCOME_GENERAL,Text,,"MESSAGE 
From: Colonel Jack Harlson (New Jericho) 
To: Phoenix Point

I wanted to thank you personally for delivering this information. It is crucial that all of us understand the peril we are facing. Over the years we have gathered a lot of evidence showing how the Anu cultists are collaborating with the enemy. In due time, they will pay for their crimes against humanity.",,"MESSAGE
Expéditeur : Colonel Jack Harlson (Nouvelle Jericho)
Destinataire : Phoenix Point

Je tiens à vous remercier personnellement d’avoir fourni cette information. Il est crucial que nous comprenions tous les dangers auxquels nous faisons face. Au fil des ans, nous avons rassemblé beaucoup de preuves montrant comment les cultistes Anu collaborent avec l’ennemi. En temps voulu, ils paieront pour leurs crimes contre l’humanité.",,,,"СООБЩЕНИЕ
От кого: полковник Джек Харлсон (Новый Иерихон)
Куда: Феникс Пойнт

Я хотел поблагодарить вас лично за предоставление этой информации. Крайне важно, чтобы все мы понимали опасность, с которой мы сталкиваемся. За прошедшие годы мы собрали множество свидетельств того, как культисты Ану сотрудничают с врагом. В свое время они заплатят за свои преступления против человечества.",,
PROG_LE1_WIN_CHOICE_1_TEXT,Text,,Provide New Jericho with intelligence <i>proving</i> that Anu instigated the Pandoran attack,,Fournir à New Jericho des renseignements <i>prouvant</i> qu’Anu a provoqué l’attaque des Pandoriens,,,,Предоставить Новому Иерихону сведения <i>prouvant</i> что Ану спровоцировал нападение на Пандору,,
PROG_LE1_WIN_CHOICE_0_OUTCOME_GENERAL,Text,,"MESSAGE 
From: Colonel Jack Harlson (New Jericho) 
To: Phoenix Point 

It has been reported that your organization is in the possession of an armored vehicle stolen from a New Jericho facility that came under heavy attack by Pandorans and unknown human or pseudo-human assailants. 

I'll be looking into this matter personally. 

West is showing great leniency to your organization in the expectation of the role it will play in the delivery of our species. For my part, sometimes I'm not so sure that we need you at all.",,"MESSAGE
Expéditeur : Colonel Jack Harlson (Nouvelle Jericho)
Destinataire : Phoenix Point

Il a été rapporté que votre organisation est en possession d’un véhicule blindé volé dans une installation de la Nouvelle Jericho qui a été attaquée par des Pandorans et des assaillants humains ou pseudo-humains inconnus.

Je vais me renseigner personnellement.

West fait preuve d’une grande indulgence à l’égard de votre organisation dans l’attente du rôle qu’elle jouera dans la libération de notre espèce. Pour ma part, parfois je ne suis pas sûr qu’on ait besoin de vous.",,,,"СООБЩЕНИЕ
От кого: полковник Джек Харлсон (Новый Иерихон)
Куда: Феникс Пойнт

Сообщается, что ваша организация владеет бронированным автомобилем, украденным с объекта в Новом Иерихоне, который подвергся мощной атаке со стороны пандорцев, или псевдолюдей либо других агрессоров.

Я лично займусь этим вопросом.

Уэст проявляет большую снисходительность к вашей организации в надежде на ту роль, которую она сыграет в спасении нашего вида. Со своей стороны, я начинаю сомневаться что вы нам вообще нужны.",,
PROG_LE1_WIN_CHOICE_0_TEXT,Text,,Keep the Armadillo,,Gardez l’Armadillo,,,,Взять Броненосец,,
PROG_LE1_WIN_TEXT_GENERAL_0,Text,,We succeeded in our mission despite the unexpected appearance of Pandorans on the scene. Now we have to decide on our response to New Jericho.,,"Nous avons réussi notre mission malgré l’apparition inattendue de Pandoriens sur la zone. Maintenant, nous devons décider de notre réponse à la Nouvelle Jericho.",,,,"Несмотря на неожиданное появление пандорцев, Мы успешно выполнили нашу миссию. Теперь нам нужно решить, как мы ответим Новому Иерихону.",,
PROG_LE1_WIN_TITLE,Text,,Playing the Blame Game,,Le jeu de la culpabilité,,,,"Игра с Чувством Вины",,
PROG_LE1_MISS_CHOICE_0_TEXT,Text,,START MISSION,,COMMENCER LA MISSION,,,,НАЧАТЬ МИССИЮ,,
PROG_LE1_MISS_CHOICE_1_TEXT,Text,,CANCEL,,ANNULER,,,,ОТМЕНА,,
