Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_CH_ALN_ACHERON_ACHLYS_CHAMPION_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-Beta-2
Considered the most lethal specimen of Acheron, the creature is capable of releasing bio chemicals that cause humans to go insane, go temporarily blind, or even become gooed to the ground. The specimen can mutate and transform corpses into Pandorans, and also release corrosive substances in a large area affecting everything within. To be killed from a distance.",,"Classification de l'espèce AC-Beta-2
Considéré comme le spécimen le plus mortel de l'Achéron, cette créature est capable de libérer des substances biochimiques qui rendent les humains fous, temporairement aveugles ou même immobilisés au sol. Le spécimen peut muter et transformer les cadavres en Pandoriens, et aussi libérer des substances corrosives dans une large zone affectant tout ce qui s'y trouve. A tuer à distance.",,,,"Классификация видов AC-Beta-2
Считающееся самым смертоносным экземпляром Ахерона, существо способно выпускать биохимические вещества, которые заставляют людей сходить с ума, временно ослеплять или даже прилипать к земле. Образец может мутировать и превращать трупы в пандоранцев, а также выделять едкие вещества на большой площади, воздействуя на все внутри. Убивать на расстоянии.",,
KEY_CH_ALN_ACHERON_ACHLYS_CHAMPION_RESEARCHDEF_NAME,Text,,ACHERON ACHLYS CHAMPION,,ACHERON ACHLYS CHAMPION,,,,ЧЕМПИОН АХЕРОН АХЛИС,,
KEY_CH_ALN_ACHERON_ACHLYS_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-Beta-1
An enhanced species of Acheron that has evolved to release chemicals capable of partially paralysing humans by temporarily reducing their speed or disabling a limb. Field observations have found that the creature is also capable of granting Pandorans the ability to spread the Third Mist strain of the Pandoraviurs on people, driving them to delirium, and also can mutate dead corpses, transforming them into Arthrons and Tritons. To be dealt with caution.",,"Classification de l'espèce AC-Beta-1
Une espèce améliorée d'Achéron qui a évolué pour libérer des produits chimiques capables de paralyser partiellement les humains en réduisant temporairement leur vitesse ou en désactivant un membre. Des observations sur le terrain ont révélé que la créature est également capable de donner aux Pandoriens la capacité de propager la souche de la Troisieme Brume du Pandoravirus sur les gens, les poussant au délire, et peut également faire muter les cadavres, les transformant en Arthrons et en Tritons. À traiter avec prudence.",,,,"Классификация видов AC-Beta-1
Усовершенствованный вид Ахерона, который эволюционировал, чтобы выпускать химические вещества, способные частично парализовать людей, временно снижая их скорость или выводя из строя конечность. Полевые наблюдения показали, что это существо также способно наделять пандорцев способностью распространять штамм Пандоравиуров Третьего Тумана на людей, доводя их до бреда, а также может мутировать мертвые трупы, превращая их в артронов и тритонов. Очень агресивен.",,
KEY_CH_ALN_ACHERON_ACHLYS_RESEARCHDEF_NAME,Text,,ACHERON ACHLYS,,ACHERON ACHLYS,,,,АХЕРОН АХЛИС,,
KEY_CH_ALN_ACHERON_ASCLEPIUS_CHAMPION_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-Alpha-2
Considered a superior version of the Acheron Asclepius the specimen is of superior strength as well as capable of shooting goo at enemies to immobilise them. The creature retains the ability to recover the health and armor of other Pandorans, as well as grant them the ability to inflict corruption in combat. The Acheron is also capable of mutating living Pandorans out of dead bodies.",,"Classification de l'espèce AC-Alpha-2
Considéré comme une version supérieure de l'Acheron Asclepius, le spécimen est d'une force supérieure et est capable de lancer du goo sur ses ennemis pour les immobiliser. La créature conserve la capacité de restaurer la santé et l'armure des autres Pandoriens, ainsi que de leur accorder la capacité d'infliger la corruption en combat. L'Achéron est également capable de faire muter des Pandoriens vivants à partir de cadavres.",,,,"Классификация видов АС-Альфа-2
Образец, считающийся улучшенной версией Ахерона Асклепия, обладает превосходной силой, а также способен стрелять во врагов слизью, чтобы обездвижить их. Существо сохраняет способность восстанавливать здоровье и броню других пандорцев, а также наделять их способностью вызывать порчу в бою. Ахерон также способен мутировать живых пандорцев из мертвых тел.",,
KEY_CH_ALN_ACHERON_ASCLEPIUS_CHAMPION_RESEARCHDEF_NAME,Text,,ACHERON ASCLEPIUS CHAMPION,,ACHERON ASCLEPIUS CHAMPION,,,,АХЕРОН АСКЛИПИЙ ЧЕМПИОН,,
KEY_CH_ALN_ACHERON_ASCLEPIUS_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-Alpha-1
An advanced form of Acheron, this specimen has mutated to use regenerative spray to remove negative status effects from enemies as well as restore their armor. The greatest threat of the entity is its ability to mutate and transform corpses into Tritons and Arthrons. While on the battlefield, the creature releases organic chemicals, allowing all Pandorans to spread Oneiric Delirium.",,"Classification de l'espèce AC-Alpha-1
Forme avancée de l'Achéron, ce spécimen a muté pour utiliser un spray régénérateur afin de supprimer les effets d'état négatifs et de restaurer leur armure. La plus grande menace de cette entité est sa capacité à muter et à transformer les cadavres en Tritons et en Arthrons. Lorsqu'elle est sur le champ de bataille, la créature libère des produits chimiques organiques, permettant à tous les Pandoriens de propager le délire onirique.",,,,"Классификация видов АС-Альфа-1
Усовершенствованная форма Ахерона, этот образец мутировал, чтобы использовать регенеративный спрей для снятия отрицательных эффектов статуса с врагов, а также для восстановления их брони. Самая большая угроза существа — это его способность мутировать и превращать трупы в тритонов и артронов. Находясь на поле боя, существо выпускает органические химические вещества, позволяя всем пандорцам распространять Скверну.",,
KEY_CH_ALN_ACHERON_ASCLEPIUS_RESEARCHDEF_NAME,Text,,ACHERON ASCLEPIUS,,ACHERON ASCLEPIUS,,,,АХЕРОН АСКЛЕПИЙ,,
KEY_CH_ALN_ACHERON_PRIME_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-2
A mutation of the Acheron, capable of infecting the minds of our soldiers on touch as well as of releasing a regenerative substance in a large area that restores Pandoran armor. ",,"Classification de l'espèce AC-2
Une mutation de l'Achéron, capable d'infecter l'esprit de nos soldats au contact ainsi que de libérer une substance régénératrice dans une large zone qui restaure les armures des Pandoriens. ",,,,"Классификация видов АС-2
Мутация Ахерона, способная заражать разум наших солдат при прикосновении, а также выпускать регенерирующее вещество на большой площади, восстанавливающее пандоранскую броню.",,
KEY_CH_ALN_ACHERON_PRIME_RESEARCHDEF_NAME,Text,,ACHERON PRIME,,ACHERON PRIME,,,,АХЕРОН ПРАЙМ,,
KEY_CH_ALN_ACHERON_RESEARCHDEF_COMPLETE,Text,,"Species classification AC-1
A previously unknown creature, named the Acheron due to its ability to spread the Third Mist Pandoravirus strain affecting people's minds and will. Unlike other Pandoran specimens, this one does not rely on direct attack, rather affecting targets in an area around it. The Acheron has the ability to temporarily affect human accuracy, as well as call Pandoran reinforcements.",,"Classification de l'espèce AC-1
Une créature jusqu'alors inconnue, nommée l'Acheron en raison de sa capacité à propager la souche du pandoravirus de la Troisième Brume affectant l'esprit et la volonté des gens. Contrairement à d'autres spécimens pandoriens, celui-ci ne repose pas sur une attaque directe, mais affecte plutôt les cibles dans une zone autour de lui. L'Acheron a la capacité d'affecter temporairement la précision humaine, ainsi que d'appeler des renforts pandoriens.",,,,"Классификация видов АС-1
Ранее неизвестное существо, названное Ахерон из-за его способности распространять штамм Пандоравируса Третьего Тумана, воздействующий на разум и волю людей. В отличие от других образцов Пандоры, он не полагается на прямую атаку, а скорее поражает цели в области вокруг себя. Ахерон обладает способностью временно влиять на человеческую точность, а также вызывать подкрепление с Пандоры.",,
KEY_CH_ALN_ACHERON_RESEARCHDEF_NAME,Text,,ACHERON,,ACHERON,,,,АХЕРОН,,
PX_ACHERON_DISSECTION_RESEARCHDEF_BENEFITS,Text,,Delirium treatment available,,Traitement du délire onirique disponible,,,,Доступно лечение Скверны,,
