Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
PROG_FS9_CHOICE_0_TEXT,Text,,OK.,,OK.,,,,ОК,,
PROG_FS9_OUTCOME,Text,,"Anu havens join in a ritual to welcome the prophesized Trials and Tribulations, their incomprehensible chant reverberating across the airwaves.

Synedrion, trapped in the complex web of its inner politics, fails to agree on a course of action, but one of their havens decides to send a mission to investigate the impact zone.

New Jericho mobilizes its armed forces. ""Caught between the foolish and the mad, we must act!"", proclaims West.",,"Les refuges d’Anu se joignent à un rituel pour accueillir les épreuves et les malheurs prophétisés, leur chant incompréhensible résonnant sur les ondes.

Synedrion, piégé dans le réseau complexe de sa politique intérieure, ne parvient pas à s’entendre sur une ligne de conduite, mais l’un de ses refuge décide d’envoyer une mission pour enquêter sur la zone d’impact.

New Jericho mobilise ses forces armées. ""Pris entre le ridicule et la folie, nous devons agir!"" , proclame West.",,,,"Прибежища Ану присоединяются к ритуалу, чтобы приветствовать предсказанные испытания и несчастья, их непонятная песня эхом звучит в эфире.

Синедрион, запутавшийся в сложной паутине своей внутренней политики, не может договориться о дальнейших действиях, но одно из его убежищ решает отправить миссию для исследования зоны удара.

Новый Иерихон мобилизует свои вооруженные силы. «Оказавшись между молотом и наковальней, мы должны действовать первыми!» — провозглашает Уэст.",,
PROG_FS9_TEXT_GENERAL_0,Text,,"Earlier today, an asteroid crashed into Earth. The release of kinetic energy was roughly equivalent to the limited nuclear exchange between India and Iran during WW3. The impact event has been dubbed ""Hammerfall"", the largest in Earth's recorded history.

The asteroid hit deep inside a quarantine zone, where the Pandoravirus has aggressively mutated the surrounding ecology. However, traces of seismic activity have been detected in faraway coastal regions, coinciding with rumors of Pandoran hordes emerging from the mist.",,"Plus tôt dans la journée, un astéroïde s’est écrasé sur Terre. La libération d’énergie cinétique était à peu près équivalente aux échanges nucléaires entre l’Inde et l’Iran durant la troisième guerre mondiale. L'impact a été surnommé ""Hammerfall"", le plus important dans l’histoire connue de la Terre.

L’astéroïde a frappé au coeur d’une zone de quarantaine, où le pandoravirus a muté de manière agressive l’écologie environnante. Cependant, des traces d’activité sismique ont été détectées dans des régions côtières lointaines, coïncidant avec des rumeurs de hordes pandoriennes émergeant de la brume.",,,,"Сегодня астероид врезался в Землю. Высвобождение кинетической энергии было примерно эквивалентно обмену ядерными ударами между Индией и Ираном во время Третьей мировой войны. Это столкновение было названо «Падением молота» и стало крупнейшим в истории Земли.

Астероид попал в самое сердце карантинной зоны, где пандоравирус агрессивно мутировал окружающую среду. Однако в отдаленных прибрежных районах были обнаружены следы сейсмической активности, что совпадает со слухами о пандорских ордах, появляющихся из тумана.",,
PROG_FS9_TITLE,Text,,Hammerfall,,Hammerfall,,,,Падение молота,,
PROG_FS0_CHOICE_0_TEXT,Text,,Watch the recording,,Regarder l'enregistrement,,,,Смотреть запись,,
PROG_FS0_TEXT_OUTCOME_0,Text,,"You see a lush, but alien landscape, a basin covered in marine blue trees and twisting red, pulsating vines. The ground is sprinkled with thousands of egg shaped objects of various sizes.

A Synedrion Helios hooks up one of them and carries it away.

You hear radio comms through the static:

<i>""This is Citizen Eileen. Package secured, now approaching source of previously reported signal... I'll be damned, that's a... Manticore?! Well, the scavs who were using it lately won't be needing it anymore. Poor bastards... Hey, the AI Core is back online and... It's requesting a handshake... Yes sleeping beauty, you are welcome to come along""</i>

This must be the Synedrion expedition sent to investigate the Hammerfall Crater... But it can't be, where did all this vegetation come from?",,"Vous voyez un paysage luxuriant, mais étranger, un bassin recouvert d’arbres bleus marins et de vignes rouges sinueuses. Le sol est parsemé de milliers d’objets en forme d’œuf de différentes tailles.

Un Helios de Synedrion accroche l'un d'eux et l’emporte.

Vous entendez des communications radio à travers l'électricité statique:

<i>""Ici le citoyen Eileen. Paquet sécurisé, maintenant en approche de la source du signal précédemment signalé... Je vais être damné, c’est un... Manticore?! Eh bien, les charognards qui l’utilisaient dernièrement, n’en auront plus besoin. Pauvres bâtards... Hé, l’IA Core est de retour en ligne et... elle nous dit bonjour... Oui belle au bois dormant, vous êtes la bienvenue""</i>

Ce doit être l’expédition Synedrion envoyée pour enquêter sur le cratère Hammerfall... Mais ce n'est pas possible, d’où vient toute cette végétation ?",,,,"Вы видите густой и дикий пейзаж, кратор, покрытый морскими голубыми деревьями и извивающимися красными пульсирующими лианами. Земля усеяна тысячами яйцевидных объектов разных размеров.

Гелиос Синедриона подцепляет одного из яиц и уносит.

Вы слышите радиопереговоры сквозь помехи:

<i>""Это гражданин Эйлин. Посылка в безопасности, сейчас приближается к источнику сигнала, о котором сообщалось ранее... Будь я проклят, это... Мантикора?! Что ж, мусорщикам которые использовали его раньше он больше не понадобится. Похоже все мертвы... Эй, ядро ИИ заработало, оно снова в сети и... Он передает нам привет... Да, спящая красавица, добро пожаловать""</i>

Должно быть, это экспедиция Синедриона, посланная для исследования кратера Падшего Молота... Но этого не может быть, откуда взялась вся эта растительность?",,
PROG_FS0_TEXT_GENERAL_0,Text,,"<i>""We have received data from M-AI-Core 12B/735, previously reported as lost. Likely hypothesis: found, repurposed and AI Core firewalled for use as non-sentient aerial vehicle. Parsing video and audio log""</i>

One of our Manticores is back online? After all this time...",,"""Nous avons reçu des données de M-AI-Core 12B/735, précédemment déclarées perdues. Hypothèse probable : trouvé et réutilisé. Le noyau de l'AI Core a été isolé par un pare-feu pour être utilisé comme véhicule aérien non intelligent, d'après l'analyse de l'enregistrement audio et vidéo.""

Un de nos Manticores est de retour ? Après tout ce temps...",,,,"<i>""Мы получили данные от M-AI-Core 12B/735 ИИ ядра, ранее заявленного как утерянного. Вероятная гипотеза: ядро было украдено, перепрограмированно и защищено брандмауэром от внешних сетей для использования в качестве неразумного летательного аппарата. Анализ видео и аудиожурнала" "</i>

Ядро из наших Мантикор снова в сети? После всего этого времени...",,
PROG_FS0_TITLE,Text,,A Sleeping Beauty Awakes,,Une belle au bois dormant se réveille,,,,Спящая красавица просыпается,,
PROG_FS10_CHOICE_0_OUTCOME_GENERAL,Text,,"If NJ couldn't stop it, we have nothing that can put a dent on this thing. All we can do is intercept individual flyers as we work towards a solution.",,"Si la Nouvelle Jéricho n'a pas pu l'arrêter, nous n'avons rien qui puisse le faire. Tout ce que nous pouvons faire c'est intercepter les créatures volantes pendant que nous travaillons à une solution.",,,,"Если Новый Иерихон не смог остановить это, значит и у нас мало что получится. Все что мы можем сделать, это перехватывать летающих существ и работать над решением нависшей угрозы.",,
PROG_FS10_CHOICE_0_TEXT,Text,,OK. What do you make of it Alistair?,,"OK. Qu'en pensez-vous, Alistair ?",,,,ОК. Что вы об этом думаете, Алистер?,,
PROG_FS10_TEXT_GENERAL_0,Text,,"Using reports from public feeds and satellite imagery we can now piece together that New Jericho launched a massive rocket attack on the Hammerfall crater, presumably the “Operation Mongoose” that West had been planning. The strike force was in turn obliterated by a towering Pandoran monstrosity, surrounded by a myriad of flying creatures.

The chronology of events and their causal relationship remains unclear, with some within Synedrion blaming NJ for provoking the Pandoran attack and NJ claiming that they acted in self defense.

The Disciples of Anu insist that the emergence of what they call the “Behemoth” and the “Festering Skies” was preordained and inevitable.",,"En utilisant des données provenant de sources publiques et d’images satellitaires, nous pouvons maintenant établir que New Jericho a lancé une attaque massive de roquettes sur le cratère Hammerfall, vraisemblablement l’opération Mongoose planifié par West. La force de frappe a été à son tour anéantie par l’imposante monstruosité pandorane, entourée d’une myriade de créatures volantes.

La chronologie des événements et leur relation de cause à effet reste floues, certains au sein de Synedrion accusent NJ d’avoir provoqué l’attaque du Pandoran et NJ affirme qu’ils ont agi en légitime défense.

Les disciples d’Anu insistent sur le fait que l’émergence de ce qu’ils appellent le ""Béhémoth"" et le ""Ciel fétide"" était prédestinée et inévitable.",,,,"Используя сообщения из общедоступных каналов связи и спутниковые снимки, мы теперь можем собрать воедино полученую информацию. Предположительно в рамках операции «Мангуст», которую планировал Вест, Новый Иерихон нанес массированный ракетный удар по кратеру «Падением молота». В свою очередь ударная группа была уничтожена летающими существами пандоран, их там миллиарды.

Хронология событий и их причинны остаются неясными. некоторые в Синедрионе обвиняют Новый Иерихон в провоцировании атаки Пандоран. Новый Иерихон утверждает, что они действовали в рамках самообороны.

Последователи Ану настаивают на том, что появление того, что они называют «Бегемотом» и «Гнойными небесами», было предопределено и неизбежно.",,
PROG_FS10_TITLE,Text,,Operation Mongoose,,Opération Mongoose,,,,Операция Мангуст,,
PROG_FS1_CHOICE_0_TEXT,Text,,Seems like the Manticore recovered by Synedrion is attempting to communicate with us. Let's hear it.,,On dirait que le Manticore récupéré par Synedrion essaie de communiquer avec nous. Écoutons-le.,,,,Похоже, Мантикора с ИИ обнаруженная Синедрионом, пытается связаться с нами. Давайте послушаем что скажет нам ИИ.,,
PROG_FS1_FAIL_CHOICE_0_OUTCOME_GENERAL,Text,,"An armed Manticore approaches our base. ""Your friends fought bravely in the raid on my home haven, but they didn't make it,"" says Citizen Eileen through the radio. ""I'm sorry, this is not the way it was meant to go down, but here is the Manticore I promised. And me, if you will have me. Perhaps this way I may come across some sort of... redemption.""",,"Un Manticore armé approche de notre base. ""Vos amis se sont battus courageusement dans le raid sur mon refuge, mais ils n’ont pas survécu,"" dit le citoyen Eileen par radio. ""Je m’excuse, ce n’est pas comme cela que ça devait se passer, mais voici le Manticore que j’ai promis. Et moi, si vous voulez. Peut-être que de cette façon je pourrais trouver une sorte de... rédemption.""",,,,"Вооруженная Мантикора приближается к нашей базе. "Ваши друзья храбро сражались в набеге на мое убежище, но они все мертвы", - сказала по рации гражданка Эйлин. Прости, этого не должно было произойти, я возвращаю Мантикору... Возможно это последнее хорошее дело которое я могу сделать чтоб искупить свои грехи.",,
PROG_FS1_FAIL_CHOICE_0_TEXT,Text,,"This is good news, we could ill afford to lose that Manticore!",,"C'est une bonne nouvelle, nous ne pouvions pas nous permettre de perdre ce Manticore !",,,,"Хорошие новости, мы не можем позволить себе потерять эту Мантикору!",,
PROG_FS1_FAIL_TEXT_GENERAL_0,Text,,"The attack on [HavenName] came from the Hammerfall Crater. We speculate that this particular haven was targeted because it harbored the egg recovered by Citizen Eileen.

Using reports from public feeds and satellite imagery we can now piece together that New Jericho launched a massive rocket attack on the Hammerfall Crater, presumably the “Operation Mongoose” that West had been planning. The New Jericho strike force was in turn obliterated by a towering Pandoran monstrosity, surrounded by a myriad of flying creatures.

The chronology of events and their causal relationship remains unclear, with some within Synedrion blaming New Jericho for provoking the Pandoran attack, and New Jericho themselves claiming that they acted in self defense.

The Disciples of Anu insist that the emergence of what they call the “Behemoth” and the “Festering Skies” was preordained and inevitable.",,"L'attaque sur [HavenName] venait du cratère Hammerfall. Nous supposons que ce refuge particulier a été ciblé parce qu'il abritait l'œuf récupéré par la citoyenne Eileen.

En utilisant des données provenant de sources publiques et d’images satellitaires, nous pouvons maintenant établir que New Jericho a lancé une attaque massive de roquettes sur le cratère Hammerfall, vraisemblablement l’opération Mongoose planifié par West. La force de frappe a été à son tour anéantie par l’imposante monstruosité pandorane, entourée d’une myriade de créatures volantes.

La chronologie des événements et leur relation de cause à effet reste floues, certains au sein de Synedrion accusent NJ d’avoir provoqué l’attaque du Pandoran et NJ affirme qu’ils ont agi en légitime défense.

Les disciples d’Anu insistent sur le fait que l’émergence de ce qu’ils appellent le ""Béhémoth"" et le ""Ciel fétide"" était prédestinée et inévitable.",,,,"Нападение на [HavenName] было совершено из кратера Падшего Молота. Мы предполагаем, что целью было именно это убежище, потому что в нем хранилось яйцо, найденное гражданикой Эйлин.

Используя сообщения из общедоступных каналов связи и спутниковые снимки, мы теперь можем собрать воедино полученую информацию. Предположительно в рамках операции «Мангуст», которую планировал Вест, Новый Иерихон нанес массированный ракетный удар по кратеру «Падением молота». В свою очередь ударная группа была уничтожена летающими существами пандоран, их там миллиарды.

Хронология событий и их причинны остаются неясными. некоторые в Синедрионе обвиняют Новый Иерихон в провоцировании атаки Пандоран. Новый Иерихон утверждает, что они действовали в рамках самообороны.

Последователи Ану настаивают на том, что появление того, что они называют «Бегемотом» и «Гнойными небесами», было предопределено и неизбежно.",,
PROG_FS1_FAIL_TITLE,Text,,A Sole Survivor,,Un unique survivant,,,,Единственный выживший,,
PROG_FS1_MISS_CHOICE_0_TEXT,Text,,"Doesn't sound too difficult . Let's do it, and get samples of the egg for our labs.",,"Ça n' a pas l' air difficile . Faisons-le, et prenons des échantillons de l'oeuf pour nos labos.",,,,"Это не выглядит сложным. Давайте сделаем это, и возьмем несколько образцов яиц для наших лабораторий".,,
PROG_FS1_MISS_CHOICE_1_TEXT,Text,,We will be back.,,Nous reviendrons.,,,,Мы вернемся,,
PROG_FS1_MISS_TEXT_GENERAL_0,Text,,"With the help of a few like-minded individuals and AIs, Eileen has assembled prototypes of aerial weapons and equipment that can be fitted on the Manticore that she recovered near the Hammerfall Crater. The prototypes are based on old Phoenix Project designs from a bygone time, squirreled away in the data banks of Sartorius, an avionics obsessed AI.

As a result of Sartorius' casual proselytizing of the rights of artificial persons, M-AI-Core 12B/735 has renamed herself ""Aurora"".

Eileen brings up a holo display of [HavenName]. <i>""This is where they are storing the egg I brought. Meet me there in fifteen, I’ll figure out how to get Pete away from the area. He’s not much of a guard, and a terrible poet. Remember: no one dies, the egg gets destroyed. In the meantime, my friends will finish refitting the Aurora”</i>",,"Avec l’aide de quelques personnes et IA partageant les mêmes idées, Eileen a assemblé des prototypes d’armes et d’équipements pouvant être installés sur le Manticore qu’elle a récupéré près du cratère Hammerfall. Les prototypes sont basés sur de vieux modèles du projet Phoenix datant d’autrefois, conservés dans les banques de données de Sartorius, une IA obsédée par l’avionique.

Suite au prosélytisme occasionnel de Sartorius sur les droits des personnes artificielles, M-AI-Core 12B/735 s’est rebaptisé ""Aurora"".

Eileen fait apparaitre un affichage holo de [HavenName]. ""C’est là qu’ils entreposent l’œuf que j’ai apporté. Rejoins-moi là-bas dans 15 minutes, je trouverai comment éloigner Pete de la zone. Il n’est pas très bon comme garde, et c'est un terrible poète. Rappelez-vous : personne ne meurt, l’œuf est détruit. Entre-temps, mes amis finiront de remettre à neuf l’Aurora.""",,,,"С помощью нескольких единомышленников и ИИ Эйлин собрала прототипы воздушного оружия и снаряжения, которые можно установить на «Мантикору», обнаруженную ею возле кратера Падшего Молота. Прототипы основаны на старых разработках проекта «Феникс» из прошлого времени, Данные были сохранены в банках данных Сарториуса ИИ, одержимого авиационными оборудованием, в том числе и военным.

В результате обмена данными между Сарториусом и ИИ мантикоры их алгоритмы самообучения перемешались и ИИ M-AI-Core 12B/735 переименовала себя в «Аврору».

Эйлин вызывает голографический дисплей [HavenName]. <i>""Здесь хранится яйцо, которое я принес. Встретимся там в пятнадцать, я придумаю, как увести Пита подальше от этого района. Он не очень хороший охранник и ужасно поет. Помните: никто не должен умереть, лучше выкинуть яйцо чем жертвовать собой. А пока мои друзья переоборудуют «Аврору» в найденные прототипы чтоб убраться отсюда</i>",,
PROG_FS1_MISS_TITLE,Text,,The Hatching,,L’éclosion,,,,Созревание,,
PROG_FS1_OUTCOME,Text,,"<i>""This is Citizen Eileen. If you are getting this, I know that you saw what I saw: there were thousands of those… eggs. And I brought one of them here, and those fools are still ""working to achieve a consensus on a reasonable course of action"" instead of burning it. If... When it hatches it's going to get bad. Help me destroy it before whatever inside comes out, and I’ll give you use of this Manticore.""</i>

We should investigate this egg and collect samples of it if possible.
",,"<i>""Voici la citoyenne Eileen. Si vous obtenez ceci, je sais que vous avez vu ce que j’ai vu : il y avait des milliers de ces… œufs. Et j’en ai amené un ici, et ces imbéciles sont encore en train de ""travailler à un consensus sur un plan d’action raisonnable"" au lieu de le brûler. Si... Quand il va éclore, ça va devenir mauvais. Aidez-moi à le détruire avant que ce qui est à l’intérieur ne sorte, et je vous donnerai accès à ce Manticore.""</i>

Nous devrions étudier cet œuf et prélever des échantillons si possible.",,,,"<i>""Это гражданин Эйлин. Если вы это понимаете, я знаю, что вы видели то же, что и я: там были тысячи этих... яиц. И одно из них я принесла сюда, и эти умники до сих пор спорят и не могут прийти к согласию в каком направлении действовать. Это яйцо его надо сжечь. Когда из него чтото вылупится... будет уже слишком поздно. Помоги мне уничтожить его до того как из него чтото вылупится и я дам тебе возможность использовать эту Мантикору. .""</i>

Мы должны исследовать это яйцо и, если возможно, собрать его образцы.
",,
PROG_FS1_TEXT_GENERAL_0,Text,,"From the findings of the Synedrion expedition, a hypothesis arises: Hammerfall has precipitated profound changes in the Pandoran ecology. Furthermore, the object extracted by Citizen Eileen appears to be an egg that will hatch a very large flying creature. An intense public debate follows across Synedrion public feeds, but the citizens can't agree on how to proceed; they settle on continuing to monitor the situation.

New Jericho finalizes plans for its military operation to attack the Hammerfall Crater, now codenamed Mongoose.

<b>***//We are receiving a communication from M-AI-Core 12B/735</b>",,"D'après les résultats de l'expédition Synedrion, une hypothèse se dégage : la chute de Hammerfall a provoqué de profonds changements dans l'écologie Pandorane. En outre, l'objet extrait par le citoyen Eileen semble être un oeuf qui va éclore une très grande créature volante. Un débat public intense suit à travers les flux publics de Synedrion, mais les citoyens ne peuvent pas se mettre d'accord sur la façon de procéder. Ils  décident de continuer à surveiller la situation.  
La Nouvelle Jericho finalise les plans de son opération militaire pour attaquer le cratère Hammerfall, nom de code : Mongoose. 

<b>***//Nous recevons une communication de M-AI-Core 12B/735</b>",,,,"Из результатов экспедиции Синедриона возникает гипотеза: Падение Молота ускорило глубокие изменения в экологии Пандоры. Кроме того объект извлеченный гражданкой Эйлин, похоже является яйцом, из которого вылупится очень большое летающее существо. Далее следуют интенсивные общественные дебаты полученые через публичные каналы синедриона, но граждане не могут договориться о том, как действовать дальше, и решают продолжать следить за ситуацией.

Новый Иерихон завершает подготовку планов военной операции по нападению на кратер Падшего Молота, который теперь носит кодовое название «Мангуст».

<b>***//Мы получаем входящее сообщение от M-AI-Core 12B/735</b>",,
PROG_FS1_TITLE,Text,,We Are Still Collating,,Nous rassemblons encore les données,,,,Мы все еще собираем данные,,
PROG_FS1_WIN_CHOICE_0_OUTCOME_GENERAL,Text,,"The attack on [HavenName] came from the Hammerfall Crater. We speculate that this particular haven was targeted because it harbored the egg recovered by Citizen Eileen.

Using reports from public feeds and satellite imagery we can now piece together that New Jericho launched a massive rocket attack on the Hammerfall Crater, presumably the “Operation Mongoose” that West had been planning. The New Jericho strike force was in turn obliterated by a towering Pandoran monstrosity, surrounded by a myriad of flying creatures.

The chronology of events and their causal relationship remains unclear, with some within Synedrion blaming New Jericho for provoking the Pandoran attack, and New Jericho themselves claiming that they acted in self defense.

The Disciples of Anu insist that the emergence of what they call the “Behemoth” and the “Festering Skies” was preordained and inevitable.",,"L'attaque sur [HavenName] venait du cratère Hammerfall. Nous supposons que ce refuge particulier a été ciblé parce qu'il abritait l'œuf récupéré par la citoyenne Eileen.

En utilisant des données provenant de sources publiques et d’images satellitaires, nous pouvons maintenant établir que New Jericho a lancé une attaque massive de roquettes sur le cratère Hammerfall, vraisemblablement l’opération Mongoose planifié par West. La force de frappe a été à son tour anéantie par l’imposante monstruosité pandorane, entourée d’une myriade de créatures volantes.

La chronologie des événements et leur relation de cause à effet reste floues, certains au sein de Synedrion accusent NJ d’avoir provoqué l’attaque du Pandoran et NJ affirme qu’ils ont agi en légitime défense.

Les disciples d’Anu insistent sur le fait que l’émergence de ce qu’ils appellent le ""Béhémoth"" et le ""Ciel fétide"" était prédestinée et inévitable.",,,,"Нападение на [HavenName] было совершено из кратера Падшего Молота. Мы предполагаем, что целью было именно это убежище, потому что в нем хранилось яйцо, найденное гражданикой Эйлин.

Используя сообщения из общедоступных каналов связи и спутниковые снимки, мы теперь можем собрать воедино полученую информацию. Предположительно в рамках операции «Мангуст», которую планировал Вест, Новый Иерихон нанес массированный ракетный удар по кратеру «Падением молота». В свою очередь ударная группа была уничтожена летающими существами пандоран, их там миллиарды.

Хронология событий и их причинны остаются неясными. некоторые в Синедрионе обвиняют Новый Иерихон в провоцировании атаки Пандоран. Новый Иерихон утверждает, что они действовали в рамках самообороны.

Последователи Ану настаивают на том, что появление того, что они называют «Бегемотом» и «Гнойными небесами», было предопределено и неизбежно.",,
PROG_FS1_WIN_CHOICE_0_TEXT,Text,,OK.,,OK.,,,,ОК,,
PROG_FS1_WIN_TEXT_GENERAL_0,Text,,"Our team has successfully reached the Aurora and managed to escape the raided haven below. The machine is fully operational and heavily armed. 

Eileen is aboard. She is shaken, now that the adrenaline rush from the escape and the encounter with the flying monster has run its course.

Eileen has lost everything and everyone that was dear to her. Perhaps she will find a new home with us.",,"Notre équipe a réussi à atteindre l’Aurora et a réussi s'échapper du refuge attaqué. La machine est entièrement opérationnelle et lourdement armée.

Eileen est à bord. Elle est secouée, maintenant que l’adrénaline de l’évasion et la rencontre avec le monstre volant est retombé.

Eileen a tout perdu et tous ceux qui lui étaient chers. Peut-être trouvera-t-elle une nouvelle maison avec nous.",,,"Наша команда успешно добралась до «Авроры» и сумела покинуть убежище. Машина полностью исправна и хорошо вооружена.

Эйлин на борту... Она в шоковом состоянии, когда выброс адреналина от побега и встречи с летающим монстром закончился она начала понимать те вещи которые произошли.

Эйлин потеряла всех кто был ей дорог, теперь у нее нет ни кого и ничего. Возможно, она найдет новый дом у нас.",,,
