Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_AC_DEATHBELCH_DESCRIPTION,Text,,This Pandoran will spawn an Umbra version of itself if it dies,,Ce Pandorien engendrera une version Umbra de lui-même s'il meurt.,Dieser Pandoraner erzeugt bei seinem Tod eine Umbra-Version von sich selbst.,,,"Этот Пандоран восстанет в виде Фиолетовой Твари, если погибнет",,
KEY_AC_DEATHBELCH_NAME,Text,,Void Touched - Spawn Umbra on Death,,Imprégné du Néant — Engendre une Umbra à la mort,Leerenberührt – Erzeugt Umbra beim Tod,,,Благословленный Пустотой - при гибели восстает в виде Фиолетовой Твари,,
TBTV_HIDDEN_ABILITY_NAME,Text,,Touched by the Void,,Imprégné du Néant,Berührt von der Leere,,,Благословленный Пустотой,,
TBTV_HIDDEN_ABILITY_DESCRIPTION,Text,,How we shiver with affright,,Que c'est effrayant,Wie wir schaudern vor Entsetzen,,,И невольно мы дрожим...,,
VOID_TOUCHED_TITLE,Text,,Touched by the Void,,Imprégné du Néant,Berührt von der Leere,,,Благословленный Пустотой,,
VOID_TOUCHED_TEXT,Text,,"<i>""A purple fume emanated from its body, marking it as the bearer of a Terrible Purpose.”</i>

This Pandoran is special. After it is attacked, it is very likely to gain a special ability (however, there is a small chance that it will be passed by the Void and lose its Touch, gaining nothing). At first, the only ability it may gain is to spawn an Umbra version of itself on death. However, as the Oneiric Delirium advances, Touched by the Void Pandorans will gain other effects when attacked for the first time.",,"<i>« Une fumée pourpre émanait de son corps, le désignant comme le porteur d'un sombre dessein. »</i>

Ce Pandorien est spécial. Après avoir été attaqué, il est très probable qu'il gagne une capacité spéciale (toutefois, il existe une faible chance que le Néant l'ignore et qu'il perde son lien, ne gagnant ainsi rien). Au départ, la seule capacité qu'il peut obtenir est de générer une version Umbra de lui-même à sa mort. Cependant, à mesure que le Delirium progresse, les Pandoriens « Imprégné du Néant » gagneront d'autres effets lorsqu'ils seront attaqués pour la première fois.","<i>„Violetter Rauch strömte aus seinem Körper und kennzeichnete ihn als Träger einer schrecklichen Bestimmung.“</i>

Dieser Pandoraner ist etwas Besonderes. Wird er angegriffen, erhält er mit hoher Wahrscheinlichkeit eine besondere Fähigkeit (es besteht jedoch eine geringe Chance, dass er von der Leere verlassen wird und seine Berührung verliert, wodurch er nichts erlangt). Anfangs kann dieser besondere Pandoraner lediglich die Fähigkeit erlangen, beim Tod eine Umbra-Version von sich selbst zu erzeugen. Mit fortschreitendem Oneirischen Delirium erhalten von der Leere berührte Pandoraner jedoch weitere Effekte, wenn sie angegriffen werden.",,,"<i>""От его тела исходил фиолетовый дым, означающий, что перед нами Благословленный Пустотой.""</i>

Этот Пандоран особенный. При ранении он с большой вероятностью получит особую способность (однако есть небольшой шанс, что он потеряет свое Благословение Пустоты, не получив ничего). Поначалу единственная способность, которую он может получить - это восставать после гибели в виде Фиолетовой Твари. Однако по мере распространения Сонного Безумия, Благословленные Пустотой Пандораны будут получать другие способности при первом ранении.",,
TBTV_ON_ATTACK_TITLE,Text,,Void Touched - Attacker is Marked for Death,,Imprégné du Néant — L'assaillant est Désigné pour mourir,Leerenberührt – Angreifer erhält eine Todesmarkierung,,,Благословленный Пустотой - атакующий получит в ответ Смертельную Метку,,
TBTV_ON_ATTACK_TEXT,Text,,Any character that attacks this Pandoran will be afflicted by Marked for Death (no stacking),,Tout personnage attaquant ce Pandorien sera affligé par Désigné pour mourir (non cumulable).,"Jeder Charakter, der diesen Pandoraner angreift, wird mit einer Todesmarkierung belegt (nicht stapelbar).",,,"Любой персонаж, который нападет на этого Пандорана, будет отмечен Смертельной Меткой (не более одной Метки в сумме).",,
TBTV_ON_TURN_END_TITLE,Text,,Void Touched - Calls reinforcements at turn's end,,Imprégné du Néant — Appelle des renforts à la fin du tour,Leerenberührt – Ruft Verstärkung am Ende des Zuges,,,Благословленный Пустотой - в конце хода вызывает подкрепление,,
TBTV_ON_TURN_END_TEXT,Text,,"If this Pandoran survives until the end of your turn, it will call reinforcements",,"Si ce Pandorien survit jusqu'à la fin de votre tour, il appellera des renforts.","Wenn dieser Pandoraner bis zum Ende deines Zuges überlebt, wird er Verstärkung rufen.",,,"Если этот Пандоран будет жив в конце вашего хода, он вызовет подкрепление",,
REVENANT_RESISTANCE_TITLE,Text,,Revenant resistance,,Résistance de Revenant,Revenant Resistenz,,,Сила Возвращенца,,
ACHERON_HARBINGER_NAME,Text,,Harbinger of the Void,,Influence du Néant,Vorbote der Leere,,,Посланник Пустоты,,
ACHERON_HARBINGER_DESCRIPTION,Text,,Increases the chances that an Arthron or a Triton will be Touched by the Void,,Augmente les chances qu'un Arthron ou un Triton soit « Imprégné du Néant ».,"Erhöht die Wahrscheinlichkeit, dass ein Arthron oder Triton von der Leere berührt wird.",,,"Увеличивает вероятность того, что Артрон или Тритон станет Благословленным Пустотой",,
ACHERON_TRIBUTARY_NAME,Text,,Tributary of the Void,,Tributaire du Néant,Nebenfluss der Leere,,,Носитель Пустоты,,
ACHERON_TRIBUTARY_DESCRIPTION,Text,,All friendlies <b>of any type</b> within 10 tiles will be Touched by the Void if the character dies,,Tous les alliés <b>de n'importe quel type</b> dans un rayon de 10 cases seront « Imprégné du Néant » si ce personnage meurt.,"Alle Verbündeten <b>jeglicher Art</b> im Umkreis von 10 Feldern werden von der Leere berührt, wenn der Charakter stirbt.",,,Все союзники <b>любого типа</b> в радиусе 10 клеток станут Благословленными Пустотой при гибели этого Пандорана,,
VOID_BLIGHT_NAME,Text,,Blight of the Void,,Fléau du Néant,Seuche der Leere,,,Проклятие Пустоты,,
VOID_BLIGHT_DESCRIPTION,Text,not used,"This character or unit can be attacked by Umbra, regardless of Delirium",,"Ce personnage ou cette unité peut être attaqué par l'Umbra, quel que soit le niveau de Delirium.","Charakter oder Einheit kann von Umbras angegriffen werden, unabhängig von Delirium.",,,"Этот персонаж или юнит теперь может быть атакован Фиолетовой Тварью, даже не будучи зараженным Сонным Безумием",,
ANC_AUTOREPAIR_TITLE,Text,,Self repair,,Auto-réparation,Selbstreparatur,,,Автоматический ремонт,,
ANC_AUTOREPAIR_TEXT,Text,,Using a nearby fallen Automata for spare parts,,Utilise un Automate tombé à proximité pour obtenir des pièces de rechange.,Verwendung eines nahegelegenen umgestürzten Automaten als Ersatzteilspender.,,,Разборка на запчасти ближайшего уничтоженного Робота,,
CYCLOPS_DEFENSE_NAME,Text,,CYCLOPS DEFENSE,,DÉFENSE CYCLOPE,ZYKLOPENVERTEIDIGUNG,,,ЗАЩИТА ЦИКЛОПА,,
CYCLOPS_DEFENSE_DESCRIPTION,Text,,"Before any Hoplites are destroyed, the Cyclops has a 50% resistance to all damage. Destroying Hoplites reduces this resistance.",,"Tant qu'aucun Hoplite n'a été détruit, le Cyclope possède une résistance de 50 % à tous les dégâts. Détruire des Hoplites réduit cette résistance.","Bevor ein Hopliten vernichtet wird, besitzt der Zyklop eine 50%ige Resistenz gegen jeglichen Schaden. Die Vernichtung von Hopliten verringert diese Resistenz.",,,"Пока все Гоплиты целы, Циклоп обладает 50%-ной стойкостью к любому урону. Уничтожение Гоплитов снижает эту стойкость.",,
HOPLITES_SELF_REPAIR_NAME,Text,,HOPLITES SELF-REPAIR,,AUTO-RÉPARATION DES HOPLITES,HOPLITEN SELBSTREPARATUR,,,АВТОМАТИЧЕСКИЙ РЕМОНТ ГОПЛИТОВ,,
HOPLITES_SELF_REPAIR_DESCRIPTION,Text,,"Any Automata destroyed within 7 tiles of another one will allow it to recover a missing body part or 50 HP, and 5 WP",,"Tout Automate détruit dans un rayon de 7 cases d'un autre lui permettra de récupérer une partie du corps manquante ou 50 PV, ainsi que 5 PVol.","Zerstörung von Automaten in einem geringeren Abstand als 7 Felder, erlauben die Wiederherstellung eines fehlenden Körperteils oder 50 TP und geben 5 WP.",,,"Любой Робот, уничтоженный в радиусе 7 клеток от другого Робота, позволит тому восстановить выбитую часть тела, или 50 хитов, или 5 Очков Воли.",,
POWERED_UP_NAME,Text,,ALL POWERED UP,,SURTENSION,ALLES EINGESCHALTET,,,БОЕВОЙ РЕЖИМ,,
POWERED_UP_DESCRIPTION,Text,,"From the moment it is alerted, an Automata gains 5 WP per turn. Its speed is determined by its current WP. Once it reaches maximum WP, it gains this status, receiving +50% damage to all attacks and 25% damage resistance",,"Dès qu'il est alerté, un Automate gagne 5 PVol par tour. Sa vitesse est déterminée par ses PVol actuels. Une fois son maximum de PVol atteint, il obtient ce statut, recevant +50 % de dégâts pour toutes ses attaques et 25 % de résistance aux dégâts.","Sobald ein Automat alarmiert wird, erhält er pro Runde 5 WP. Seine Geschwindigkeit hängt von seinen aktuellen WP ab. Erreicht er die maximale Anzahl an WP, erhält er diesen Status und damit +50% Schaden bei allen Angriffen und 25% Schadensresistenz.",,,"С момента включения (при сработке датчика движения) Робот получает 5 Очков Воли каждый ход. Его скорость определяется текущими Очками Воли. Как только он достигает максимального значения Очков Воли, он перейдет в БОЕВОЙ РЕЖИМ: +50% урона при атаке и +25% стойкости к получаемому урону.",,
UNKNOWN_STATUS_NAME,Text,,?,,?,?,,,?,,
UNKNOWN_STATUS_DESCRIPTION,Text,,Research the entity to learn what it is capable of,,Effectuez des recherches sur l'entité pour découvrir de quoi elle est capable.,"Erforsche die Entität, um herauszufinden, wozu diese fähig ist.",,,"Исследуйте эту сущность, чтобы понять, на что она способна",,
KEY_EMP_RESISTANCE_NAME,Text,,IMMUNE TO EMP,,IMMUNITÉ : IEM,IMMUN GEGEN EMP,,,ИММУНИТЕТ К ЭМИ-ОРУЖИЮ,,
KEY_EMP_RESISTANCE_DESCRIPTION,Text,,Immune to EMP attacks,,Immunité contre les attaques IEM.,Immunität gegen EMP-Angriffe.,,,Невосприимчивость к электро-магнитным импульсным (ЭМИ) атакам,,
IMMUNITY_TO_PARALYSIS_NAME,Text,,IMMUNE TO PARALYZE WEAPONS,,IMMUNITÉ : PARALYSIE,IMMUN GEGEN LÄHMUNG,,,ИММУНИТЕТ К ПАРАЛИЗУЮЩЕМУ ОРУЖИЮ,,
IMMUNITY_TO_PARALYSIS_DESCRIPTION,Text,,Immune to Paralyze weapons,,Immunité contre les armes paralysantes.,Immunität gegen Lähmungswaffen.,,,Невосприимчивость к атакам парализующего оружия,,
FIRE_QUENCHER_NAME,Text,,FIRE QUENCHER,,EXTINCTEUR,FLAMMENLÖSCHER,,,ОГНЕТУШИТЕЛЬ,,
FIRE_QUENCHER_DESCRIPTION,Text,,Immunity to fire. Replaces any lit tiles it passes through with Mist.,,Immunité au feu. Remplace toutes les cases enflammées par lesquelles il passe par de la Brume.,"Immunität gegen Feuer. Ersetzt alle entzündeten Felder, die durchquert werden, durch Nebel.",,,"Невосприимчивость к огню. Тушит все горящие клетки при проходе по ним, но создает там Туман.",,
ROOKIE_VULNERABILITY_NAME,Text,,Heroes always win,,Les héros triomphent toujours,Helden gewinnen immer,,,Герои всегда побеждают,,
ROOKIE_VULNERABILITY_DESCRIPTION,Text,,...When you are playing on Rookie. All enemies suffer 50% more damage.,,...Quand vous jouez en mode « Bleu ». Tous les ennemis subissent 50 % de dégâts supplémentaires.,... auf dem Schwierigkeitsgrad „Grünschnabel“ bekommen alle Gegner 50% <i>mehr</i> Schaden.,,,"...Если вы играете на сложности Новичок, все враги получают на 50% больше урона.",,
ROOKIE_PROTECTION_DESCRIPTION,Text,,...When you are playing on Rookie. All Phoenix operatives suffer 50% less damage.,,...Quand vous jouez en mode « Bleu ». Toutes les unités du Phoenix subissent 50 % de dégâts en moins.,... auf dem Schwierigkeitsgrad „Grünschnabel“ erleiden alle Phoenix-Einheiten 50% <i>weniger</i> Schaden.,,,"...Если вы играете на сложности Новичок, все бойцы Феникса получают на 50% меньше урона.",,
ETERMES_VULNERABILITY_NAME,Text,,You are playing on the Eldritch difficulty,,Vous êtes Etermes,Du bist Etermes,,,Профессионал,,
ETERMES_VULNERABILITY_DESCRIPTION,Text,,...And everything is always too easy for you. All Phoenix operatives suffer 25% more damage.,,...Et tout est toujours trop facile pour vous. Toutes les unités du Phoenix subissent 25 % de dégâts supplémentaires.,... und für dich immer alles zu einfach. Alle Einheiten von Phoenix erleiden 25% mehr Schaden.,,,...Для вас все всегда слишком легко? Все бойцы Феникса получают на 25% больше урона.,,
ETERMES_PROTECTION_DESCRIPTION,Text,,...And everything is always too easy for you.,,...Et tout est toujours trop facile pour vous.,... und für dich immer alles zu einfach,,,...Для вас все всегда слишком легко.,,
SCYLLA_DAMAGERESISTANCE_NAME,Text,,Apex of Creation,,Apogée de la Création,Höhepunkt der Schöpfung,,,Вершина Творения,,
SCYLLA_DAMAGERESISTANCE_DESCRIPTION,Text,,This Scylla has a 25% resistance against all types of damage.,,Cette Scylla possède une résistance de 25 % contre tous les types de dégâts.,Diese Scylla besitzt eine 25%ige Resistenz gegen alle Schadensarten.,,,Эта Сцилла имеет 25%-ю стойкость ко всем видам урона.,,
ROBOTIC_SELF_REPAIR_TITLE,Text,,SELF-RESTORE,,AUTO-RESTAURATION,SELBSTWIEDERHERSTELLUNG,,,САМОВОССТАНОВЛЕНИЕ,,
ROBOTIC_SELF_REPAIR_ABILITY_TEXT,Text,,Restores all its disabled limbs after one turn.,,Restaure tous ses membres désactivés après un tour.,Stellt nach einer Runde alle seine geschädigten Gliedmaßen wieder her.,,,Восстанавливает все свои выбитые конечности через один ход.,,
ROBOTIC_SELF_REPAIR_TEXT_TEXT,Text,,All disabled limbs will be restored with half their maximum health next turn.,,Tous les membres désactivés seront restaurés avec la moitié de leur santé maximale au tour suivant.,Alle geschädigte Gliedmaßen werden in der nächsten Runde mit der Hälfte ihrer maximalen Gesundheit wiederhergestellt.,,,В следующий ход все выбитые конечности восстановят половину своих хитов.,,
CYCLOPS_SCREAM_TITLE,Text,,TREMOR STOMP,,PIÉTINEMENT TELLURIQUE,ERSCHÜTTERUNGSTAMPF,,,ЗВУКОВОЙ УДАР,,
CYCLOPS_SCREAM_DESCRIPTION,Text,,"Disorients, deals 60 damage and 1 psychic damage to all organic targets within 12 tiles. ",,"Désoriente, inflige 60 points de dégâts et 1 point de dégâts psychiques à toutes les cibles organiques dans un rayon de 12 cases.",Desorientiert - fügt allen organischen Zielen innerhalb von 12 Feldern 60 Schadenspunkte und 1 psychischen Schadenspunkt zu,,,"Дезориентирует, наносит 60 урона и 1 единицу психического урона всем органическим целям в радиусе 12 клеток. <i>Словно самолет пролетел мимо...</i>",,
KEY_MUTOID_CURE_SPRAY_DESCRIPTION,Text,,"Removes all Paralysis, Bleeding, Poison, Strained, Infected, Dazed, and Slowed status effects from target ally.",,"Retire tous les effets de statut Paralysie, Saignement, Poison, Tension, Infection, Étourdissement et Ralentissement de l'allié ciblé.","Entfernt alle Statuseffekte wie Lähmung, Blutend, Vergiftung, Erschöpfung, Infektion, Benommenheit und Verlangsamung vom anvisierten Verbündeten.",,,"Снимает все эффекты Паралича, Кровотечения, Отравления, Инфицирования, Заражения, Оглушения и Замедления с целевого союзника.",,
ACID_IMMUNITY_NAME,Text,,ACID IMMUNITY,,IMMUNITÉ : ACIDE,SÄUREIMMUNITÄT,,,ИММУНИТЕТ К КИСЛОТЕ,,
ACID_IMMUNITY_DESCRIPTION,Text,,Immune to Acid,,Immunité contre l’acide.,Immunität gegen Säure.,,,Невосприимчивость к повреждениям от кислоты,,
CAPTURE_ABILITY_NAME,Text,,PRIORITY SKYHOOK EXTRACTION,,EXTRACTION SKYHOOK PRIORITAIRE,PRIORITÄTSEVAKUIERUNG „SKYHOOK“,,,ЗАХВАТИТЬ В ПЕРВУЮ ОЧЕРЕДЬ,,
CAPTURE_ABILITY_DESCRIPTION,Text,,Marks the paralyzed Pandoran for priority extraction and capture at the end of the mission.,,Marque le Pandorien paralysé pour une extraction prioritaire et une capture à la fin de la mission.,Markiert den gelähmten Pandoraner zur prioritären Evakuierung und Gefangennahme am Ende der Mission.,,,Отмечает парализованного Пандорана для приоритетного захвата в конце миссии.,,
CAPTURE_STATUS_NAME,Text,,PRIORITY FOR EXTRACTION AND CAPTURE,,PRIORITÉ D'EXTRACTION ET DE CAPTURE,PRIORITÄT FÜR EVAKUIERUNG UND GEFANGENNAHME,,,ПРИОРИТЕТНЫЙ ЗАХВАТ,,
CAPTURE_STATUS_DESCRIPTION,Text,,This Pandoran has been marked for priority extraction at the end of this mission; it will be extracted even if more valuable Pandorans have been paralyzed.,,Ce Pandorien a été marqué pour une extraction prioritaire à la fin de cette mission ; il sera extrait même si d'autres Pandoriens plus précieux ont été paralysés.,"Pandoraner wurde für die vorrangige Extraktion am Missionsende markiert - er wird extrahiert, auch wenn wertvollere Pandoraner gelähmt wurden.",,,"Этот Пандоран был помечен для приоритетного захвата и погрузки в самолет в конце этой миссии. Он будет захвачен, даже если были парализованы и более ценные Пандораны.",,
CANCEL_CAPTURE_NAME,Text,,CANCEL PRIORITY SKYHOOK EXTRACTION,,ANNULER EXTRACTION SKYHOOK PRIORITAIRE,ABBRUCH PRIORITÄTSEVAKUIERUNG „SKYHOOK“,,,ОТМЕНИТЬ ЗАХВАТ,,
CANCEL_CAPTURE_DESCRIPTION,Text,,Removes this paralyzed Pandoran from priority list for extraction at the end of the mission.,,Retire ce Pandorien paralysé de la liste d'extraction prioritaire à la fin de la mission.,Pandoraner aus der Evakuierungs-Prioritätenliste entfernen.,,,Убирает этого парализованного Пандорана из списка приоритетов для захвата в конце миссии.,,
