Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
TFTV_CAPTURE_DRONES_MODULE_NAME,Text,,Salvage Drones,,Drones de récupération,Bergungsdrohnen,,Drony odzysku,Грузовые Дроны,Drones de Salvamento,
TFTV_CAPTURE_DRONES_MODULE_DESCRIPTION,Text,,"A pack of autonomous retrieval drones that scour the battlefield, securing all items even when the area remains contested. All items left on the ground are collected on mission end.",,"Un groupe de drones de récupération autonomes qui parcourent le champ de bataille, récupérant tous les objets même si la zone reste contestée. Tous les objets laissés au sol sont collectés à la fin de la mission.","Ein Schwarm autonomer Bergungsdrohnen, der das Schlachtfeld absucht und alle Gegenstände sichert – auch in umkämpften Gebieten.
<b>Alle am Boden verbliebenen Gegenstände werden am Missionsende eingesammelt.</b>",,"Pakiet autonomicznych dronów odzyskujących, które przeczesują pole walki i zabezpieczają wszystkie przedmioty nawet wtedy, gdy obszar pozostaje sporny. Wszystkie przedmioty pozostawione na ziemi są zbierane po zakończeniu misji.","Рой дронов с захватами для сбора трофеев с поля боя, даже с незачищенной территории. В конце миссии все, что лежит на земле, будет подобрано!","Una bandada de drones autónomos que registran el campo de batalla, asegurando todos los objetos incluso cuando el área aún está en conflicto. Todos los objetos no asegurados se recogen al final de la misión.",
TFTV_VEHICLE_HARNESS_MODULE_NAME,Text,,Ezekiel's Dream,,Le Rêve d’Ézéchiel,Ezechiels Traum,,Sen Ezechiela,Модуль «Мечта Иезекииля»,El Sueño de Ezekiel,
TFTV_VEHICLE_HARNESS_MODULE_DESCRIPTION,Text,,A reinforced hard-point harness that lets any aircraft carry a ground vehicle as external cargo. Aircraft can carry a vehicle for 1 space less (Thunderbird can carry 2 vehicles for 1 space each).,,Un harnais renforcé à point d’ancrage rigide permettant à n’importe quel apareil de transporter un véhicule terrestre en tant que cargaison externe. Les apareils peuvent transporter un véhicule pour 1 case de moins (le Thunderbird peut transporter 2 véhicules pour 1 case chacun).,"Verstärkte Außenlast-Aufhängung, die es Fluggeräten erlaubt, Bodenfahrzeuge extern zu transportieren.
<b>Fahrzeuge benötigen 1 Platz weniger</b> (Thunderbird kann <b>2 Fahrzeuge zu je 1 Platz</b> transportieren).",,"Wzmocniona uprząż z twardymi punktami podwieszeń, która pozwala każdemu statkowi powietrznemu przewozić pojazd jako ładunek zewnętrzny. Pojazdy zajmują o 1 miejsce mniej (Thunderbird może przewozić 2 pojazdy po 1 miejscu każdy).","Усиленный грузовой захват для машин. Позволяет самолету нести машину снаружи корпуса. Машина занимает на 1 пассажиро-место меньше. (Гром-птица может нести 2 машины, по 1-му месту на каждую).",Un arnés reforzado que permite a cualquier nave aérea cargar un vehículo terrestre como carga externa. La nave puede cargar un vehículo por 1 espacio menos (El Thunderbird puede cargar 2 vehículos sin coste adicional).,
TFTV_SCANNER_MODULE_NAME,Text,,Signal Harvester,,Collecteur de signaux,Signalsammler,,Żniwiarz sygnałów,Звукоулавливатель,Segador de Señales,
TFTV_SCANNER_MODULE_DESCRIPTION,Text,,"A jumble of antenna arrays to listen in on other people's conversations. Provides SCAN ABILITY: spend 12 hours and 5 tech and 30 mat to detect Points of Interest on the Geoscape within 2000 KM (50% success rate).
Aircraft cannot move during scan.",,"Un amas d'antennes permettant d'intercepter les communications adverses. Confère la capacité SCANNER : dépensez 12 heures, 5 de technologie et 30 de matériaux pour détecter des points d'intérêt sur le Géoscape dans un rayon de 2000 km (taux de réussite de 50 %).
L'appareil ne peut pas se déplacer pendant le scan.","Ein Antennenwirrwarr, welches das verzweifelte Rauschen der Welt auffängt. Erhöht die Chance, noch nicht ganz verlorene Orte zu finden.
<b>Fähigkeit „Scannen“ mit 50% Chance, einen POI zu entdecken.</b>

<color=#E0E0E0>[BENNU]: Der Scan-Vorgang erfordert eine 12-stündige stationäre Positionierung des Fluggerätes. Dieses Verfahren ermöglicht die Aufklärung entlegener Gebiete ohne die vorherige Aktivierung lokaler Stützpunkte.</color>",,"Plątanina anten nasłuchowych do podsłuchiwania cudzych rozmów. Zapewnia umiejętność SKAN: poświęć 12 godzin oraz 5 tech i 30 mat, aby wykryć Punkty Zainteresowania na Geosferze w promieniu 2000 KM (50% szans powodzenia). Statek nie może poruszać się w trakcie skanu.","Блок из нескольких направленных микрофонов, позволяющий подслушивать чужие переговоры. Дает способность Сканировать с 50% шансом обнаружить неразведанные локации на Геоскейпе в радиусе 2000 км. Затраты: 12 часов, 5 технологий и 30 материалов.
Самолет не может двигаться во время Сканирования.","Un conjunto de antenas para escuchar conversaciones ajenas. Proporciona capacidad de escaneo, con un 50 % de probabilidad de detectar Puntos De Interés.",
TFTV_PASSENGER_MODULE_NAME,Text,,Barracuda Berths,,Lits Barracuda,Barracuda-Kojen,,Koje Barracudy,Подвесная гондола «Барракуда»,Amarres Barracuda,
TFTV_PASSENGER_MODULE_DESCRIPTION,Text,,"Reconfigures the Manticore’s hold into two extra passenger pods, at the cost of some speed. Adds 2 passenger seats, –200 Speed",,"Reconfigure la soute du Manticore en deux modules passagers supplémentaires, au prix d’une certaine vitesse. Ajoute 2 places passagers, –200 en Vitesse","Rüstet den Laderaum des Manticore mit zwei zusätzlichen Truppmodulen um – auf Kosten der Geschwindigkeit.
<b>+2 Truppplätze, -200 Geschwindigkeit</b>",,"Przebudowuje ładownię Mantikory w dwa dodatkowe kapsuły pasażerskie kosztem części prędkości. Dodaje 2 miejsca pasażerskie, -200 prędkości.","Расширяет салон Мантикоры с некоторой потерей в скорости: +2 пассажиро-места, но -200 Скорости","Reconfigura la bodega del Manticore en 2 cápsulas adicionales para pasajeros, a costa de algo de Velocidad. Añade 2 asientos para pasajeros, -200 de Velocidad.",
TFTV_CLINIC_MODULE_NAME,Text,,Neurorest Hammocks,,Hamacs Neurorepos,Neurorest,,Hamak neuroodpoczynku,Модуль «Нейро-гамаки»,Hamacas Neurorest,
TFTV_CLINIC_MODULE_DESCRIPTION,Text,,"A set of mesh slings with IV drips and brain-wave modulators, because we all deserve a natural rest. Operatives on board recover a small amount of Stamina.",,"n ensemble de hamacs en filet équipés de perfusions et de modulateurs d’ondes cérébrales, parce que nous méritons tous un repos naturel. Les unités à bord récupèrent une petite quantité d’Endurance.","Netzhängematten mit Infusionen und Hirnwellenmodulatoren – denn natürliche Erholung steht allen zu.
<b>Einheiten an Bord regenerieren langsam Ausdauer.</b>",,"Zestaw siatkowych hamaków z kroplówkami i modulatorami fal mózgowych, bo każdemu należy się naturalny odpoczynek. Operatorzy na pokładzie odzyskują niewielką ilość wytrzymałości.","Гамаки, оборудованные капельницами и нейро-модуляторами мозговых волн, идеально для спокойного отдыха! Бойцы на борту медленно восстанавливают Выносливость.","Un juego de hamacas de malla con sueros intravenosos y moduladores de ondas cerebrales, porque todos merecemos un descanso natural. Los operativos a bordo recuperan algo de energía.",
