Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_TFTV_PERSONNEL_ROSTER_TITLE,Text,,PHOENIX PERSONNEL,,,,,,,,
KEY_TFTV_PERSONNEL_ROSTER_EMPTY,Text,,Nobody here.,,,,,,,,
KEY_TFTV_PERSONNEL_FILTER_ALL,Text,,ALL,,,,,,,,
KEY_TFTV_PERSONNEL_FILTER_ASSIGNED,Text,,ASSIGNED,,,,,,,,
KEY_TFTV_PERSONNEL_FILTER_UNASSIGNED,Text,,UNASSIGNED,,,,,,,,
KEY_TFTV_PERSONNEL_FILTER_COUNT,Text,,{0} ({1}),,,,,,,,
KEY_TFTV_PERSONNEL_AUTO_ASSIGN,Text,,Auto-assign,,,,,,,,
KEY_TFTV_PERSONNEL_STATUS_FIELD_DUTY,Text,,Field duty,,,,,,,,
KEY_TFTV_PERSONNEL_STATUS_RESEARCH,Text,,Research,,,,,,,,
KEY_TFTV_PERSONNEL_STATUS_FABRICATION,Text,,Fabrication,,,,,,,,
KEY_TFTV_PERSONNEL_STATUS_DISMISSED,Text,,Dismissed,,,,,,,,
KEY_TFTV_PERSONNEL_STATUS_IDLE,Text,,Idle,,,,,,,,
KEY_TFTV_PERSONNEL_STATUS_UNKNOWN_NAME,Text,,Unknown,,,,,,,,
KEY_TFTV_PERSONNEL_ACTION_DISMISS,Text,,DISMISS FROM FIELD DUTY,,,,,,,,
KEY_TFTV_PERSONNEL_ACTION_DEPLOY,Text,,DEPLOY,,,,,,,,
KEY_TFTV_PERSONNEL_DISMISS_PROMPT,Text,,Dismiss {0} from field duty?,,,,,,,,
KEY_TFTV_PERSONNEL_DISMISS_REDEPLOY_COST,Text,,Redeploying them to a base later costs {0} shared skill points.,,,,,,,,
KEY_TFTV_PERSONNEL_DISMISS_TRAINING_CAPPED,Text,,They cannot be trained any further.,,,,,,,,
KEY_TFTV_PERSONNEL_DISMISS_TRAINING_AVAILABLE,Text,,"They can be trained further in their class up to level {0}, at {1} shared skill points per level.",,,,,,,,
KEY_TFTV_PERSONNEL_DISMISS_GRUNT,Text,,"{0} is rank and file: they cannot be assigned to research or manufacturing, and cannot be used to activate an outpost or a base. {1}",,,,,,,,
KEY_TFTV_PERSONNEL_DISMISS_CIVILIAN,Text,,They join base personnel and can be assigned to research or manufacturing. {0},,,,,,,,
KEY_TFTV_PERSONNEL_DISMISS_FAILED,Text,,"{0} could not be dismissed from field duty. They are still on the roster; see TFTV.log for the reason.",,,,,,,,
KEY_TFTV_PERSONNEL_RESEARCH_TITLE,Text,,RESEARCH,,,,,,,,
KEY_TFTV_PERSONNEL_FABRICATION_TITLE,Text,,FABRICATION,,,,,,,,
KEY_TFTV_PERSONNEL_UNASSIGN_ALL,Text,,UNASSIGN ALL,,,,,,,,
KEY_TFTV_PERSONNEL_RESEARCH_BOOST,Text,,+{0} research boost,,,,,,,,
KEY_TFTV_PERSONNEL_MANUFACTURING_BOOST,Text,,+{0} manufacturing boost,,,,,,,,
KEY_TFTV_PERSONNEL_LABS_BUILT,Text,,Research Labs built: {0},,,,,,,,
KEY_TFTV_PERSONNEL_PLANTS_BUILT,Text,,Fabrication Plants built: {0},,,,,,,,
KEY_TFTV_PERSONNEL_NO_WORKERS,Text,,No one assigned.,,,,,,,,
KEY_TFTV_PERSONNEL_TRAINING_TITLE,Text,,TRAINING,,,,,,,,
KEY_TFTV_PERSONNEL_TRAINING_EMPTY,Text,,Nobody in training.,,,,,,,,
KEY_TFTV_PERSONNEL_TRAINING_READY,Text,,Ready,,,,,,,,
KEY_TFTV_PERSONNEL_PHOENIX_SP,Text,,PHOENIX SP,,,,,,,,
KEY_TFTV_PERSONNEL_BUTTON_TRAIN,Text,,TRAIN,,,,,,,,
KEY_TFTV_PERSONNEL_BUTTON_DEPLOY,Text,,DEPLOY,,,,,,,,
KEY_TFTV_PERSONNEL_WHO_TRAINS,Text,,Who should train?,,,,,,,,
KEY_TFTV_PERSONNEL_WHO_DEPLOYS,Text,,Who should deploy?,,,,,,,,
