Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
TFTV_CRUISE_CONTROL_MODULE_DESCRIPTION,Text,,Provides +4 passenger slots and increases aircraft speed,提供+4個乘客位並提高飛機速度,,,,,+4 места для бойцов и увеличение скорости самолета,,
TFTV_CRUISE_CONTROL_MODULE_NAME,Text,,Quick response passenger module,快速響應乘客模組,,,,,Модуль перехвата и вместимости,,
TFTV_FUEL_TANK_MODULE_DESCRIPTION,Text,,Provides +4 passenger slots and increases aircraft range,提供+4個乘客位並增加飛機航程,,,,,+4 места для бойцов и увелечение дальности полета самолета,,
TFTV_FUEL_TANK_MODULE_NAME,Text,,Extended range passenger module,增程乘客模組,,,,,Модуль дальности полета и вместимости,,
KEY_TFTV_CAPTURE_MODULE_NAME,Text,,Scylla capture passenger module,Scylla 捕獲乘客模組,,,,,Модуль захвата Сциллы и вместимости,,
KEY_TFTV_CAPTURE_MODULE_DESCRIPTION,Text,,Provides +4 passenger slots and additional capture capabilities,提供+4個乘客位和額外的捕捉能力,,,,,+4 места для бойцов и изолятор для Сциллы,,
KEY_DLC3_GEOBONUS_RECUPERATION,Text,,"Allows capturing Scylla, + 8 capture slots",允許捕獲 Scylla，+ 8 個捕獲槽,,,,,"Три дополнительных слота для захвата, можно захватить даже Сциллу",,
KEY_DLC3_GEOBONUS_STAMINA,Text,,Onboard personnel recovers Stamina,船上人員恢復體力,,,,,Пассажиры самолета медленно восстанавливают Выносливость,,
TFTV_FARM_MODULE_DESCRIPTION,Text,,Provides +4 passenger slots and stamina recovery,提供+4乘客位和體力恢復,,,,,Разведывательно-штурмовой модуль: +4 места для бойцов и восстановление Выносливости у пассажиров самолета,,
TFTV_FARM_MODULE_NAME,Text,,FAR-M,農場,,,,,РШМ,,
KEY_LIVING_MACHINE_GUN_DESCRIPTION,Text,,Poison Firing Living Machine Gun,發射毒藥的活體機槍,,,,,Стреляющий ядом Живой Пулемет,,
KEY_LIVING_MACHINE_GUN_NAME,Text,,Malachi MG,瑪拉基MG,,,,,"Пулемет ""Малачи""",,
KEY_LIVING_RIFLE_DESCRIPTION,Text,,Acid Firing Living Assault Rifle,酸發射活體突擊步槍,,,,,Стреляющий кислотой Живой Автомат,,
KEY_LIVING_RIFLE_NAME,Text,,Burner AR,燃燒器 AR,,,,,"Автомат ""Сжигатель""",,
KEY_BASE_FACILITY_FOOD_PRODUCTION_DESCRIPTION_TFTV,Text,,A food production facility that generates enough food for 8 soldiers each day. Allows rendering captured Pandorans for food after corresponding research.,一個糧食生產設施，每天生產足夠 8 名士兵食用的食物。經過相應的研究後，可以將捕獲的潘朵拉人轉化為食物。,,,,,"Пищевой комбинат, производит достаточно еды для 8 бойцов каждый день. Позволяет перерабатывать захваченных Пандоранов в пищу после выполнения соответствующего исследования.",,
KEY_BASE_FACILITY_MUTATION_LAB_DESCRIPTION_TFTV,Text,,"Allows soldiers to be mutated, and produces mutagens from captured Pandorans - the raw material for mutation.",允許士兵變異，並從捕獲的潘朵拉人產生誘變劑－變異的原料。,,,,,Позволяет бойцам управляемо мутировать и добывает мутагены из пленных Пандоранов - сырье для мутаций.,,
KEY_BASE_FACILITY_ARCHEOLOGY_LAB_DESCRIPTION,Text,,The Archaeology Lab allows the construction of Archaeology Probes. You only need one Archaelogy Lab and there are no benefits to having more than that. Note that it does not generate regular research.,考古實驗室允許建造考古探測器。您只需要一個考古實驗室，擁有更多實驗室沒有任何好處。請注意，它不會產生定期研究。,,,,,"Лаборатория археологии позволяет строить археологические зонды. Вам нужна только одна лаборатория археологии на все базы. Обратите внимание, что она не добавляет регулярные исследования.",,
KEY_REPAIR_KIT_DESCRIPTION,Text,,Removes all negative status effects from target.,消除目標的所有負面狀態效果。,,,,,Снимает с цели все негативные статусы.,,
KEY_REPAIR_KIT_NAME,Text,,Nanotech Fieldkit,奈米科技現場套件,,,,,Нано-аптечка,,
KEY_REPAIR_KIT_ABILITY_DESCRIPTION,Text,,"Removes all acid, bleeding, blind, paralyzed, poisoned, slowed, stun, trembling, viral status from the target.",移除目標的所有酸液、流血、失明、麻痺、中毒、減速、眩暈、顫抖、病毒狀態。,,,,,"Снимает с цели поражения Кислотой, Кровотечение, Ослепление, Паралич, Отравление, Замедление, Оглушение, Тремор, Вирусный статус.",,
KEY_REPAIR_KIT_ABILITY_NAME,Text,,USE NANOTECH FIELDKIT,使用奈米技術 FieldKit,,,,,ИСПОЛЬЗОВАТЬ МЕДИЦИНСКИЙ НАНОДРОИД,,
KEY_PX_BLAST_RES_ATTACHMENT_DESCRIPTION,Text,,Blast and Fire Damage Resistant Vest,防爆和防火背心,,,,,"Костюм сапера, защищающий от воздействия взрывов и огня",,
KEY_PX_BLAST_RES_ATTACHMENT_NAME,Text,,Hazard Protection Vest,危險防護背心,,,,,Костюм сапера взрывозащитный,,
EXTRAHEALING_NAME,Text,,INCREASED HEALING,增加治療效果,,,,,ПОЛЕВАЯ АПТЕЧКА,,
EXTRAHEALING_DESCRIPTION,Text,,Increases incoming healing by 25%,增加 25% 的治療效果,,,,,Улучшает лечение на 25%,,
RESISTANCE_TO_PARALYSIS_NAME,Text,,PARALYSIS RESISTANCE,麻痺抵抗,,,,,УСТОЙЧИВОСТЬ К ПАРАЛИЧУ,,
RESISTANCE_TO_PARALYSIS_DESCRIPTION,Text,,Reduces incoming paralysis damage by half,將受到的麻痺傷害減少一半,,,,,Получаемый парализующий урон уменьшается в два раза,,
KEY_SY_POISON_RES_VEST_ATTACHMENT_DESCRIPTION,Text,,Poison and Paralysis-resistant enhanced healing undersuit,抗毒和抗麻痺增強癒合內衣,,,,,"Костюм, защищающий от яда и парализующего оружия",,
KEY_SY_POISON_RES_VEST_ATTACHMENT_NAME,Text,,Trauma Response Vest,創傷反應背心,,,,,Костюм биозащиты,,
KEY_BLAST_RESISTANCE_NAME,Text,,BLAST RESISTANCE,防爆,,,,,УСТОЙЧИВОСТЬ К ВЗРЫВАМ,,
KEY_NJ_FIRE_RES_VEST_ATTACHMENT_DESCRIPTION,Text,,New Jericho Acid-resistant Undersuit Module,新型 Jericho 耐酸內衣模組,,,,,"Костюм химзащиты Нового Иерихона, защищающий от воздействия кислоты",,
KEY_NJ_FIRE_RES_VEST_ATTACHMENT_NAME,Text,,Acid-Res Vest Module,抗酸背心模組,,,,,Костюм защитный химический,,
KEY_SY_MIST_REPEL_ATTACHMENT_DESCRIPTION,Text,,Synedrion Mist-repellant Leg Module,Synedrion 防霧腿部模組,,,,,"Модуль Синедриона для ног, позволяющий рассеивать Туман",,
NANOVEST_NAME,Text,,Nanotech Vest,奈米科技背心,,,,,Нано-комбинезон,,
