Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
PROG_LE1_WIN_CHOICE_2_OUTCOME_GENERAL,Text,,"MESSAGE 
From:Colonel Jack Harlson (New Jericho) 
To: Phoenix Point

The Pandorans grow ever more cunning and deliberate in their attacks. We need more and better weapons. West is right: whatever the wishful thinkers may be dreaming, any feasible solution to this menace requires force and the willingness to use it.",,"MESSAGE
Expéditeur : Colonel Jack Harlson (Nouvelle Jericho)
Destinataire : Phoenix Point

Les pandorans deviennent de plus en plus rusés et réfléchis dans leurs attaques. Nous avons besoin de plus d’armes et de meilleures qualités. West a raison : peu importe ce que rêvent les penseurs, toute solution réaliste à cette menace nécessite la force et la volonté de l’utiliser.",,,,,,
PROG_LE1_WIN_CHOICE_2_TEXT,Text,,"The Pandorans did it, all of it!",,Les Pandorans l’ont fait !,,,,,,
PROG_LE1_WIN_CHOICE_1_OUTCOME_GENERAL,Text,,"MESSAGE 
From: Colonel Jack Harlson (New Jericho) 
To: Phoenix Point

I wanted to thank you personally for delivering this information. It is crucial that all of us understand the peril we are facing. Over the years we have gathered a lot of evidence showing how the Anu cultists are collaborating with the enemy. In due time, they will pay for their crimes against humanity.",,"MESSAGE
Expéditeur : Colonel Jack Harlson (Nouvelle Jericho)
Destinataire : Phoenix Point

Je tiens à vous remercier personnellement d’avoir fourni cette information. Il est crucial que nous comprenions tous les dangers auxquels nous faisons face. Au fil des ans, nous avons rassemblé beaucoup de preuves montrant comment les cultistes Anu collaborent avec l’ennemi. En temps voulu, ils paieront pour leurs crimes contre l’humanité.",,,,,,
PROG_LE1_WIN_CHOICE_1_TEXT,Text,,Provide New Jericho with intelligence <i>proving</i> that Anu instigated the Pandoran attack,,Fournir à New Jericho des renseignements <i>prouvant</i> qu’Anu a provoqué l’attaque des Pandoriens,,,,,,
PROG_LE1_WIN_CHOICE_0_OUTCOME_GENERAL,Text,,"MESSAGE 
From: Colonel Jack Harlson (New Jericho) 
To: Phoenix Point 

It has been reported that your organization is in the possession of an armored vehicle stolen from a New Jericho facility that came under heavy attack by Pandorans and unknown human or pseudo-human assailants. 

I'll be looking into this matter personally. 

West is showing great leniency to your organization in the expectation of the role it will play in the delivery of our species. For my part, sometimes I'm not so sure that we need you at all.",,"MESSAGE
Expéditeur : Colonel Jack Harlson (Nouvelle Jericho)
Destinataire : Phoenix Point

Il a été rapporté que votre organisation est en possession d’un véhicule blindé volé dans une installation de la Nouvelle Jericho qui a été attaquée par des Pandorans et des assaillants humains ou pseudo-humains inconnus.

Je vais me renseigner personnellement.

West fait preuve d’une grande indulgence à l’égard de votre organisation dans l’attente du rôle qu’elle jouera dans la libération de notre espèce. Pour ma part, parfois je ne suis pas sûr qu’on ait besoin de vous.",,,,,,
PROG_LE1_WIN_CHOICE_0_TEXT,Text,,Keep the Armadillo,,Gardez l’Armadillo,,,,,,
PROG_LE1_WIN_TEXT_GENERAL_0,Text,,We succeeded in our mission despite the unexpected appearance of Pandorans on the scene. Now we have to decide on our response to New Jericho.,,"Nous avons réussi notre mission malgré l’apparition inattendue de Pandoriens sur la zone. Maintenant, nous devons décider de notre réponse à la Nouvelle Jericho.",,,,,,
PROG_LE1_WIN_TITLE,Text,,Playing the Blame Game,,Le jeu de la culpabilité,,,,,,
PROG_LE1_MISS_CHOICE_0_TEXT,Text,,START MISSION,,COMMENCER LA MISSION,,,,,,
PROG_LE1_MISS_CHOICE_1_TEXT,Text,,CANCEL,,ANNULER,,,,,,
PROG_LE1_MISS_TEXT_GENERAL_0,Text,,"MISSION BRIEFING

We have come up with a simple plan to obtain the NG+ Weapon Systems research without prejudicing our relations with New Jericho or drawing their attention to the value of the data in their possession. 

Your team will be inserted outside the operational perimeter and proceed to the objective on foot. After obtaining a copy of the data, they will steal an armored vehicle from the garrison and make their getaway in it. They will subsequently abandon and destroy the vehicle. We will present the facts to New Jericho as a raid by an unknown third party. As long as we can maintain plausible deniability, our relations with NJ should not be affected.",,"BRIEFING DE MISSION

Nous avons élaboré un plan simple pour obtenir la recherche sur les systèmes d’armes NG+ sans nuire à nos relations avec la Nouvelle Jericho, ni attirer leur attention sur la valeur des données en leur possession.

Votre équipe sera insérée hors du périmètre opérationnel et se dirigera vers l’objectif à pied. Après avoir obtenu une copie des données, ils vont voler un véhicule blindé de la garnison et s'enfuir avec. Ils vont ensuite abandonner et détruire le véhicule. Nous allons présenter les faits à la Nouvelle Jericho comme un raid par un tiers inconnu. Tant que nous pouvons maintenir un déni plausible, nos relations avec la Nouvelle Jericho ne devraient pas être affectées.",,,,,,
PROG_LE1_MISS_TITLE,Text,,Grand Theft Auto,,Grand Theft Auto,,,,,,
PROG_LE1_TEXT_GENERAL_0,Text,,"Vanadium Co had an R & D division, Next Generation+ Weapon Systems, focused on designing armaments that required as of yet undiscovered technologies, energy sources or materials with impossible tensile strengths or conductivity. 

Though at the time it was deemed little more than a publicity stunt and part of Vanadium's talent retention strategy, we speculate that these weapons could be indeed developed using the materials harnessed by the Ancients.

We have located a New Jericho archive facility harboring the NG+ Weapon Systems research.
",,"Vanadium Co avait une division de R & D, Next Generation+ Weapon Systems, axée sur la conception d’armements qui nécessitaient des technologies, des sources d’énergie ou des matériaux non encore découverts avec des résistances ou une conductivité impossibles.

Bien qu’à l’époque on ait considéré qu’il ne s’agissait que d’un coup de publicité et qu’il faisait partie de la stratégie de rétention des talents de Vanadium, nous supposons que ces armes pourraient être développées en utilisant les matériaux utilisés par les Anciens.

Nous avons localisé une installation d’archives de la Nouvelle Jericho abritant la recherche sur les systèmes d’armes NG+.",,,,,,
