Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_GEO_HINT_CUSTOMIZE_DESC,Text,,"Maybe it's time to introduce all these purple numbers and pibs!

Example: Margareta has 12 Willpower and 5 Delirium. Because she has 36 Stamina, and each 10 points in Stamina reduce effects of Delirium by 1, effect of Delirium on Margareta's Willpower is reduced by 3. Therefore she has 12-(5-3)=10 Willpower available.

1) This is character's actual Willpower. Number in <color=#A020F0>() in purple</color> means Willpower is being reduced by Delirium.
2) This shows the Delirium character has over the total Delirium character can have, depending on progress of Oneiric Delirium. At first, character may not have Delirium in excess of one third of their Willpower. By midgame this is increased to a half, and by late game there is no cap. <b>Pay attention to Oneiric Delirium events to learn when the cap is changed</b>.
3) Stamina is reducing effects of Delirium on Willpower: each <color=#A020F0><b> -</b></color> signifies that effect is reduced by 1. ","也許是時候介紹所有這些紫色數字和 Pib 了！
 
 例：瑪格麗塔有 12 點意志力和 5 點譫妄力。因為她有36點體力，體力每增加10點，譫妄效果就會減少1點，譫妄對瑪格麗塔意志力的影響就會減少3點，因此她有12-(5-3)=10點可用意志力。
 
 1）這是角色的實際意志力。 <color=#A020F0>() 中紫色的數字</color> 表示意志力因譫妄而降低。
 2) 這顯示譫妄角色的數量超過了譫妄角色的總數量，取決於夢魘譫妄的進度。起初，角色的譫妄程度不得超過其意志力的三分之一。到了遊戲中期，這個數字會增加到一半，而到了遊戲後期，就沒有上限了。 <b>專注於夢魘譫妄事件以了解上限何時更改</b>。
 3) 耐力正在減少譫妄對意志力的影響：每個<color=#A020F0><b> -</b></color>表示效果減少1。","Peut-être qu'il est temps d'expliquer tous ces chiffres violets et les hyphens !

Exemple : Margareta a 12 Points de Volonté et 5 Points de Delirium. Comme elle a 36 points d'Endurance, et que chaque 10 points d'Endurance, les effets du Délire sont réduit de 1, l'effet du Délire sur la Volonté de Margareta est réduit de 3. Elle a donc 12-(5-3)=10 Volontés disponibles.

1) C'est la volonté réelle du personnage. Le chiffre <color=#A020F0>() en violet</color> signifie que la Volonté est réduite par le Délire.
2) Cela montre que le délire du personnage est supérieur au délire total qu'il peut avoir, en fonction de la progression du délire onirique. Au début, le personnage ne peut pas avoir un délire supérieur à un tiers de sa Volonté. En milieu de partie, cette limite passe à la moitié, et en fin de partie, il n'y a plus de limite. <b>Faites attention aux événements lié au Délire onirique pour savoir quand le plafond est modifié.</b>
3) L'endurance réduit les effets du Délire sur la Volonté : chaque <color=#A020F0><b> -</b></color> signifie que cet effet est réduit de 1.",,,,"Итак, пришло время разобраться со всеми этими фиолетовыми цифрами и черточками!

Пример: у Маргарет 12 единиц Силы Воли и 5 единиц Сонного Безумия. Поскольку у Маргарет 36 единиц Выносливости, а каждые 10 единиц выносливости уменьшают эффект Сонного Безумия на 1, его влияние на Силу Воли Маргарет уменьшается на 3 (36 делим на 10 и округляем до целого числа вниз). Следовательно, у нее остается 12-5+3=10 единиц Силы Воли (то есть стартовые Очки Воли в миссиях). Посмотрим на цифры на этом скрине:

1 - это базовая Сила Воли персонажа, потенциальный максимум при прокачке персонажа и число в скобках<color=#A020F0> фиолетовым </color>цветом - текущая Сила Воли, сниженная из-за Сонного Безумия.
2 - текущий уровень Сонного Безумия у персонажа и его максимум (ИСБ - Индекс Сонного Безумия), который определяется в зависимости от прогрессирования Сонного Безумия. В начале игры максимальный уровень Сонного Безумия у персонажа может быть не более трети его Силы Воли. К середине игры это значение увеличивается до половины Силы Воли, а к концу игры ограничения пропадают. <b>Обращайте внимание на события Сонного Безумия, чтобы не пропускать изменение максимума</b>.
3 - выносливость текущая и выносливость максимальная. Выносливость снижает влияние Сонного Безумия на Силу Воли: каждый фиолетовый знак <color=#A020F0><b>-</b></color> означает, что эффект уменьшается на 1.",,
KEY_GEO_HINT_CUSTOMIZE_TITLE,Text,,DELIRIUM,譫妄,DELIRIUM,,,,СОННОЕ БЕЗУМИЕ,,
KEY_GEO_HINT_PANDORAN_BASE_DIPLOMACY_EFFECTS_DESCRIPTION,Text,,"In TFTV, Factions will <b>not</b> react negatively to revealed Pandoran Colonies if you fail to destroy them. However, you will suffer a small penalty with the leaders of the nearby havens.

Each Pandoran colony contributes to Pandoran evolution: the more active Pandoran colonies there are, the faster the enemy will field more advanced units and the faster the Oneiric Delirium will grow. 

In addition, destroying a more advanced Pandoran colony (a Lair or a Citadel) removes the earliest <b>Void Omen</b> currently in play. (On Rookie difficulty, destroying Nests also removes Void Omens). 
","在 TFTV 中，如果您未能摧毀潘朵拉殖民地，派系將<b>不會</b>對它們做出負面反應。然而，你將受到附近避難所領導人的小懲罰。
 
 每個潘朵拉殖民地都對潘朵拉的進化做出了貢獻：潘朵拉殖民地越活躍，敵人部署更先進單位的速度就越快，夢魘譫妄的增長速度也就越快。 
 
 此外，摧毀一個更先進的潘朵拉殖民地（巢穴或城堡）會移除目前遊戲中最早的<b>虛空預兆</b>。 （在新手難度下，摧毀巢穴也會消除虛空預兆）。","Dans TFTV, les factions ne réagiront <b>pas négativement</b> aux colonies pandoriennes révélées si vous ne parvenez pas à les détruire. Cependant, vous subirez une petite pénalité auprès des dirigeants des refuges proches.

Chaque colonie pandorienne contribue à l'évolution des Pandoriens : plus il y a de colonies pandoriennes actives, plus vite l'ennemi déploie des unités plus avancées et plus vite le délire onirique se développe.

En outre, la destruction d'une colonie pandorienne avancée (une tanière ou une citadelle) supprime le plus ancien présage du vide actuellement en jeu. (En difficulté ""Bleu"", la destruction des Nids pandoriens supprime également les présages du vide). 
",,,,"В TFTV фракции не будут вас штрафовать из-за обнаруженных колоний Пандоранов, если вам не удастся их уничтожить. Однако лидеры близлежащих убежищ все же будут слегка недовольны.

Каждая колония Пандоранов вносит свой вклад в эволюцию Пандоранов: чем активнее колонии Пандоранов, тем быстрее враг выставит более продвинутых юнитов и тем быстрее будет расти уровень Сонного Безумия.

Кроме того, уничтожение более продвинутой колонии Пандоранов (Логова, Цитадели, а на уровне сложности Новичок - Гнезда) деактивирует самое раннее из действующих в этот момент Знамений Пустоты.
",,
KEY_GEO_HINT_PANDORAN_BASE_DIPLOMACY_EFFECTS_TITLE,Text,,"PANDORAN COLONIES: DIPLOMACY, EVOLUTION AND VOID OMENS",潘朵拉殖民地：外交、進化與虛空預兆,"COLONIES PANDORIENNES : DIPLOMATIE, ÉVOLUTION ET PRÉSAGES DU VIDE",,,,"КОЛОНИИ ПАНДОРАНОВ: ДИПЛОМАТИЯ, ЭВОЛЮЦИЯ И ЗНАМЕНИЯ ПУСТОТЫ",,
KEY_GEO_HINT_MORE_AIRCRAFT_DESC,Text,,"In TFTV, all aircraft, except Anu Blimp, seat 4 less passengers than in Vanilla. To increase the space for units by 4, you need to equip your craft with one of the passenger modules. The starting Manticore comes with the FAR passenger module, which also (very slowly) recuperates the Stamina of all those on board. To manufacture additional FAR modules, you need to research the corresponding technology, which is unlocked after you research Phoenix Archives. There are two additional passenger modules that you may unlock in the course of the game.

Passenger modules cost half the resources and take half as much time to manufacture as a Manticore in Vanilla. The cost of all craft in the game has been, in turn, reduced by this amount. Therefore, a Manticore now costs only half the amount of resources and takes twice as fast to be manufactured.

The aircraft have a modular design, and you will want to use some of them for interception (and trading), and others for exploration (because of the risk of ambushes) and transporting operatives to tactical missions.","在 TFTV 中，除 Anu Blimp 之外的所有飛機的乘客人數均比 Vanilla 少 4 人。要將單元空間增加 4 個，您需要為您的飛行器配備一個乘客模組。起始的蠍獅配備了 FAR 乘客模組，它也（非常緩慢地）恢復船上所有人員的耐力。要製造額外的FAR模組，您需要研究相應的技術，該技術在您研究鳳凰檔案後解鎖。您可以在遊戲過程中解鎖兩個額外的乘客模組。
 
 乘客模組的資源消耗和製造時間是原版獅蠍的一半。遊戲中所有工藝的成本也相應減少了這筆金額。因此，蠍獅現在只需要一半的資源，而製造速度是原來的兩倍。
 
 該飛機採用模組化設計，您將需要使用其中一些進行攔截（和交易），另一些用於探索（因為存在伏擊的風險）和運送特工執行戰術任務。","Dans TFTV, tous les avions, à l'exception du dirigeable Anu, peuvent accueillir 4 passagers de moins que dans Vanilla. Pour augmenter l'espace pour les unités de 4, vous devez équiper votre vaisseau avec l'un des modules passagers. La Manticore de départ est équipée du module de passager FAR. les agents récupèrent (très lentement) de l'endurance lorsque ils sont à bord. Pour fabriquer des modules FAR supplémentaires, vous devez rechercher la technologie correspondante, qui est débloquée après avoir fait des recherches sur les Archives du Phoenix Point. Il existe deux modules passagers supplémentaires que vous pouvez débloquer au cours du jeu.

Les modules passagers coûtent deux fois moins de ressources et prennent deux fois moins de temps à fabriquer qu'une Manticore dans Vanilla. Le coût de tous les vaisseaux du jeu a été réduit de ce montant. Par conséquent, une Manticore ne coûte que la moitié des ressources et prend deux fois moins de temps pour être fabriquée.

Les avions sont de conception modulaire, et vous voudrez utiliser certains d'entre eux pour l'interception (et le commerce), et d'autres pour l'exploration (en raison du risque d'embuscades) et le transport de troupe vers les missions tactiques.",,,,"В TFTV все самолеты, за исключением дирижабля Ану, вмещают на 4 пассажира меньше, чем в ванильной игре. Чтобы увеличить пассажировместимость самолетов на 4 дополнительных места, вам необходимо оборудовать свой самолет одним из пассажирских модулей. Стартовая Мантикора поставляется с модулем РШМ, который также (очень медленно) восстанавливает выносливость всех, кто находится на борту. Чтобы производить такие модули, вам необходимо изучить соответствующую технологию, которая будет доступна после изучения архивов Феникса. Есть два дополнительных пассажирских модуля, которые вы можете разблокировать в ходе игры.

Пассажирские модули стоят вдвое меньше ресурсов и требуют вдвое меньше времени на изготовление, как и Мантикора, по сравнению с ванильной игрой. Стоимость всех самолетов в игре, в свою очередь, была снижена аналогично. Таким образом, Мантикора теперь стоит вдвое меньше ресурсов и изготавливается в два раза быстрее.

Самолеты имеют модульную конструкцию, некоторые из них хороши для перехвата (и торговли), а другие - для исследования локаций (из-за риска попадания в засады) и транспортировки бойцов на тактические миссии.",,
KEY_GEO_HINT_MORE_AIRCRAFT_TITLE,Text,,AIRCRAFT AND PASSENGER MODULES,飛機和客艙,AÉRONEFS ET MODULES PASSAGERS,,,,САМОЛЕТЫ И ПАССАЖИРСКИЕ МОДУЛИ,,
KEY_DLC3_TUT_SUPPLY_DESCRIPTION,Text,,"A Pandoran flyer has separated itself from the Festering Skies. It may come upon a haven and attack it. If the haven is not yet revealed, it will send an SOS disclosing its postion. 

Should the stray Pandoran flyer return to the swarm, the haven will be targeted by the Behemoth. Once a haven is targeted for attack, nothing can be done to prevent it: once the Behemoth reaches the haven, it will damage all its facilities and harvest about half of its population. 

Destroy Pandoran flyers to protect the havens, to colllect rewards from factions and to force the Behemoth to submerge.","潘朵拉飛行器已經脫離了潰爛的天空。它可能會來到避難所並攻擊它。如果尚未透露避難所，它將發送 SOS 來透露其位置。 
 
 如果流浪的潘朵拉飛行者返回蜂群，避難所將成為巨獸的目標。一旦避難所成為攻擊目標，就無法阻止它：一旦巨獸到達避難所，它就會破壞避難所的所有設施，並奪取避難所約一半的人口。 
 
 摧毀潘朵拉傳單以保護避難所，從派系收集獎勵並迫使巨獸淹沒。","Un chasseur pandorien s'est séparé du ciel fétide. Il peut tomber sur un refuge et l'attaquer. Si le refuge n'a pas encore été révélé, il enverra un SOS indiquant sa position.

Si l'aéronef pandorien errant retourne dans l'essaim, le refuge sera pris pour cible par le Béhémoth. Une fois qu'un refuge est visé par une attaque, rien ne peut être fait pour l'empêcher : une fois que le Béhémoth aura atteint le refuge, il endommagera toutes ses installations et récoltera environ la moitié de sa population. 

Détruisez les pandoriens volants pour protéger les refuges, pour collecter les récompenses des factions et pour forcer le Béhémoth à s'immerger.",,,,"Пандоранский летун отделился от ""Гнойного Неба"". Он может наткнуться на убежище и атаковать его. Если убежище еще не обнаружено, оно отправит сигнал SOS со своими координатами.

Если заблудившийся летун Пандоранов вернется обратно в рой, к убежищу направится Бегемот. Предотвратить его нападение невозможно: как только Бегемот доберется до убежища, он повредит все его объекты и уничтожит около половины его населения.

Уничтожайте летунов Пандоранов, чтобы защищать убежища, получать награды от фракций и заставить Бегемота уйти под воду пораньше.",,
KEY_DLC3_TUT_SUPPLY_NAME,Text,,PANDORAN FLYER,潘多蘭傳單,PANDORIEN VOLANT,,,,ПАНДОРАНСКИЙ ЛЕТУН,,
KEY_DLC3_TUT_BOMBARDMENT_DESCRIPTION,Text,,"A Pandoran flyer has separated itself from the Festering Skies. It may come upon a haven and attack it. If the haven is not yet revealed, it will send an SOS disclosing its postion. 

Should the stray Pandoran flyer return to the swarm, the haven will be targeted by the Behemoth. Once a haven is targeted for attack, nothing can be done to prevent it: once the Behemoth reaches the haven, it will damage all its facilities and harvest about half of its population. 

Destroy Pandoran flyers to protect the havens, to colllect rewards from factions and to force the Behemoth to submerge.","潘朵拉飛行器已經脫離了潰爛的天空。它可能會來到避難所並攻擊它。如果尚未透露避難所，它將發送 SOS 來透露其位置。 
 
 如果流浪的潘朵拉飛行者返回蜂群，避難所將成為巨獸的目標。一旦避難所成為攻擊目標，就無法阻止它：一旦巨獸到達避難所，它就會破壞避難所的所有設施，並奪取避難所約一半的人口。 
 
 摧毀潘朵拉傳單以保護避難所，從派系收集獎勵並迫使巨獸淹沒。","Un chasseur pandorien s'est séparé du ciel fétide. Il peut tomber sur un refuge et l'attaquer. Si le refuge n'a pas encore été révélé, il enverra un SOS indiquant sa position.

Si l'aéronef pandorien errant retourne dans l'essaim, le refuge sera pris pour cible par le Béhémoth. Une fois qu'un refuge est visé par une attaque, rien ne peut être fait pour l'empêcher : une fois que le Béhémoth aura atteint le refuge, il endommagera toutes ses installations et récoltera environ la moitié de sa population.

Détruisez les pandoriens volants pour protéger les refuges, pour collecter les récompenses des factions et pour forcer le Béhémoth à s'immerger.",,,,"Пандоранский летун отделился от ""Гнойного Неба"". Он может наткнуться на убежище и атаковать его. Если убежище еще не обнаружено, оно отправит сигнал SOS со своими координатами.

Если заблудившийся летун Пандоранов вернется обратно в рой, к убежищу направится Бегемот. Предотвратить его нападение невозможно: как только Бегемот доберется до убежища, он повредит все его объекты и уничтожит около половины его населения.

Уничтожайте летунов Пандоранов, чтобы защищать убежища, получать награды от фракций и заставить Бегемота уйти под воду пораньше.",,
KEY_DLC3_TUT_BOMBARDMENT_NAME,Text,,PANDORAN FLYER,潘多蘭傳單,PANDORIEN VOLANT,,,,ПАНДОРАНСКИЙ ЛЕТУН,,
