Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
UMBRA_SIGHTED_TITLE,Text,,Umbra!,遮光！,Ombre !,,,,Фиолетовая Тварь!,,
UMBRA_SIGHTED_TEXT,Text,,"<i>""They say an Umbra doesn't just kill you: it steals your soul""</i>

In TFTV, the Umbra can spawn in place of a dead Arthron or Triton with the <b>Touched by the Void</b> ability, which they have a chance to roll at the start of each complete turn. The chance to roll is the total amount of Delirium of all your operatives on the mission divided by two.

The Umbra can only attack characters with Delirium or characters caught in the Mist, but they can be attacked by all characters.","<i>「他們說 Umbra 不僅會殺了你：它會偷走你的靈魂」</i> 在 TFTV 中，Umbra 可以用<b>被虛空觸動</b>能力代替死去的 Arthron 或 Triton 生成，他們有機會在每個完整回合開始時滾動。擲骰的機會是執行任務的所有特務的譫妄總數除以二。
 
 暗影只能攻擊處於譫妄狀態的角色或陷入迷霧中的角色，但所有角色都可以攻擊它們。","<i>""On dit qu'une Ombre ne fait pas que vous tuer : elle vous vole votre âme.""</i>

Dans TFTV, l'Ombre apparaîtra à la place d'un Arthron ou d'un Triton avec la capacité <b>Touché par le Néant</b>, lorsque il meurt. Ils ont une chance au début de chaque tour complet, de faire un jet contre le montant total de Délire de tous vos agents engagés sur la mission divisé par deux.

Les Ombres ne peuvent attaquer que les personnages ayant du Délire, mais elles peuvent être attaquées par tous les personnages.",,,,"<i>""Говорят, что Фиолетовая Тварь не просто убивает тебя: она крадет твою душу.""</i>

В TFTV Фиолетовые Твари (Umbra) могут возникать из мертвых Артронов или Тритонов, которые имели способность Благословление Пустоты (Touched by the Void). Эта способность с некоторой вероятность может возникнуть у любого Артрона или Тритона в начале каждого хода. Шанс возникновения равен общему количеству очков Сонного Безумия у всех ваших бойцов в миссии, деленому пополам.

Фиолетовая Тварь может атаковать только бойцов, которые заражены Сонным Безумием, или тех, кто находится в Зоне Тумана. Фиолетовых Тварей может атаковать любой юнит.",,
REVENANT_SIGHTED_TITLE,Text,,Revenant,亡魂,Revenant,,,,Возвращенец,,
REVENANT_SIGHTED_TEXT,Text,,"<i>""The Pandorans were somehow stealing our dead and splicing them into new monstrosities. We would recognize them in the field because of some small, inconsequential detail - an involuntary spasm, betraying a familiar gesture, a terrifying scream, bearing the echo of a beloved voice.""</i>

We should try capturing it.",<i>「潘朵拉人以某種方式偷走了我們的死者，並將它們拼接成新的怪物。我們會因為一些微小的、無關緊要的細節而在現場認出他們——一次不自覺的痙攣，背叛了熟悉的手勢，一聲可怕的尖叫，帶有心愛聲音的迴聲。」</i>我們應該嘗試捕捉它。,"<i>""Les Pandoriens volaient en quelque sorte nos morts et les épissaient dans de nouvelles monstruosités. Nous les reconnaissions sur le terrain grâce à un petit détail sans importance - un spasme involontaire, trahissant un geste familier, un cri terrifiant, portant l'écho d'une voix aimée.""</i>

Nous devrions essayer de les capturer",,,,"<i>""Пандораны каким-то образом похитили наших погибших товарищей и превратили их в новых чудовищ. Мы узнаем их в боях по какой-нибудь маленькой, незначительной детали - непроизвольному спазму, выдающему знакомый жест, или ужасающему воплю, в котором слышится эхо знакомого голоса.""</i>

Мы должны попытаться взять это существо живьем!",,
VOID_TOUCHED_TITLE,Text,,Touched by the Void,被虛空所觸動,,,,,Благословленный Пустотой,,
VOID_TOUCHED_TEXT,Text,,"<i>""A purple fume emanated from its body, marking it as the bearer of a Terrible Purpose.”</i>

This Pandoran is special. After it is attacked, it is very likely to gain a special ability (however, there is a small chance that it will be passed by the Void and lose its Touch, gaining nothing). At first, the only ability it may gain is to spawn an Umbra version of itself on death. However, as the Oneiric Delirium advances, Touched by the Void Pandorans will gain other effects when attacked for the first time.","<i> ""A purple fume emanated from its body, marking it as the bearer of a Terrible Purpose."" </i>

 這隻潘多拉很特別。在它受到攻擊之後，很有可能會獲得特殊能力（但是，也有小概率會被虛空之力穿過，失去觸覺，什麼也得不到）。一開始，它唯一可能獲得的能力是在死亡時產生一個 Umbra 版本的自己。然而，隨著 Oneiric Delirium 的進展，Touched by the Void Pandorans 第一次受到攻擊時會獲得其他效果""。",,,,,"<i>""От его тела исходил фиолетовый дым, и я понял, передо мной - Благословленный Пустотой.""</i>

Этот Пандоран особенный. Если его атаковать, скорее всего он получит особую способность (однако, есть небольшой шанс, ""Пустота"" его проигнорирует, и он потеряет свое Благословление Пустоты, ничего не получив взамен). Поначалу единственная способность, которую он может получить - это восстать Фиолетовой Тварью после своей гибели. Однако по мере прогрессирования Сонного Безумия Пандораны, Благословленные Пустотой, будут получать другие способности, будучи атакованными в первый раз.",,
TBTV_ON_ATTACK_TITLE_HINT,Text,,Void Touched - Attacker is Marked for Death,虛空之觸 - 攻擊者被標記為死亡,,,,,Благословленный Пустотой - напавший на него помечается в ответ Смертельной Меткой,,
TBTV_ON_ATTACK_TEXT_HINT,Text,,"<i>”There was the black plume, jetting from the crabbie’s head… I got the bastard, I thought… Next thing I know, they are all coming after me!""</i>

The Pandorans have learned a new trick. From now on, any Touched by the Void Arthron or Triton can either:

- Afflict its attacker with Marked for Death (all hits on the character do 10 extra damage)
- Spawn Umbra on death","This Pandoran is special. After it is attacked, it is very likely to gain a special ability (however, there is a small chance that it will be passed by the Void and lose its Touch, gaining nothing). At first, the only ability it may gain is to spawn an Umbra version of itself on death. However, as the Oneiric Delirium advances, Touched by the Void Pandorans will gain other effects when attacked for the first time.""",,,,,"<i>""Голова Крабби разлетелась на кусочки... Готов, подумал я. Следующее, однако, что я помню - они все опять идут на меня!""</i>

Пандораны научились новому трюку. Отныне любой Благословленный Пустотой Артрон или Тритон, может либо:

- пометить атаковавшего его бойца Смертельной Меткой (все атаки по отмеченному Меткой наносят 10 дополнительных единиц урона);
- породить Фиолетовую Тварь в момент своей гибели.",,
TBTV_ON_TURN_END_TITLE_HINT,Text,,Void Touched - Calls reinforcements at turn's end,虛空之觸 - 在回合結束時呼叫增援,,,,,Благословленный Пустотой - вызывается подкрепление в конце хода,,
TBTV_ON_TURN_END_TEXT_HINT,Text,,"<i>""Pandorans, they always have 'friends' nearby.""</i>

This Pandoran will call reinforcements if it <b>survives (in whatever shape)</b> until the end of your turn. From now on, any Touched by the Void Arthron or Triton can do one of the following:

- Call reinforcements at the end of player’s turn
- Afflict its attacker with Marked for Death (all hits on the character do 10 extra damage)
- Spawn Umbra on death",<i>「潘朵拉人，他們附近總是有『朋友』。」</i>如果這個潘朵拉人<b>倖存（無論以任何形狀）</b>直到你的回合結束，它就會呼叫增援。從現在開始，任何被虛空 Arthron 或 Triton 觸碰的人都可以執行以下操作之一： - 在玩家結束時呼叫增援？ 一個回合 - 用死亡標記來折磨其攻擊者（對角色的所有攻擊都會造成 10 點額外傷害） - 死亡時生成 Umbrabra,,,,,"<i>""У Пандоранов всегда есть ""друзья"" где-то рядом.""</i>

Этот Пандоран вызовет подкрепление, если останется жив (в любом виде) в конце вашего хода.  Отныне любой Благословленный Пустотой Артрон или Тритон, может либо:

- вызвать подкрепление в конце хода игрока;
- пометить атаковавшего его бойца Смертельной Меткой (все атаки по отмеченному Меткой наносят 10 дополнительных единиц урона);
- породить Фиолетовую Тварь в момент своей гибели.",,
