Key,Type,Desc,English
TFTV_INCIDENT_15_TITLE_NJ,Text,Req: Haven leader rep > 50,The Walls Beneath
TFTV_INCIDENT_15_DESC,Text,,"Director, we’ve received a request from [HavenName] security overseer—off the record. Personnel have reported noises beneath the oldest wing of the base: scratching, faint voices, and rhythmic banging. A schematic review revealed sublevels sealed during the haven’s early construction, likely predating New Jericho occupation. Officially, no one’s been down there in years. Unofficially… some believe something never left."
TFTV_INCIDENT_15_CHOICE_0_E,Text,,Investigate the sealed sublevels. (Exploration)
TFTV_INCIDENT_15_CHOICE_1_C_M,Text,,Conduct seismic and acoustic scans. (Machinery/Compute)
TFTV_INCIDENT_15_CHOICE_2,Text,,Decline involvement. [END]
TFTV_INCIDENT_15_OUTCOME_0_SUCCESS,Text,"Reward: Haven leader rep +12, 600 mat","We breached an old hatch and descended into forgotten corridors. The walls were marked with crude symbols—hand-drawn, ritualistic. At the end: a chamber with bones, candles, and remnants of military rations. The bodies had mutations, poorly hidden. Former New Jericho personnel, altered in secret—and left to rot."
TFTV_INCIDENT_15_OUTCOME_1_SUCCESS,Text,"Reward: Haven leader rep +12, 600 mat","Acoustic scans picked up whisper-like patterns echoing through the sealed concrete—non-random, possibly language. One section shows signs of recent disturbance. Analysis suggests human activity within the last six months. West’s files make no mention of this level."
TFTV_INCIDENT_15_OUTCOME_0_FAIL,Text,,"We reached the second sublevel before encountering unstable structure and collapsed halls. Still, the walls bore scratched symbols: half-military, half-religious. Something was worshipped down here."
TFTV_INCIDENT_15_OUTCOME_1_FAIL,Text,,"Scans were inconclusive, but irregular heat signatures suggest recent passage. The haven’s commander thanked us and quietly doubled the guard near the lower sectors."
TFTV_INCIDENT_16_TITLE_NJ,Text,Req: Melquiades first quest compeleted,Unwelcome Goods
TFTV_INCIDENT_16_DESC,Text,,"Director, we’ve run into an old acquaintance—Staban Melquíades, the Anu-affiliated dealer in relics and curios. He’s attempting to set up a 'trade delegation' in [HavenName], offering rare tech, food concentrates, and something he calls ‘psionic insulation garments.’ The local authorities have rejected his permit outright, citing 'bio-contamination risk' and 'ideological infiltration.' Melquíades insists this is a simple business venture."
TFTV_INCIDENT_16_CHOICE_0_P,Text,,Intervene on Melquíades’s behalf. (Psycho-Sociology)
TFTV_INCIDENT_16_CHOICE_1_C_M,Text,,Discreetly inspect the goods he’s offering. (Compute/Machinery)
TFTV_INCIDENT_16_CHOICE_2,Text,,Stay out of it—this is between him and New Jericho. [END]
TFTV_INCIDENT_16_OUTCOME_0_SUCCESS,Text,"Reward: +300 Mats, +300 Food",We negotiated a narrow compromise—Melquíades was allowed to sell non-biological goods outside the security perimeter. He swore this was only the beginning of ‘a glorious cross-cultural bazaar.’ The garrison commander muttered something about posting snipers trained on the booth.
TFTV_INCIDENT_16_OUTCOME_1_SUCCESS,Text,"Reward: +100 Tech, +200 Research","His tech was surprisingly clean. Some gear may even predate the fall—old military sensor rigs, energy converters, rare materials. But one crate contained psionic-dampening cloth woven with organic filaments of unknown origin. Possibly Anu-grown. Melquíades claimed they were ‘ethically cultivated in living silence.’"
TFTV_INCIDENT_16_OUTCOME_0_FAIL,Text,,"The talks broke down quickly. Melquíades gave a passionate speech about ‘commerce as the path to communion,’ which only deepened suspicion. He was politely escorted to the outer wall and warned never to return."
TFTV_INCIDENT_16_OUTCOME_1_FAIL,Text,,"Most of the goods were junk or harmless scrap—but one box was sealed tight, marked with Anu script and reeking of chemical preservative. Melquíades refused to open it, citing ‘religious stipulations.’ We advised him to leave."
TFTV_INCIDENT_17_TITLE_NJ,Text,"Requirement: 
have an operative with NJ background",Shadow of the Atom
TFTV_INCIDENT_17_DESC,Text,,"Director, we went to [HavenName] on a tip from [RequirementOperativeName], a former New Jericho soldier. We arrived just as a black-ops unit returned from an undisclosed expedition. Several soldiers show clear signs of radiation exposure. One was stretchered and unconscious, another refused medical scans. The commanding officer insists it was a routine salvage mission, but the men are shaken. A junior logistics officer quietly reached out to us, claiming ‘something they brought back shouldn’t exist.’"
TFTV_INCIDENT_17_CHOICE_0_P,Text,,Speak with the injured operatives off the record. (Psycho-Sociology)
TFTV_INCIDENT_17_CHOICE_1_C_M,Text,,Investigate the cargo brought in from the mission. (Compute/Machinery)
TFTV_INCIDENT_17_CHOICE_2,Text,,Step back—this is New Jericho’s business. [END]
TFTV_INCIDENT_17_OUTCOME_0_SUCCESS,Text,Reward: Extra personnel,"One of the wounded soldiers broke down. They were sent to recover something from a subterranean storage vault—sealed since before the Collapse. Inside: an intact tactical nuclear device, guarded by automated defenses. One of the squad cracked under pressure and may have opened the casing."
TFTV_INCIDENT_17_OUTCOME_1_SUCCESS,Text,Reward: 250 Tech,"Buried beneath crates of salvaged electronics and rations, we found lead-lined shielding and an incomplete warhead assembly—its core removed. Containment protocols were improvised and unstable. The local commander told us to forget what we saw."
TFTV_INCIDENT_17_OUTCOME_0_FAIL,Text,,"The soldiers were evasive, but their trauma was obvious. We couldn’t confirm what they found, but the fear was real."
TFTV_INCIDENT_17_OUTCOME_1_FAIL,Text,,"We weren’t permitted full access, but radiation traces on the outer containers were well above safe thresholds. Someone tried to clean the logs—half the shipping records are missing. Something dangerous is being hidden."
TFTV_INCIDENT_18_TITLE_NJ,Text,Req: Training Facility,Friendly Fire
TFTV_INCIDENT_18_DESC,Text,,"A training facility at the New Jericho haven [HavenName] reports a serious incident: a recruit opened fire during a live-fire exercise, killing three of his squadmates.
The suspect was subdued and detained, but his statements are incoherent. Local command suspects the use of mind-influence technology, possibly of Anu or Synedrion origin."
TFTV_INCIDENT_18_CHOICE_0_B,Text,,Interrogate and examine the suspect. (Biotech)
TFTV_INCIDENT_18_CHOICE_1_C_M,Text,,Access and analyze the facility’s security logs. (Compute/Machinery)
TFTV_INCIDENT_18_CHOICE_2,Text,,Risking our relations with the factions is just not worth it. [END] 
TFTV_INCIDENT_18_OUTCOME_0_SUCCESS,Text,"Reward: NJ +4, Haven Leader + 8, Materials +400","At first, the trainee insists he was “possessed”—that a foreign voice guided his hand. Under sustained questioning, the narrative collapses. He breaks down, confessing that his victims had been hazing him for weeks."
TFTV_INCIDENT_18_OUTCOME_1_SUCCESS,Text,"Reward: NJ +4, Haven Leader + 8, Materials +400","The Phoenix team discreetly hacks the haven’s archives, recovering several weeks of footage.
The pattern is clear: the victims repeatedly followed the suspect into maintenance corridors and supply depots—blind spots without cameras.
The night before the shooting, audio logs capture muffled confrontations and laughter. "
