"Key","Type","Desc","English","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"TFTV_ALL_OPTIONS_TITLE","Text",,"SHOW ALL OPTIONS",,,,,,"ПОКАЗАТЬ ВСЕ НАСТРОЙКИ","MOSTRAR TODAS LAS OPCIONES",
"TFTV_ALL_OPTIONS_DESCRIPTION","Text",,"Show all the options.",,,,,,"Показывает все настройки","Mostrar todas las opciones.",
"TFTV_SCAVENGING_OPTIONS_TITLE","Text",,"SHOW SCAVENGING SITES OPTIONS (ON NEW GAME ONLY)",,,,,,"ПОКАЗАТЬ НАСТРОЙКИ РУИН (ДЛЯ НОВОЙ ИГРЫ)","MOSTRAR OPCIONES DE SITIOS DE RECOGIDA (SÓLO EN JUEGOS NUEVOS)",
"TFTV_SCAVENGING_OPTIONS_DESCRIPTION","Text",,"Show additional options for number and type of scavenging sites in game world.",,,,,,"Показывает дополнительные настройки количества и типов руин (сбор ресурсов, спасение людей, поиск машин) в игровом мире","Muestra opciones adicionales para la cantidad y el tipo de sitios de recolección de residuos en el mundo del juego.",
"TFTV_TACTICAL_OPTIONS_TITLE","Text",,"SHOW OPTIONS FOR TACTICAL",,,,,,"ПОКАЗАТЬ НАСТРОЙКИ ТАКТИЧЕСКОГО РЕЖИМА","MOSTRAR OPCIONES PARA TÁCTICAS",
"TFTV_TACTICAL_OPTIONS_DESCRIPTION","Text",,"Show additional options for the turn based Tactical part of the game.",,,,,,"Показывает дополнительные настройки для тактического (боевого) режима игры","Muestra opciones adicionales para la parte táctica del juego por turnos.",
"TFTV_GEOSCAPE_OPTIONS_TITLE","Text",,"SHOW OPTIONS FOR GEOSCAPE",,,,,,"ПОКАЗАТЬ НАСТРОЙКИ ПЛАНЕТАРНОГО РЕЖИМА","MOSTRAR OPCIONES PARA GEOSCAPE",
"TFTV_GEOSCAPE_OPTIONS_DESCRIPTION","Text",,"Show additional options for the strategic (or Geoscape) part of the game.",,,,,,"Показывает дополнительные настройки для стратегического (планетарного) режима игры","Muestra opciones adicionales para la parte estratégica (o Geoscape) del juego.",
"TFTV_MISC_OPTIONS_TITLE","Text",,"SHOW OTHER OPTIONS",,,,,,"ПОКАЗАТЬ ПРОЧИЕ НАСТРОЙКИ","MOSTRAR OTRAS OPCIONES",
"TFTV_MISC_OPTIONS_DESCRIPTION","Text",,"Show minor options and adjustments.",,,,,,"Показывает мелкие настройки и регулировки","Mostrar opciones y ajustes menores.",
"TFTV_ADDITIONAL_START_OPTIONS_TITLE","Text",,"SHOW ADDITIONAL START OPTIONS",,,,,,"ПОКАЗАТЬ НАСТРОЙКИ ПРИ НАЧАЛЕ НОВОЙ ИГРЫ","MOSTRAR OPCIONES DE INICIO ADICIONALES",
"TFTV_ADDITIONAL_START_DESCRIPTION","Text",,"Show more options that can only be changed on starting a new game.",,,,,,"Показывает больше настроек, доступных только при старте новой игры","Mostrar más opciones que solo se pueden cambiar al iniciar un nuevo juego.",
"TFTV_ANYTIME_OPTIONS_TITLE","Text",,"SHOW OPTIONS THAT CAN BE CHANGED ANYTIME",,,,,,"ПОКАЗАТЬ ИЗМЕНЯЕМЫЕ В ЛЮБОЕ ВРЕМЯ НАСТРОЙКИ","MOSTRAR OPCIONES QUE SE PUEDEN CAMBIAR EN CUALQUIER MOMENTO",
"TFTV_ANYTIME_OPTIONS_DESCRIPTION","Text",,"Show options that can also be changed any time in the Mod config tab.",,,,,,"Показывает настройки, которые можно менять в любое время игры в меню мода","Muestra opciones que también se pueden cambiar en cualquier momento en la pestaña de configuración Mod.",
"TFTV_DIFFICULTY_ROOKIE_TITLE","Text",,"STORY MODE",,,,,,"КАК КНИЖКУ ПРОЧИТАТЬ","MODO HISTORIA",
"TFTV_DIFFICULTY_ROOKIE_DESCRIPTION","Text",,"Life is hard enough already; games don't have to be.",,,,,,"Жизнь и так - штука тяжелая, почему бы просто не поиграть в свое удовольствие (самый простой режим игры)","La vida ya es bastante dura; los juegos no tienen por qué serlo.",
"TFTV_DIFFICULTY_ETERMES_TITLE","Text",,"ETERMES",,,,,,"ПОЛНОЕ БЕЗУМИЕ","ETERMES",
"TFTV_DIFFICULTY_ETERMES_DESCRIPTION","Text",,"The pain! The horror! Open the floodgates of despair!
UNFAIR difficulty. Don't complain about BALANCE, there is NONE. We only accept complaints if you are not SUFFERING enough.",,,,,,"Боль! Ужас! Страдания!

НЕВЕРОЯТНАЯ сложность. Не жалуйтесь на БАЛАНС, его НЕ СУЩЕСТВУЕТ. Мы принимаем жалобы только в том случае, если вам все еще МАЛО!","¡El dolor! ¡El horror! ¡Abre las compuertas de la desesperación!
Dificultad INJUSTA. No te quejes del EQUILIBRIO, no hay NINGUNO. Sólo aceptamos quejas si no estás SUFRIENDO lo suficiente.",
"TFTV_PROMO_SKINS","Text",,"Adds a bunch of differently-skinned free armors and guns at the start of the game, making it considerably easier.",,,,,,"Добавляет в начале игры кучу разных бесплатных бронежилетов и оружия, что значительно облегчает игру","Agrega un montón de armaduras y armas gratuitas con diferentes diseños al comienzo del juego, lo que lo hace considerablemente más fácil.",
"Opening Screen/KEY_DLC_ACTIVATE","Text",,"ADDITIONAL OPTIONS ON NEW GAME START",,,,,,"НАСТРОЙКИ ПРИ НАЧАЛЕ НОВОЙ ИГРЫ","OPCIONES ADICIONALES AL INICIO DE UN NUEVO JUEGO",
"UNBUFFED","Text",,"UNBUFFED",,,,,,"ОБЫЧНЫЙ","SIN MEJORAR",
"BUFFED","Text",,"BUFFED",,,,,,"УСИЛЕННЫЙ","PULIDO",
"RANDOM","Text",,"RANDOM",,,,,,"СЛУЧАЙНЫЙ","ALEATORIO",
"STARTING_SQUAD","Text",,"STARTING SQUAD",,,,,,"СТАРТОВЫЙ ОТРЯД","EQUIPO INICIAL",
"STARTING_SQUAD_DESCRIPTION","Text",,"You can choose to get a squad with random identities (as in Vanilla without doing the tutorial), the Vanilla tutorial starting squad (with higher stats), or a squad that will include Sophia Brown and Jacob with unbuffed stats (default on TFTV). Note that Jacob is a sniper, as in the title screen :)",,,,,,"Вы можете выбрать СЛУЧАЙНЫЙ отряд (ванильный, без прохождения обучения), УСИЛЕННЫЙ отряд из ванильного обучения (с более высокими характеристиками) или команду, в которую войдут София Браун и Джейкоб с ОБЫЧНЫМИ характеристиками (по умолчанию в TFTV). Обратите внимание, что Джейкоб - снайпер, как и нарисовано на заставке :)","Puedes elegir obtener un escuadrón con identidades aleatorias (como en Vanilla sin hacer el tutorial), el escuadrón inicial del tutorial de Vanilla (con estadísticas más altas) o un escuadrón que incluirá a Sophia Brown y Jacob con estadísticas no mejoradas (predeterminado en TFTV). Tenga en cuenta que Jacob es un francotirador, como en la pantalla de título :)",
"Vanilla_Random","Text",,"Vanilla Random",,,,,,"Случайно (как в ванили)","vainilla al azar",
"Random","Text",,"Random (ALL bases included)",,,,,,"Случайно (из всех баз)","Aleatorio (TODAS las bases incluidas)",
"Antarctica","Text",,"Antarctica",,,,,,"Антарктика","Antártida",
"Asia","Text",,"Asia (China)",,,,,,"Азия (Китай)","Asia (China)",
"Australia","Text",,"Australia",,,,,,"Австралия","Australia",
"Central_America","Text",,"Central America (Honduras)",,,,,,"Центральная Америка (Гондурас)","Centroamérica (Honduras)",
"East_Africa","Text",,"East Africa (Ethiopia)",,,,,,"Восточная Африка (Эфиопия)","África Oriental (Etiopía)",
"Eastern_Europe","Text",,"Eastern Europe (Ukraine)",,,,,,"Восточная Европа (Украина)","Europa del Este (Ucrania)",
"Greenland","Text",,"Greenland",,,,,,"Гренландия","Tierra Verde",
"Middle_East","Text",,"Middle East (Afghanistan)",,,,,,"Ближний Восток (Афганистан)","Medio Oriente (Afganistán)",
"North_Africa","Text",,"North Africa (Algeria)",,,,,,"Северная Африка (Алжир)","Norte de África (Argelia)",
"Alaska","Text",,"North America (Alaska)",,,,,,"Северная Америка (Аляска)","América del Norte (Alaska)",
"Mexico","Text",,"North America (Mexico)",,,,,,"Северная Америка (Мехико)","América del Norte (México)",
"Quebec","Text",,"North America (Quebec)",,,,,,"Северная Америка (Квебек)","América del Norte (Québec)",
"Siberia","Text",,"Northern Asia (Siberia)",,,,,,"Северная Азия (Сибирь)","Norte de Asia (Siberia)",
"South_Africa","Text",,"South Africa (Zimbabwe)",,,,,,"Южная Африка (Зимбабве)","Sudáfrica (Zimbabue)",
"Bolivia","Text",,"South America (Bolivia)",,,,,,"Южная Америка (Боливия)","América del Sur (Bolivia)",
"Tierra_de_Fuego","Text",,"South America (Tierra de Fuego)",,,,,,"Южная Америка (Огненная Земля)","América del Sur (Tierra de Fuego)",
