Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
PX_CRYSTALCROSSBOW_RESEARCHDEF_COMPLETE,Text,,"At a first glance it seemed to us that Kristian Luft came up with a design for a very high air powered bow; a long shot from the marvels of the other projects of the NG+ Vanadium division. This until we realized that Prof. Luft did away with the glaring deficiency of all crossbows: that they require bolts. The Crystal Crossbow does not shoot bolts at all, but rather air particles accelerated to incredible speeds!

Requires completing Living Crystal research.","乍一看，我們覺得克里斯蒂安·拉夫特 (Kristian Luft) 提出了一個非常高的空氣動力弓的設計。與 NG+ Vanadium 部門其他項目的奇蹟相比，這只是一個遠景。直到我們意識到拉夫特教授消除了所有十字弓的明顯缺陷：它們需要螺栓。水晶弩根本發射的不是弩箭，而是加速到令人難以置信的速度的空氣粒子！
 
 需要完成生命水晶研究。","À première vue, il nous a semblé que Kristian Luft avait conçu un arc pneumatique à très haute puissance. Bien loin des merveilles des autres projets de la division NG+ Vanadium. Jusqu’à ce que nous nous rendions compte que le Prof. Luft avait éliminé la déficience flagrante de toutes les arbalètes : elles ont besoin de carreaux. L’arbalète de cristal ne tire pas du tout des carreaux, mais plutôt des particules d’air accélérées à des vitesses incroyables !",,,,"На первый взгляд может показаться, что Кристиан Люфт придумал дизайн очень мощного пневматического лука, далекого от чудес других проектов филиала «Оружейные Системы Нового Поколения» корпорации «Ванадий». И это до тех пор, пока мы не поняли, что профессор Люфт избавился от вопиющего недостатка всех арбалетов: они требуют болтов. Кристаллический Арбалет стреляет вовсе не болтами, а частицами воздуха, разогнанными до невероятных скоростей! 

Требуется завершить исследование «Живой Кристалл».
",,
PX_CRYSTALCROSSBOW_RESEARCHDEF_NAME,Text,,Crystal Crossbow,水晶弩,Arbalète de cristal,,,,"КРИСТАЛЛИЧЕСКИЙ АРБАЛЕТ
",,
PX_CRYSTALCROSSBOW_RESEARCHDEF_UNLOCK,Text,,"A design for what appears to be a high powered pneumatic crossbow by Kristian Luft, acclaimed particle physicist and medieval history buff.",著名粒子物理學家和中世紀歷史愛好者克里斯蒂安·拉夫特 (Kristian Luft) 設計的似乎是一種高功率氣動十字弓。,"Une conception pour ce qui semble être une arbalète pneumatique de haute puissance par Kristian Luft, physicien des particules acclamé et passionné d’histoire médiévale.",,,,"Проект мощного пневматического арбалета, созданный Кристианом Люфтом, известным физиком элементарных частиц и любителем средневековой истории.
",,
PX_MATTOCKOFTHEANCIENTS_RESEARCHDEF_COMPLETE,Text,,"The Reaper appears to have been designed by Valygar Prazac to address in hand to hand combat a variety of diverse hypothetical adversaries such as Golems, Gargoyles and (interestingly enough) intelligent crustaceans from outer space.

Requires completing Protean Mutane research.","收割者似乎是由瓦里加·普拉扎克（Valygar Prazac）設計的，旨在與各種不同的假想對手進行肉搏戰，例如傀儡、石像鬼和（有趣的是）來自外太空的智慧甲殼類動物。
 
 需要完成 Protean Mutane 研究。","Le Hoyau semble avoir été conçu par Valygar Prazac pour affronter au corps à corps une variété d'adversaires hypothétiques tels que des Golems, des Gargouilles et (ce qui est intéressant) des crustacés intelligents venus de l'espace.",,,,"Судя по всему, Жнец был разработан Валигаром Празаком для рукопашного боя с самыми разными гипотетическими противниками, такими как големы, гаргульи и, что забавно, разумные ракообразные из космоса. 

Требуется завершить исследование «Белковый Мутаген».
",,
PX_MATTOCKOFTHEANCIENTS_RESEARCHDEF_NAME,Text,,Reaper,收割者,Le Hoyau des anciens,,,,"ЖНЕЦ
",,
PX_MATTOCKOFTHEANCIENTS_RESEARCHDEF_UNLOCK,Text,,"An impossible melee weapon dreamt up by Valygar Prazac of the NG+ Weapon Systems at Vanadium Co., and former professor in the experimental physics department of the Taras Shevchenko University of Kyiv.",這是一款不可能的近戰武器，由 Vanadium 公司 NG+ 武器系統公司的 Valygar Prazac 和基輔塔拉斯舍甫琴科大學實驗物理系前教授設計。,"Une arme de mêlée improbable imaginée par Valygar Prazac des systèmes d’armes NG+ à Vanadium Co., et ancien professeur au département de physique expérimentale de l’Université Taras Shevchenko de Kiev.",,,,"Невероятное оружие ближнего боя, придуманное Валигаром Празаком из филиала «Оружейные Системы Нового Поколения» корпорации «Ванадий», бывшим профессором кафедры экспериментальной физики киевского университета имени Тараса Шевченко.
",,
PX_REBUKE_RESEARCHDEF_COMPLETE,Text,,"Mr. Stridrahen was an imminently practical man and this practicality paradoxically shows throughout the impracticable (before the Antediluvian materials) Rebuke. It is somewhat of a misnomer to describe this weapon as a grenade launcher, and what happens when it is activated as an explosion, but it will have to do until we are ready to update our physics models to account for the Antediluvian materials.

Requires completing Protean Mutane research.","斯特里德拉恩先生是個非常務實的人，這種實用性自相矛盾地表現在整個不切實際的（在上古材料之前）斥責中。將這種武器描述為榴彈發射器以及當它被激活為爆炸時會發生什麼有點用詞不當，但在我們準備好更新物理模型以考慮上古材料之前，它必須這樣做。
 
 需要完成 Protean Mutane 研究。","M. Stridrahen était un homme d’une pratique imminente et cette pratique se manifeste paradoxalement tout au long de la réprimande de l'infaisabilité (avant les matériaux antédiluviens). Il est un peu erroné de décrire cette arme comme un lance-grenades, et ce qui se passe quand il est activé, comme une explosion. Mais cela devra le faire jusqu’à ce que nous sommes prêts à mettre à jour nos modèles de physique pour tenir compte des matériaux antédiluviens.",,,,"Мистер Стридрахен был невероятно практичным человеком, и эта практичность парадоксальным образом проявляется в создании невозможного, до обнаружения Антедилувианских Материалов, Дезинтегратора. Описывать это оружие как гранатомет и то, что происходит при его активации, как взрыв, несколько неправильно, но это придется сделать, пока мы не будем готовы обновить наши физические модели, чтобы учесть Антедилувийские Материалы. 

Требуется завершить исследование «Белковый Мутаген».
",,
PX_REBUKE_RESEARCHDEF_NAME,Text,,Rebuke,訓斥,Querelleur,,,,"ДЕЗИНТЕГРАТОР
",,
PX_REBUKE_RESEARCHDEF_UNLOCK,Text,,"Hristos Stridrahen, the mind behind the Rebuke, rose from Vanadium Mining and Rare Earths division to NG+ Weapon Systems through his passion for high explosives.",Hristos Stridrahen 是 Rebuke 背後的思想家，憑藉對高能量炸藥的熱情，從釩採礦和稀土部門晉升到 NG+ 武器系統部門。,"Hristos Stridrahen, l’esprit derrière le Querelleur, est passé de la division des mines et des terres rares de Vanadium à NG+ Weapons Systems grâce à sa passion pour les explosifs.",,,,"Христос Стридрахен, создатель Дезинтегратора, прошел путь от рабочего в подразделении по добыче редких ископаемых до директора филиала «Оружейные Системы Нового Поколения» корпорации «Ванадий» благодаря своей страсти к взрывчатым веществам.
",,
TFTV_PX_SCORPION_RESEARCHDEF_COMPLETE,Text,,"The ultimate purpose of the Scorpion is to make all forms of armor obsolete. Surprisingly, it seems like Mr. Antonasov’s work has provided a foundational basis for a lot of technologies with practical applications developed first by Vanadium and later New Jericho.

Frustratingly, we are missing the know-how to produce certain critical components required to build a Scorpion prototype. We speculate that New Jericho is pursuing research in that direction for the development of a new land vehicle. 

In addition, requires completing Living Crystal and Protean Mutane researches.","蝎子的最終目的是讓所有形式的盔甲都過時。令人驚訝的是，Antonasov 先生的工作似乎為 Vanadium 和後來的 New Jericho 開發的許多具有實際應用的技術提供了基礎。
 
 令人沮喪的是，我們缺乏生產建造 Scorpion 原型所需的某些關鍵組件的專業知識。我們推測新傑里科正在朝這個方向進行研究，以開發新型陸地車輛。 
 
 此外，需要完成生命水晶和Protean Mutane研究。",,,,,"Конечная цель Скорпиона - сделать все виды брони устаревшими. Удивительно, но похоже, что работа мистера Антонасова послужила основой для множества технологий, имеющих практическое применение, разрабатываемых сначала корпорацией «Ванадий», а затем Новым Иерихоном. 

Требуется завершить исследования «Живой Кристалл» и «Белковый Мутаген».
",,
