"Key","Type","Desc","English","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"VOID_OMEN_TITLE_1","Text",,"Ambushes more dangerous and more likely, but have more crates",,"Les embuscades sont plus dangereuses et plus fréquentes, mais il y a plus de caisses de stockage.",,,,"Негатив: повышена вероятность особо опасных засад. 
Позитив: где засады - там и ящики с ресурсами","Las emboscadas son más peligrosas y más probables, pero tienen más cajas.",
"VOID_OMEN_TITLE_2","Text",,"All diplomatic penalties and rewards halved",,"Toutes les pénalités et récompenses diplomatiques sont réduites de moitié",,,,"Негатив: все награды уменьшены вдвое.
Позитив: дипломатические штрафы тоже уменьшены вдвое","Todas las sanciones y recompensas diplomáticas se redujeron a la mitad.",
"VOID_OMEN_TITLE_3","Text",,"All abilities cost +50% WP, but Delirium has no effect on WP",,"Toutes les capacités coûtent +50% de Points de Volonté, mais le délire n'a aucun effet sur les Points de Volonté.",,,,"Негатив: все способности стоят +50% к Очкам Воли.
Позитив: Сонное Безумие не влияет на Очки Воли","Todas las habilidades cuestan +50% WP, pero Delirium no tiene ningún efecto en WP",
"VOID_OMEN_TITLE_4","Text",,"Max operatives that can be deployed reduced by 2, but +100% experience ",,"6 agents maximum peuvent être déployés sur n'importe quelle mission, mais +100% d'expérience. ",,,,"Негатив: максимальное количество бойцов для миссий уменьшено на 2 (до 6).
Позитив: оставшиеся бойцы получают опыт +100%","El número máximo de agentes que se pueden desplegar se reduce en 2, pero +100 % de experiencia. ",
"VOID_OMEN_TITLE_5","Text",,"Haven defenders always hostile, but crates available for looting ",,"Les défenseurs des refuges sont toujours hostiles, mais des caisses sont disponibles pour le pillage. ",,,,"Негатив: защитники убежищ всегда настроены враждебно и к бойцам Феникса.
Позитив: можно грабить корованы (в миссиях присутствуют ящики с ресурсами)","Los defensores de Haven siempre son hostiles, pero hay cajas disponibles para saquear. ",
"VOID_OMEN_TITLE_6","Text",,"Pandorans evolve as they lose missions and colonies, but Phoenix research output increased by 50%",,"Les pandoriens évoluent au fur et à mesure qu'ils perdent des missions et des colonies.",,,,"Негатив: Пандораны эволюционируют, если проигрывают бои и теряют Колонии. 
Позитив: скорость исследований Феникса увеличена на 50%","Los habitantes de Pandora evolucionan a medida que pierden misiones y colonias, pero la producción de investigación de Phoenix aumentó en un 50%",
"VOID_OMEN_TITLE_7","Text",,"More Mist in missions, can deploy one more operative on standard missions",,"Plus de brume dans les missions",,,,"Негатив: больше Тумана во всех миссиях.
Позитив: +1 боец к лимиту (до 9) в стандартных миссиях","Más Mist en misiones, puede desplegar un operativo más en misiones estándar",
"VOID_OMEN_TITLE_8","Text",,"Diplomatic penalties among factions +50%, but research by factions doubled",,"Pénalités diplomatiques entre factions +50%, mais recherche de factions doublée",,,,"Негатив: дипломатические штрафы фракций +50%.
Позитив: удвоена скорость исследований во фракциях","Sanciones diplomáticas entre facciones +50%, pero la investigación por facciones se duplicó",
"VOID_OMEN_TITLE_9","Text",,"Attacks on havens twice as frequent",,"Des attaques deux fois plus fréquentes contre les refuges",,,,"Негатив: нападения на убежища стали чаще в два раза","Los ataques a refugios son dos veces más frecuentes",
"VOID_OMEN_TITLE_10","Text",,"No limit to Delirium, regardless of ODI level",,"Aucune limite au délire, quel que soit le niveau d'ODI",,,,"Негатив: Сонное Безумие не ограничено уровнем ИСБ (Индекса Сонного Безумия)","No hay límite para el delirio, independientemente del nivel de ODI",
"VOID_OMEN_TITLE_11","Text",,"Behemoth disruption threshold increased",,"Augmentation du seuil de perturbation du Béhémoth",,,,"Негатив: количество Очков Разрушения, необходимых, чтобы Бегемот нырнул отдохнуть, увеличено","Se aumentó el umbral de disrupción del gigante",
"VOID_OMEN_TITLE_12","Text",,"Strength of Pandoran attacks on Havens increased by 50%",,"La force des attaques des Pandoriens sur les refuges est augmentée de 50%.",,,,"Негатив: сила атак Пандоранов на убежища увеличена на 50%","La fuerza de los ataques de Pandora a Havens aumentó en un 50%.",
"VOID_OMEN_TITLE_13","Text",,"New Pandoran Colonies are built 100% faster",,"Les nouvelles colonies pandoriennes sont construites 100 % plus rapidement.",,,,"Негатив: новые колонии Пандоранов строятся на 100% быстрее","Las nuevas colonias de Pandora se construyen un 100 % más rápido",
"VOID_OMEN_TITLE_14","Text",,"Human perception lowered to 20 from 30",,"Perception humaine diminuée de 35 à 20",,,,"Негатив: базовое восприятие людей снижено с 30 до 20","La percepción humana bajó de 30 a 20",
"VOID_OMEN_TITLE_15","Text",,"More Touched by the Void, but Umbra disappear after 1 turn",,"Plus d'Ombres",,,,"Негатив: увеличилось количество Благословленных Пустотой 
Позитив: Фиолетовые Твари дохнут сами через 1 ход","Más Tocados por el Vacío, pero Umbra desaparece después de 1 turno.",
"VOID_OMEN_TITLE_16","Text",,"Touched by the Void can appear anywhere and Umbras can attack anyone",,"Les Ombres peuvent apparaître n'importe où et attaquer n'importe qui",,,,"Негатив: Благословленные Пустотой могут появиться где угодно, а Фиолетовые Твари могут напасть на кого угодно","Touched by the Void puede aparecer en cualquier lugar y Umbras puede atacar a cualquiera.",
"VOID_OMEN_TITLE_17","Text",,"Destroyed havens in Mist always become infested",,"Les refuges détruits dans la brume deviennent toujours infestés",,,,"Негатив: разрушенные в Тумане убежища всегда становятся зараженными","Los refugios destruidos en Mist siempre quedan infestados.",
"VOID_OMEN_TITLE_18","Text",,"Havens defense rating higher, rewards from haven defense missions lower",,"Le taux de défense des refuges est plus élevé, mais les récompenses des missions de défense sont plus faibles.",,,,"Негатив: награды за выполнение миссий по защите убежищ ниже.
Позитив: оборонительные возможности убежищ выше","Calificación de defensa de los refugios más alta, recompensas de las misiones de defensa de los refugios más bajas",
"VOID_OMEN_TITLE_19","Text",,"Pandorans gain adaptive resistance, Bazaar prices reduced ",,"Les Pandorans acquièrent une résistance évolutive réactive, le coût de la technologie du Bazar est réduit",,,,"Негатив: Пандораны приобрели адаптивную стойкость.
Позитив: снизились цены на Рынке","Los habitantes de Pandora ganan resistencia adaptativa, los precios del bazar se reducen ",
"VOID_OMEN_TITLE_20","Text",,"Behemoth can deploy experimental (lower strength) Abbadons",,"Le Behemoth peut déployer des Abbadons expérimentaux (de force inférieure).",,,,"Бегемот может выпускать экспериментальные (с меньшей силой) летуны класса Аббадон","Behemoth puede desplegar Abbadons experimentales (de menor fuerza)",
