Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
UI_HITPOINTS,Text,,ADDITIONAL HITPOINTS,,POINTS DE VIE SUPPLÉMENTAIRES,ZUSÄTZLICHE TREFFERPUNKTE,,DODATKOWE PUNKTY ŻYCIA,ДОПОЛНИТЕЛЬНЫЕ ХИТЫ,PUNTOS DE VIDA ADICIONALES,
UI_TRAMPLE_NAME,Text,,TRAMPLE,,PIÉTINEMENT,TRAMPELN,,DEPTANIE,БОЕВОЙ ОТВАЛ,PISOTEAR,
UI_TRAMPLE_DESC,Text,,"This unit can run over Worms, Mindfraggers, and Myrmidons",,"Cette unité peut écraser les Vers, les Corrupteurs et les Myrmidons.","Diese Einheit kann über Würmer, Mindfragger und Myrmidonen fahren",,"Ta jednostka może rozjeżdżać Robaki, Mindfraggery i Myrmidony","Может давить Червяков, Промывателей и Мирмидонов","Esta unidad puede atropellar, Gusanos, Rompementes y Mirmidones.",
UI_LAUNCHMISSILES_DESC,Text,,Launch a missile at a target location,,Lance un missile vers l'emplacement ciblé.,Eine Rakete auf einen Zielort abfeuern.,,Wystrzel rakietę w wybrane miejsce,Запустить ракету по точке на местности,Lanza un misil a la ubicación objetivo.,
UI_SCARAB_CATEGORY,Text,,ScarabShootCategory,,Catégorie de tir du Scarab,Scarab-Schießmodus,,Tryb ognia Scaraba,Тип стрельбы Скарабея,ScarabShootCategory,
UI_SALVO_DESC,Text,,Launch three missiles at a target location,,Lance trois missiles vers l'emplacement ciblé.,Drei Raketen auf einen Zielort abfeuern.,,Wystrzel trzy rakiety w wybrane miejsce,Запустить 3 ракеты по точке на местности,Lanza tres misiones a la ubicación objetivo.,
UI_DOUBLESHOOT_DESC,Text,,Shoot twice at target enemy or target point.,,Tire deux fois sur l'ennemi ou l'emplacement ciblé.,Zweimal auf den anvisierten Feind / Zielpunkt schießen.,,Strzela dwa razy do wybranego wroga lub punktu,Выстрелить дважды по врагу или точке прицеливания,Dispara dos veces al enemigo.,
UI_TRIPLESHOOT_DESC,Text,,Shoot three times at target enemy or target point.,,Tire trois fois sur l'ennemi ou l'emplacement ciblé.,Dreimal auf den anvisierten Feind / Zielpunkt schießen.,,Strzela trzy razy do wybranego wroga lub punktu,Выстрелить трижды по врагу или точке прицеливания,Dispara tres veces al enemigo.,
UI_RELOAD_DESC,Text,,Reload the currently equipped weapon,,Recharger l'arme équipée.,Nachladen der aktuell ausgerüsteten Waffe.,,Przeładowuje aktualnie wyposażoną broń,Перезарядить установленное оружие,Recarga el arma equipada.,
UI_JUNKER_NAME,Text,,JUNKER,,JUNKER,JUNKER,,JUNKER,БРОНЕТРАКТОР НИ-1,JUNKER,
UI_JUNKER_HULL,Text,,Junker Hull Upgrade,,Amélioration de coque Junker,Junker Hüllenverstärkung,,Ulepszenie kadłuba Junkera,Улучшение корпуса Бронетрактора НИ-1,Mejora de Casco del Junker,
UI_JUNKER_ENGINE,Text,,Junker Engine Upgrade,,Amélioration de moteur Junker,Junker Motorverstärkung,,Ulepszenie silnika Junkera,Улучшение двигателя Бронетрактора НИ-1,Mejora del Motor del Junker,
UI_JUNKER_GOOGUN,Text,,Junker Goo Turret,,Tourelle à Gelée Junker,Junker Goo-Turm,,Wieżyczka mazi Junkera,Слизевая турель Бронетрактора НИ-1,Torreta Goo del Junker,
UI_JUNKER_SCREAMER,Text,,Junker Sonic Turret,,Tourelle sonique Junker,Junker Schall-Turm,,Wieżyczka soniczna Junkera,Акустическая турель Бронетрактора НИ-1,Torreta Sónica del Junker,
UI_JUNKER_TITAN,Text,,Junker Grenade Launcher Turret,,Tourelle lance-grenades Junker,Junker Granatwerfer-Turm,,Wieżyczka granatnika Junkera,Гранатомет Бронетрактора НИ-1,Torreta Lanzagranadas del Junker,
UI_JUNKER_MINIGUN,Text,,Junker Minigun,,Minigun Junker,Junker Minigun,,Minigun Junkera,Пулемет Бронетрактора НИ-1,Minigun del Junker,
UI_JUNKER_WHEEL,Text,,Junker Wheel,,Roue Junker,Junker Rad,,Koło Junkera,Колесо Бронетрактора НИ-1,Rueda Junker,
AN_MUTOG_BASHER_NAME,Text,,BASHER TAIL,,Queue assommante,SCHWANZKEULE,,OGON ROZWALAJĄCY,БОЕВОЙ ХВОСТ,COLA BASHER,
AN_MUTOG_BASHER_DESC,Text,,Performs an attack that can shred armor and daze an enemy,,Effectue une attaque capable de déchiqueter le blindage et d'étourdir un ennemi.,"Führt einen Angriff aus, der die Rüstung eines Gegners durchdringt und ihn benommen macht.",,"Wykonuje atak, który może strzępić pancerz i oszołomić wroga","Выполняет атаку, которая может Оглушить врага и Разорвать его броню",Realiza un ataque que puede destrozar amadura y aturdir al enemigo.,
KB_DEATHPROOF_NAME,Text,,Deathproof,,Increvable,Todsicher,,NIEUŚMIERCONY,Турбина,A prueba de muerte.,
