"Key","Type","English","Desc","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"PR_BC_MOUNTED_ITEMS_PROF","Text","MOUNTED ITEM PROFICIENCY","","安装武器熟练度","MAÎTRISE DES OBJETS GREFFÉS","BEHERRSCHUNG MONTIERTER AUSRÜSTUNG","","","НЕЙРО-ИНТЕРФЕЙС","",""
"PR_BC_MOUNTED_ITEMS_PROF_DESC","Text","Proficiency with Robotic Arms and Mounted Weapons.","","机械臂和安装武器的熟练度。","Maîtrise des bras robotiques et des armes greffées.","Ermöglicht den effektiven Einsatz von Roboterarmen und montierten Waffen.","","","Умение пользоваться роботизированными манипуляторами и встроенным в бронекостюм оружием","",""
"PR_BC_STIMPACK_ITEM_DESC","Text","A potent stimulant that regenerates body parts and instils Frenzy.","","一种强效兴奋剂，可再生身体部位并激发狂暴。","Un puissant stimulant qui régénère les parties du corps et provoque Frénésie.","Ein starkes Stimulans, das Gliedmaßen regeneriert und Wutrausch auslöst.","","","Мощный стимулятор, который регенерирует части тела и вызывает ""Иссупление""","",""
"PR_BC_STIMPACK_ABILITY_DESC","Text","Re-enables and restores 20 Hit Points on Body Parts, also instills Frenzy on target, increasing movement by 33% for 2 turns, with panic immunity.","","重新激活并恢复身体部位20点生命值，同时使目标进入狂暴状态，移动速度提升33%，持续2回合，且免疫恐慌。","Réactive et restaure 20 points de vie aux parties du corps de la cible, puis lui provoque Frénésie, augmentant sa vitesse de déplacement de 33% pendant 2 tours et la rendant immunisée à la panique. ","Aktiviert und heilt Körperteile um 20 Trefferpunkte, versetzt das Ziel außerdem in Wutrausch; erhöht die Bewegungsreichweite für 2 Runden um 33% und bietet Immunität gegen Panik.","","","Лечит 20 хитов частям тела и восстанавливает их. Вызывает ""Иссупление"" (увеличение Скорости на 33% и невосприимчивость к панике) на 2 хода","",""
"PR_BC_PSYCHIC_WARD_DESC","Text","Allies within 10 tiles are immune to panic and psychic scream damage.","","10格范围内的盟友免疫恐慌和精神尖叫伤害。","Les alliés dans un rayon de 10 cases sont immunisés contre la panique et les dégâts du Cri psychique.","Verbündete im Umkreis von 10 Feldern sind immun gegen Panik sowie Schaden durch Psychischen Schrei.","","","Союзники в радиусе 10 клеток не восприимчивы к панике и психическому воплю","",""
"PR_BC_POISON_STATUS_DESC","Text","At start of turn poison is subtracted from Hit Points and Willpoints reduced by 3, then poison value is reduced by 10. Poison causes trembling (-50% Accuracy).","","回合开始时，毒素从生命值中扣除，意志力减少3点，然后毒素值减少10。毒素导致颤抖（-50%命中率）。","Au début du tour, le poison retire des points de vie et réduit les points de volonté de 3, puis sa valeur est diminuée de 10. Le poison provoque des tremblements (-50% de précision).","Zu Beginn jedes Zuges werden die Trefferpunkte und Willenspunkte um 3 reduziert, anschließend wird der Giftwert um 10 verringert. Gift verursacht Zittern (-50% Genauigkeit).","","","В начале хода сила яда вычитается из хитов, Очки Воли уменьшаются на 3, затем сила яда снижается на 10. Отравление ядом вызывает ""Тремор"" (-50% точности)","",""
"PR_BC_RECOVER_DESC","Text","Recover Will Points equal to half Willpower. Divide any Viral damage by 2 and become immune to Panic for 1 turn. End the actor's current turn.","","恢复等同于一半意志力的意志点数。病毒伤害减半，并在1回合内免疫恐慌。结束当前角色回合。","Récupère un nombre de points de volonté égal à la moitié de la Volonté. Divise par 2 tous les dégâts Viraux et confère une immunité à la panique pendant 1 tour. Termine le tour.","Stellt Willenspunkte in Höhe der Hälfte der Willenskraft wieder her. Halbiert vorhandenen Virusschaden und verleiht für 1 Zug Immunität gegen Panik. Beendet den aktuellen Zug der Einheit.","","","Восстанавить Очки Воли в количестве равном половине Силы Воли. Сократить урон вируса наполовину. Невосприимчивость к панике на 1 ход.
Завершить ход","",""
"PR_BC_HIDDEN","Text","UNREVEALED","","未揭示","DISCRET","NICHT ENTDECKT","","","СКРЫТ","",""
"PR_BC_HIDDEN_DESC","Text","Indicates when the character is unrevealed and not spotted.","","表示角色未被揭示且未被发现。","Indique que le personnage est invisible et n’a donc pas été repéré.","Zeigt an, dass der Charakter nicht entdeckt und nicht gesichtet wurde.","","","Показывает, что боец замаскировался и не обнаруживается врагами","",""
"PR_BC_INFILTRATOR_HIDDEN","Text","HIDDEN: +25% stealth and completely undetected.","","隐藏：+25%潜行，完全未被侦测。","CACHÉ : +25% de furtivité et totalement indétectable.","VERBORGEN: +25% Tarnung und völlig unentdeckt.","","","СКРЫТ: +25% скрытности, враги даже не подозревают о вас","",""
"PR_BC_INFILTRATOR_LOCATED","Text","LOCATED: +25% stealth and still invisible, but enemies know the characters position and can target him.","","被发现：+25% 潜行且仍然隐形，但敌人知道角色位置并能锁定目标。","LOCALISÉ : +25% de furtivité et toujours invisible, mais les ennemis connaissent la position du personnage et peuvent le viser.","LOKALISIERT: +25% Tarnung und weiterhin unsichtbar, aber Feinde kennen die Position und können ihn anvisieren.","","","УСЛЫШАН: +25% скрытности и все еще скрыт, но враги вас услышали и могут попытаться найти вас","",""
"PR_BC_INFILTRATOR_REVEALED","Text","REVEALED: No Stealth bonus!","","暴露：无潜行加成！","RÉVÉLÉ : Aucun bonus de furtivité !","ENTTARNT: Kein Tarnungsbonus!","","","ОБНАРУЖЕН: Бонуса скрытности больше нет!","",""
"PR_BC_BATTLE_FOCUS","Text","BATTLE FOCUS","","战斗专注","CONCENTRATION AU COMBAT","KAMPFFOKUS","","","БОЕВОЙ НАСТРОЙ","",""
"PR_BC_BATTLE_FOCUS_DESC","Text","If there are enemies within 10 tiles your attacks gain +20% damage","","如果10格内有敌人，你的攻击伤害提升20%","Si des ennemis se trouvent dans un rayon de 10 cases, vos attaques infligent +20% de dégâts.","Befinden sich Feinde im Umkreis von 10 Feldern, verursachen Angriffe +20% Schaden.","","","Если в 10 клетках от вас есть враги, ваши атаки наносят +20% урона","",""
"PR_BC_QUICK_AIM","Text","QUICK AIM","","快速瞄准","VISÉE RAPIDE","SCHNELLSCHUSS","","","ВЫСТРЕЛ НАВСКИДКУ","",""
"PR_BC_QUICK_AIM_DESC","Text","The action point cost of the next shot with proficient weapon is reduced by 1 with -30% accuracy. Limited to 2 uses per turn.","","下一次使用熟练武器的射击行动力消耗减少1，但命中率降低30%。每回合最多使用2次。","Le coût en points d’action du prochain tir avec une arme maîtrisée est réduit de 1, avec -30% de précision. Limité à 2 utilisations par tour.","Die Aktionspunktkosten des nächsten Schusses mit einer beherrschten Waffe werden um 1 reduziert, bei -30% Genauigkeit. Auf 2 Einsätze pro Zug begrenzt.","","","Следующий выстрел из профильного оружия стоит на 1 Очко Действий меньше, но имеет штраф к точности -30%.
2 раза за ход","",""
"PR_BC_KILL_N_RUN","Text","KILL'N'RUN","","杀敌撤退","KILL'N'RUN","ABSCHUSS & ABMARSCH","","","МАНЕВР СКОРОСТЬЮ","",""
"PR_BC_KILL_N_RUN_DESC","Text","Once per turn, take a free move after killing an enemy","","每回合一次，击杀敌人后可免费移动一次","Une fois par tour, effectuez un déplacement gratuit après avoir tué un ennemi.","Einmal pro Zug kann nach dem Töten eines Feindes eine kostenlose Bewegung ausgeführt werden.","","","Если вы убили противника, то переместитесь бесплатно на 7 клеток.
1 раз за ход","",""
"PR_BC_RAPID_CLEARANCE","Text","RAPID CLEARANCE","","快速清除","ENCHAINEMENT RAPIDE","SCHNELLE SÄUBERUNG","","","МАНЕВР ОГНЕМ","",""
"PR_BC_RAPID_CLEARANCE_DESC","Text","Until end of turn, after killing an enemy next attack cost -2 AP","","直到回合结束，击杀敌人后下一次攻击行动力消耗减少2","Jusqu’à la fin du tour, après avoir tué un ennemi, le coût en PA de la prochaine attaque est réduit de 2.","Bis zum Ende des Zuges kostet der nächste Angriff nach dem Töten eines Feindes 2 Aktionspunkte weniger.","","","После убийства врага следующая атака стоит на 2 Очка Действий меньше.
Эффект до конца хода","",""
"PR_BC_AIMED_BURST","Text","AIMED BURST","","瞄准连发","DOUBLE TIR","GEZIELTE SALVE","","","ОГОНЬ НА ПОРАЖЕНИЕ","",""
"PR_BC_AIMED_BURST_DESC","Text","Next shot with Assault Rifle uses double burst and gains +30% accuracy","","下一次使用突击步枪射击时，使用双连发且命中率提升30%","Tirez deux fois avec le fusil d’assaut sur un ennemi ou sur une cible avec +30% de précision.","Der nächste Schuss mit dem Sturmgewehr feuert eine doppelte Salve ab und erhält +30% Genauigkeit.","","","Следующий выстрел из автомата будет двойным (две очереди) с точностью +30%","",""
"PR_BC_EXTREME_FOCUS","Text","EXTREME FOCUS","","极限专注","VIGILANCE EXTRÊME","EXTREMER FOKUS","","","ПРЕДЕЛЬНОЕ ВНИМАНИЕ","",""
"PR_BC_EXTREME_FOCUS_DESC","Text","Overwatch cost is set to 1 Action Point for all weapons","","所有武器的警戒消耗固定为1点行动力","La vigilance est fixé à 1 PA pour toutes les armes.","Die Überwachungskosten werden für alle Waffen auf 1 Aktionspunkt gesetzt.","","","Режим наблюдения стоит 1 Очко Действий для любого оружия","",""
"PR_BC_ARMOR_BREAK","Text","ARMOR BREAK","","破甲","ANTI-BLINDAGE","RÜSTUNGSBRUCH","","","БРОНЕБОЙНЫЕ ПАТРОНЫ","",""
"PR_BC_ARMOR_BREAK_DESC","Text","Gain +15 shred for the next attack with direct-fire projectile weapon, divided and rounded down by the amount of projectiles for burst weapons and shotguns.","","下一次使用直接射击弹道武器攻击时获得+15护甲破坏，连发武器和霰弹枪的破甲值按弹丸数量分摊并向下取整。","Gagne +15 perforation pour la prochaine attaque avec une arme à projectiles à tir direct, divisé et arrondi à l’entier inférieur selon le nombre de projectiles pour les armes en rafale et les fusils à pompe.","Verleiht dem nächsten Angriff mit einer direkt feuernden Projektilwaffe +15 Zerfetzen. Bei Salvenwaffen und Schrotflinten wird der Wert durch die Anzahl der Geschosse geteilt und abgerundet.","","","При следующей атаке получить +15 урона разрыва (shred damage) для профильного огнестрельного оружия, разделенное на количество путь (дробин) для автоматического оружия и дробовиков.","",""
"PR_BC_GUNSLINGER","Text","GUNSLINGER","","枪手","PISTOLERO","REVOLVERHELD","","","ГАНФАЙТЕР","",""
"PR_BC_GUNSLINGER_DESC","Text","Shoot handgun 3 times at -50% accuracy. Uses AP cost of the weapon.","","使用手枪射击3次，命中率降低50%。消耗武器的行动力。","Tire 3 fois avec le pistolet à -50% de précision. Utilise le coût en PA de l’arme.","Feuert die Pistole dreimal mit –50% Genauigkeit ab. Verwendet die regulären Aktionspunktkosten der Waffe.","","","Совершить 3 выстрела из пистолета со штрафом точности -50% за обычные Очки Действий оружия","",""
"PR_BC_KILL_ZONE","Text","KILL ZONE","","杀戮区域","ZONE MORTELLE","TÖTUNGSZONE","","","СТРЕЛЬБА ДУПЛЕТОМ","",""
"PR_BC_KILL_ZONE_DESC","Text","When you take an Overwatch shot you fire twice at the target","","当你进行警戒射击时，对目标射击两次","Lors d’une vigilance, vous tirez deux fois sur la cible.","Wenn du im Überwachungsmodus einen Schuss abgibst, feuerst du zweimal auf das Ziel.","","","В режиме наблюдения cделать два выстрела по перехваченной цели","",""
"PR_BC_HUNKER_DOWN","Text","HUNKER DOWN","","蹲伏防御","S'ACCROUPIR","IN DECKUNG GEHEN","","","СИЛОВОЙ ЩИТ","",""
"PR_BC_HUNKER_DOWN_DESC","Text","Gain 10 armor until your next turn. Ends turn. Your next attack cost -1 AP.","","直到你的下一回合获得10点护甲。结束回合。你的下一次攻击消耗减少1点行动力。","Gagnez 10 points d’armure jusqu’à votre prochain tour. Termine le tour. Le coût de votre prochaine attaque est réduit de 1 PA.","Erhöht die Rüstung bis zum nächsten Zug um 10. Beendet den Zug. Der nächste Angriff kostet 1 Aktionspunkt weniger.","","","Получить +10 брони до конца вашего следующего хода. Следующая атака стоит на 1 Очко Действий меньше.
Завершить ход","",""
"PR_BC_HUNKER_DOWN_ARMOR_STATUS","Text","HUNKER DOWN ARMOUR BUFF","","蹲伏防御护甲增益","ACCROUPI : BONUS D’ARMURE","IN DECKUNG GEHEN - RÜSTUNGSVERSTÄRKER","","","БОНУС БРОНИ (РАБОТАЕТ СИЛОВОЙ ЩИТ)","",""
"PR_BC_HUNKER_DOWN_ARMOR_STATUS_DESC","Text","Added 10 Armour to each body part.","","每个身体部位增加10点护甲。","Ajout de 10 points d’armure à chaque membre.","Fügt jedem Körperteil +10 Rüstung hinzu.","","","Получить +10 брони для каждой части тела","",""
"PR_BC_HUNKER_DOWN_AP_STATUS","Text","HUNKER DOWN ATTACK BOOST","","蹲伏防御攻击加成","ACCROUPI : BONUS D’ATTAQUE","IN DECKUNG GEHEN - ANGRIFFSBONUS","","","БОНУС АТАКИ (РАБОТАЕТ СИЛОВОЙ ЩИТ)","",""
"PR_BC_HUNKER_DOWN_AP_STATUS_DESC","Text","Next attack with proficient weapon cost -1 AP.","","下一次使用熟练武器的攻击消耗减少1点行动力。","La prochaine attaque avec une arme maîtrisée coûte 1 PA de moins.","Der nächste Angriff mit einer beherrschten Waffe kostet 1 Aktionspunkt weniger.","","","Следующая атака из профильного оружия стоит на 1 Очко Действий меньше","",""
"PR_BC_SKIRMISHER","Text","SKIRMISHER","","游击战士","ÉCLAIREUR","PLÄNKLER","","","ЧЕРНЫЙ РЫЦАРЬ","",""
"PR_BC_SKIRMISHER_DESC","Text","If you take damage during enemy turn your attacks deal 25% more damage until end of turn","","如果你在敌方回合受到伤害，你的攻击在本回合结束前造成的伤害提高25%。","Si vous subissez des dégâts pendant le tour ennemi, vos attaques infligent 25% de dégâts supplémentaires jusqu’à la fin de votre tour.","Erleidet der Charakter während des gegnerischen Zuges Schaden, verursachen seine Angriffe bis zum Ende des nächsten Zuges 25% mehr Schaden.","","","При получении урона во время вражеского хода, увеличьте свой урон на +25%.
Эффект до конца хода","",""
"PR_BC_SHRED_RESISTANCE","Text","SHRED RESISTANCE","","破甲抗性","BLINDAGE RESISTANT","ZERFETZEN-WIDERSTAND","","","УСИЛЕННАЯ БРОНЯ","",""
"PR_BC_SHRED_RESISTANCE_DESC","Text","Shred Damage is reduced by half","","破甲伤害减少一半。","Les dégâts de perforation sont réduits de moitié","Der Zerfetzungsschaden wird halbiert.","","","Урон разрыва по вашей брони (shred damage) снижен вдвое","",""
"PR_BC_RAGE_BURST","Text","RAGE BURST","","狂怒爆发","EXPLOSION DE RAGE","WUTAUSBRUCH","","","ОГОНЬ НА ПОДАВЛЕНИЕ","",""
"PR_BC_RAGE_BURST_DESC","Text","Shoot 5 times across a wide arc with increased accuracy. Uses AP cost of the weapon.","","以增加的精准度在宽广弧线内射击5次。消耗武器的行动力。","Tire 5 fois sur un large arc avec une précision accrue. Utilise le coût en points d’action de l’arme.","Feuert 5 Schüsse in einem weiten Bogen mit erhöhter Genauigkeit ab. Verwendet die regulären Aktionspunktkosten der Waffe.","","","Совершить 5 выстрелов по вееру с повышенной точностью за обычные Очки Действий оружия","",""
"PR_BC_JETPACK_CONTROL","Text","JETPACK CONTROL","","喷气背包控制","JETPACK","JETPACK-STEUERUNG","","","МАНЕВР ПРЫЖКОМ","",""
"PR_BC_JETPACK_CONTROL_DESC","Text","Jump to a location within 14 tiles. Limited to one use per turn","","跳跃至14格内的位置。每回合限用一次。","Saute vers un emplacement dans un rayon de 14 cases. Limité à une utilisation par tour.","Springe zu einem Ort innerhalb von 14 Feldern. Auf einen Einsatz pro Zug begrenzt.","","","Совершить прыжок на 14 клеток (требуется реактивный ранец).
1 раз за ход","",""
"PR_BC_BOOM_BLAST","Text","BOOM BLAST","","爆炸冲击","BADABOOM","SPRENGVERSTÄRKUNG","","","ГРЕНАДЕРЫ, К БОЮ!","",""
"PR_BC_BOOM_BLAST_DESC","Text","Until end of turn your Explosives gain +50% range. The AP cost of handheld Rocket and Grenade Launchers are reduced by 1.","","直到回合结束，你的爆炸物射程增加50%。手持火箭筒和榴弹发射器的行动力消耗减少1。","Jusqu’à la fin du tour, vos explosifs bénéficient de +50% de portée. Le coût en PA des lance‑roquettes et lance‑grenades est réduit de 1.","Bis zum Ende des Zuges erhalten Sprengstoffe +50% Reichweite. Die Aktionspunktekosten von tragbaren Raketen- und Granatwerfern werden um 1 reduziert.","","","Дальность ваших атак взрывным оружием повышена на +50%. Выстрел из ракетной установки и гранатомета стоит на 1 Очко Действий меньше.
Эффект до конца хода","",""
"PR_BC_ADRENALINE","Text","ADRENALINE","","肾上腺素","ADRÉNALINE","ADRENALIN","","","УКОЛ АДРЕНАЛИНА","",""
"PR_BC_ADRENALINE_DESC","Text","Until end of turn one-handed weapons and all non-weapon skills cost 1AP, except Recover","","直到回合结束，单手武器和所有非武器技能消耗1行动力，恢复技能除外。","Jusqu’à la fin du tour, les armes à une main et toutes les compétences non liées aux armes coûtent 1 PA, sauf Récupération.","Bis zum Ende des Zuges kosten einhändige Waffen und alle Nichtwaffenfertigkeiten 1 Aktionspunkt (außer Erholung).","","","Выстрел из одноручного оружия и не оружейные навыки стоят 1 Очко Действий (кроме ""Восстановления"").
Эффект до конца хода","",""
"PR_BC_BLOODLUST_DESC","Text","Gain up to 25% Speed and Damage based on lost Health.","","根据失去的生命值，获得最高25%的速度和伤害加成。","Gagnez jusqu’à +25% de Vitesse et de Dégâts en fonction des points de vie perdus.","Erhalte bis zu 25% mehr Geschwindigkeit und Schaden basierend auf verlorener Gesundheit.","","","Получить бонус до 25% для скорости и урона, в зависимости от потерянных хитов","",""
"PR_BC_GUN_KATA","Text","GUN KATA","","枪术","GUN KATA","WAFFENKATA","","","КЛИРИК ГРАММАТОНА","",""
"PR_BC_GUN_KATA_DESC","Text","Shoot with your handgun for free. Limited to 2 uses per turn.","","免费使用手枪射击。每回合限用2次。","Tirer avec votre pistolet gratuitement. Limité à 2 utilisations par tour.","Feuert die Pistole kostenlos ab. Auf 2 Einsätze pro Zug begrenzt.","","","Выстрелить из пистолета бесплатно.
2 раза за ход","",""
"PR_BC_EXERTION","Text","EXERTION","","用力","EFFORT","ANSTRENGUNG","","","МЕДИТАЦИЯ","",""
"PR_BC_EXERTION_DESC","Text","Recover 2AP. Limited to 1 use per turn.","","恢复2行动力。每回合限用1次。","Récupère 2 PA. Limité à 1 utilisation par tour.","Stellt 2 Aktionspunkte wieder her. Auf 1 Einsatz pro Zug begrenzt.","","","Восстановить 2 Очка Действий.
1 раз за ход","",""
"PR_BC_KILLER_INSTINCT","Text","KILLER INSTINCT","","杀手本能","INSTINCT MEURTRIER","KILLERINSTINKT","","","ИНСТИНКТ УБИЙЦЫ","",""
"PR_BC_KILLER_INSTINCT_DESC","Text","At the beginning of your turn, if there is an enemy within 5 tiles your next attack costs -2AP","","回合开始时，如果5格内有敌人，你的下一次攻击消耗减少2行动力。","Au début de votre tour, si un ennemi se trouve dans un rayon de 5 cases, votre prochaine attaque coûte 2 PA de moins.","Befindet sich <b>zu Beginn deines Zuges</b> ein Feind im Umkreis von 5 Feldern, kostet dein nächster Angriff 2 Aktionspunkte weniger.","","","Если в начале хода в пределах 5 клеток от вас есть враг, ваша следующая атака стоит на 2 Очка Действий меньше","",""
"PR_BC_KILLER_INSTINCT_STATUS","Text","KILLER INSTINCT TRIGGERED","","杀手本能触发","INSTINCT MEURTRIER ACTIF","KILLERINSTINKT AKTIVIERT","","","СРАБОТАЛ ИНСТИНКТ УБИЙЦЫ","",""
"PR_BC_KILLER_INSTINCT_STATUS_DESC","Text","There is an enemy within 5 tiles, your next attack costs -2AP.","","5格内有敌人，你的下一次攻击消耗减少2行动力。","Un ennemi se trouve dans un rayon de 5 cases : votre prochaine attaque coûte 2 PA de moins.","Befindet sich ein Feind im Umkreis von 5 Feldern, kostet der nächste Angriff 2 Aktionspunkte weniger.","","","В пределах 5 клеток от вас есть враг, поэтому ваша следующая атака стоит на 2 Очка Действий меньше","",""
"PR_BC_SNEAK_ATTACK","Text","SNEAK ATTACK","","偷袭","ATTAQUE SOURNOISE","HINTERHALTANGRIFF","","","СКРЫТАЯ АТАКА","",""
"PR_BC_SNEAK_ATTACK_DESC","Text","Attacks while hidden deal +50% and while located +25% damage","","隐身攻击造成额外50%伤害，定位攻击造成额外25%伤害。","Les attaques infligent +50% de dégâts lorsque CACHÉ et +25% lorsque LOCALISÉ.","Angriffe aus dem Verborgenen verursachen +50% Schaden, Angriffe aus dem lokalisierten Zustand +25% Schaden.","","","Если вы скрыты, ваши атаки наносят +50% урона. Если вас услышали, но не обнаружили, то лишь +25% урона","",""
"PR_BC_SA_HIDDEN_DESC","Text","HIDDEN: Deal +50% damage","","隐身：造成额外50%伤害","CACHÉ : inflige +50% de dégâts","VERBORGEN: Verursacht +50% Schaden","","","СКРЫТ: Урон увеличен на 50%","",""
"PR_BC_SA_LOCATED_DESC","Text","LOCATED: Deal +25% damage","","定位：造成额外25%伤害","LOCALISÉ : inflige +25% de dégâts","LOKALISIERT: Verursacht +25% Schaden","","","УСЛЫШАН: Урон увеличен на 25%","",""
