"Key","Type","Desc","English","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"TFTV_CAPTURE_DRONES_MODULE_NAME","Text","","Salvage Drones","打捞无人机","Drones de récupération","Bergungsdrohnen","","","Грузовые Дроны","",""
"TFTV_CAPTURE_DRONES_MODULE_DESCRIPTION","Text","","A pack of autonomous retrieval drones that scour the battlefield, securing all items even when the area remains contested. All items left on the ground are collected on mission end.","一组自主回收无人机，能够在战场上搜寻并回收所有物品，即使区域仍处于争夺中。任务结束时会收集地面上所有遗留物品。","Un groupe de drones de récupération autonomes qui parcourent le champ de bataille, récupérant tous les objets même si la zone reste contestée. Tous les objets laissés au sol sont collectés à la fin de la mission.","Ein Schwarm autonomer Bergungsdrohnen, der das Schlachtfeld absucht und alle Gegenstände sichert – auch in umkämpften Gebieten.
<b>Alle am Boden verbliebenen Gegenstände werden am Missionsende eingesammelt.</b>","","","Несколько дронов с захватами для сбора трофеев с боля боя, даже с незачищенной территории. В конце миссии все, что лежит на земле, будет подобрано!","",""
"TFTV_VEHICLE_HARNESS_MODULE_NAME","Text","","Ezekiel's Dream","以西结之梦","Le Rêve d’Ézéchiel","Ezechiels Traum","","","Модуль «Мечта Иезекииля»","",""
"TFTV_VEHICLE_HARNESS_MODULE_DESCRIPTION","Text","","A reinforced hard-point harness that lets any aircraft carry a ground vehicle as external cargo. Aircraft can carry a vehicle for 1 space less (Thunderbird can carry 2 vehicles for 1 space each).","强化硬点挂架，允许任何飞行器携带地面车辆作为外部货物。飞行器可携带的车辆空间减少1格（雷鸟号可携带2辆车辆，每辆占用1格）。","Un harnais renforcé à point d’ancrage rigide permettant à n’importe quel apareil de transporter un véhicule terrestre en tant que cargaison externe. Les apareils peuvent transporter un véhicule pour 1 case de moins (le Thunderbird peut transporter 2 véhicules pour 1 case chacun).","Verstärkte Außenlast-Aufhängung, die es Fluggeräten erlaubt, Bodenfahrzeuge extern zu transportieren.
<b>Fahrzeuge benötigen 1 Platz weniger</b> (Thunderbird kann <b>2 Fahrzeuge zu je 1 Platz</b> transportieren).","","","Усиленный грузовой захват для машин. Позволяет самолету нести машину снаружи корпуса. Машина занимает на 1 пассажиро-место меньше. (Гром-птица может нести 2 машины, по 1-му месту на каждую).","",""
"TFTV_SCANNER_MODULE_NAME","Text","","Signal Harvester","信号收割者","Collecteur de signaux","Signalsammler","","","Звукоулавливатель","",""
"TFTV_SCANNER_MODULE_DESCRIPTION","Text","","A jumble of antenna arrays to listen in on other people's conversations. Provides SCAN ABILITY: spend 12 hours and 5 tech and 30 mat to detect Points of Interest on the Geoscape within 2000 KM (50% success rate).
Aircraft cannot move during scan.","一组杂乱的天线阵列，用于监听他人对话。提供扫描能力：花费12小时、5科技和30材料，在世界地图上检测2000公里范围内的兴趣点（成功率50%）。
飞行器扫描期间无法移动。","Un amas d'antennes permettant d'intercepter les communications adverses. Confère la capacité SCANNER : dépensez 12 heures, 5 de technologie et 30 de matériaux pour détecter des points d'intérêt sur le Géoscape dans un rayon de 2000 km (taux de réussite de 50 %).
L'appareil ne peut pas se déplacer pendant le scan.","Ein Antennenwirrwarr, welches das verzweifelte Rauschen der Welt auffängt. Erhöht die Chance, noch nicht ganz verlorene Orte zu finden.
<b>Fähigkeit „Scannen“ mit 50% Chance, einen POI zu entdecken.</b>

<color=#E0E0E0>[BENNU]: Der Scan-Vorgang erfordert eine 12-stündige stationäre Positionierung des Fluggerätes. Dieses Verfahren ermöglicht die Aufklärung entlegener Gebiete ohne die vorherige Aktivierung lokaler Stützpunkte.</color>","","","Блок из нескольких направленных микрофонов. Дает способность Сканировать с 50% шансом обнаружить неизвестную локацию.","",""
"TFTV_PASSENGER_MODULE_NAME","Text","","Barracuda Berths","梭鱼乘员舱","Lits Barracuda","Barracuda-Kojen","","","Подвесная гондола «Барракуда»","",""
"TFTV_PASSENGER_MODULE_DESCRIPTION","Text","","Reconfigures the Manticore’s hold into two extra passenger pods, at the cost of some speed. Adds 2 passenger seats, –200 Speed","将螳螂号的货舱重新配置为两个额外乘员舱，但会牺牲部分速度。增加2个乘员座位，速度-200。","Reconfigure la soute du Manticore en deux modules passagers supplémentaires, au prix d’une certaine vitesse. Ajoute 2 places passagers, –200 en Vitesse","Rüstet den Laderaum des Manticore mit zwei zusätzlichen Truppmodulen um – auf Kosten der Geschwindigkeit.
<b>+2 Truppplätze, -200 Geschwindigkeit</b>","","","Добавляет Мантикоре +2 пассажиро-места, но отнимает -200 скорости","",""
"TFTV_CLINIC_MODULE_NAME","Text","","Neurorest Hammocks","神经休憩吊床","Hamacs Neurorepos","Neurorest","","","Модуль «Нейро-гамаки»","",""
"TFTV_CLINIC_MODULE_DESCRIPTION","Text","","A set of mesh slings with IV drips and brain-wave modulators, because we all deserve a natural rest. Operatives on board recover a small amount of Stamina.","一套带有静脉输液和脑波调节器的网状吊床，因为我们都值得拥有自然的休息。机上干员可恢复少量耐力。","n ensemble de hamacs en filet équipés de perfusions et de modulateurs d’ondes cérébrales, parce que nous méritons tous un repos naturel. Les unités à bord récupèrent une petite quantité d’Endurance.","Netzhängematten mit Infusionen und Hirnwellenmodulatoren – denn natürliche Erholung steht allen zu.
<b>Einheiten an Bord regenerieren langsam Ausdauer.</b>","","","Гамаки, оборудованные капельницами и нейро-модуляторами мозговых волн, идеально для спокойного отдыха! Бойцы на борту медленно восстанавливают Выносливость.","",""
