"Key","Type","Desc","English","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"TFTV_CRUISE_CONTROL_MODULE_DESCRIPTION","Text","","Provides +4 passenger slots and increases aircraft speed","提供+4个乘员槽位并提升飞行器速度","Offre +4 emplacements passagers et augmente la vitesse de l'appareil.","Gewährt +4 Truppplätze und erhöht die Fluggeschwindigkeit.","","","+4 места для бойцов и увеличение скорости самолета","",""
"TFTV_CRUISE_CONTROL_MODULE_NAME","Text","","Quick response passenger module","快速响应乘员模块","Module passager à intervention rapide","Reaktions- & Transportmodul","","","Модуль перехвата и вместимости","",""
"TFTV_FUEL_TANK_MODULE_DESCRIPTION","Text","","Provides +4 passenger slots and increases aircraft range","提供+4个乘员槽位并增加飞行器航程","Offre +4 emplacements passagers et augmente la portée de l'appareil.","Gewährt +4 Truppplätze und erhöht die Reichweite des Fluggeräts.","","","+4 места для бойцов и увелечение дальности полета самолета","",""
"TFTV_FUEL_TANK_MODULE_NAME","Text","","Extended range passenger module","远程乘员模块","Module passager à autonomie étendue","Reichweiten- & Transportmodul","","","Модуль дальности полета и вместимости","",""
"KEY_TFTV_CAPTURE_MODULE_NAME","Text","","Scylla capture passenger module","斯库拉捕获乘员模块","Module passager de capture Scylla","Scylla Eindämmungs- & Transportmodul","","","Модуль захвата Сциллы и вместимости","",""
"KEY_TFTV_CAPTURE_MODULE_DESCRIPTION","Text","","Provides +4 passenger slots and additional capture capabilities","提供+4个乘员槽位及额外捕获能力","Offre +4 emplacements passagers et des capacités de capture supplémentaires","Gewährt +4 Truppplätze und zusätzliche Eindämmungsplätze.","","","+4 места для бойцов и изолятор для Сциллы","",""
"KEY_DLC3_GEOBONUS_RECUPERATION","Text","","Allows capturing Scylla, + 8 capture slots","允许捕获斯库拉，+8捕获槽位","Permet de capturer des Scylla, +8 emplacements de capture","Ermöglicht Scylla-Gefangennahme, +8 Eindämmungsplätze","","","Три дополнительных слота для захвата, можно захватить даже Сциллу","",""
"KEY_DLC3_GEOBONUS_STAMINA","Text","","Onboard personnel recovers Stamina","机上人员恢复耐力","Le personnel à bord récupère de l’Endurance","An Bord erholen sich die Einsatzkräfte (Ausdauerregeneration)","","","Пассажиры самолета медленно восстанавливают Выносливость","",""
"TFTV_FARM_MODULE_DESCRIPTION","Text","","Provides +4 passenger slots and stamina recovery","提供+4个乘员槽位并恢复耐力","Offre +4 emplacements passagers et permet la récupération d’Endurance","Gewährt +4 Truppplätze und Ausdauerregeneration.","","","Разведывательно-штурмовой модуль: +4 места для бойцов и восстановление Выносливости у пассажиров самолета","",""
"TFTV_FARM_MODULE_NAME","Text","","FAR-M","FAR-M","FAR-M","FAR","","","РШМ","",""
"KEY_LIVING_MACHINE_GUN_DESCRIPTION","Text","","Poison Firing Living Machine Gun","毒素射击活体机枪","Mitrailleuse Vivante à Projectiles Toxiques","Lebende Maschinenkanone, die giftige Geschosse abfeuert.","","","Стреляющий ядом Живой Пулемет","",""
"KEY_LIVING_MACHINE_GUN_NAME","Text","","Malachi MG","马拉基机枪","Malachi MG","Malachi-MG","","","Пулемет ""Малачи""","",""
"KEY_LIVING_RIFLE_DESCRIPTION","Text","","Acid Firing Living Assault Rifle","酸液射击活体突击步枪","Fusil d’Assaut Vivant à Projectiles Acides","Lebendes Sturmgewehr, das ätzende Geschosse abfeuert.","","","Стреляющий кислотой Живой Автомат","",""
"KEY_LIVING_RIFLE_NAME","Text","","Burner AR","燃烧者突击步枪","Burner AR","Säure-AR","","","Автомат ""Сжигатель""","",""
"KEY_BASE_FACILITY_FOOD_PRODUCTION_DESCRIPTION_TFTV","Text","","A food production facility that generates enough food for 8 soldiers each day. Allows rendering captured Pandorans for food after corresponding research.","一个每天为8名士兵生产足够食物的食物生产设施。完成相应研究后，可将捕获的潘多拉体制作为食物。","Une installation de production alimentaire qui génère suffisamment de nourriture pour 8 unités par jour. Permet de transformer les Pandorans capturés en nourriture après avoir effectué la recherche correspondante.","Nahrungsproduktion: Erzeugt täglich Rationen für 8 Einheiten. Erlaubt nach Erforschung die Verwertung gefangener Pandoraner zu Nahrung.","","","Пищевой комбинат, производит достаточно еды для 8 бойцов каждый день. Позволяет перерабатывать захваченных Пандоранов в пищу после выполнения соответствующего исследования.","",""
"KEY_BASE_FACILITY_MUTATION_LAB_DESCRIPTION_TFTV","Text","","Allows soldiers to be mutated, and produces mutagens from captured Pandorans - the raw material for mutation.","允许士兵进行变异，并从捕获的潘多拉体中生产变异素——变异的原材料。","Permet de muter les agents et produit des mutagènes à partir des Pandoriens capturés, matière première nécessaire à la mutation.","Ermöglicht es, Einheiten zu mutieren, und produziert Mutagene aus gefangenen Pandoranern – dem Rohmaterial für die Mutation.","","","Позволяет бойцам управляемо мутировать и добывает мутагены из пленных Пандоранов - сырье для мутаций.","",""
"KEY_BASE_FACILITY_ARCHEOLOGY_LAB_DESCRIPTION","Text","","The Archaeology Lab allows the construction of Archaeology Probes. You only need one Archaelogy Lab and there are no benefits to having more than that. Note that it does not generate regular research.","考古实验室允许建造考古探测器。你只需要一个考古实验室，拥有多个不会带来额外好处。注意，它不产生常规科技研究。","Le Laboratoire d’Archéologie permet la construction de Sondes Archéologiques. Une seule installation suffit, et il n’y a aucun avantage à en posséder plusieurs. Notez qu’il ne génère pas de recherche classique.","Das Archäologielabor ermöglicht den Bau von Archäologiesonden. Ein Archäologielabor genügt; weitere Labore bieten keinen zusätzlichen Nutzen. Es trägt nicht zur regulären Forschung bei.","","","Лаборатория археологии позволяет строить археологические зонды. Вам нужна только одна лаборатория археологии на все базы. Обратите внимание, что она не добавляет регулярные исследования.","",""
"KEY_REPAIR_KIT_DESCRIPTION","Text","","Removes all negative status effects from target.","移除目标身上的所有负面状态效果。","Supprime tous les effets négatifs sur la cible.","Entfernt alle negativen Statuseffekte vom Ziel.","","","Снимает с цели все негативные статусы.","",""
"KEY_REPAIR_KIT_NAME","Text","","Nanotech Fieldkit","纳米技术维修包","Trousse Nanotech","Nanotechnik-Einsatzkit","","","Нано-аптечка","",""
"KEY_REPAIR_KIT_ABILITY_DESCRIPTION","Text","","Removes all acid, bleeding, blind, paralyzed, poisoned, slowed, stun, trembling, viral status from the target.","移除目标身上的所有酸液、流血、失明、麻痹、中毒、减速、眩晕、颤抖和病毒状态。","Supprime tous les statuts Acide, Hémorragie, Aveugle, Paralysé, Empoisonné, Ralenti, Étourdi, Tremblement et Viral de la cible.","Entfernt alle Säure-, Blutungs-, Blindheits-, Lähmungs-, Vergiftungs-, Verlangsamungs-, Betäubungs-, Zitter- und Viruszustände vom Ziel.","","","Снимает с цели поражения Кислотой, Кровотечение, Ослепление, Паралич, Отравление, Замедление, Оглушение, Тремор, Вирусный статус.","",""
"KEY_REPAIR_KIT_ABILITY_NAME","Text","","USE NANOTECH FIELDKIT","使用纳米技术急救包","UTILISER LA TROUSSE NANOTECH","BENUTZE NANOTECH-EINSATZKIT","","","ИСПОЛЬЗОВАТЬ МЕДИЦИНСКИЙ НАНОДРОИД","",""
"KEY_PX_BLAST_RES_ATTACHMENT_DESCRIPTION","Text","","Blast and Fire Damage Resistant Vest","抗爆炸和火焰伤害背心","Gilet anti-explosion et anti-feu","Explosions- und feuerbeständige Schutzweste.","","","Костюм сапера, защищающий от воздействия взрывов и огня","",""
"KEY_PX_BLAST_RES_ATTACHMENT_NAME","Text","","Hazard Protection Vest","危害防护背心","Gilet de protection","Gefahrenschutzweste","","","Костюм сапера взрывозащитный","",""
"EXTRAHEALING_NAME","Text","","INCREASED HEALING","增强治疗效果","SOINS ACCRUS","VERBESSERTE HEILUNG","","","ПОЛЕВАЯ АПТЕЧКА","",""
"EXTRAHEALING_DESCRIPTION","Text","","Increases incoming healing by 25%","增加25%的治疗效果","Augmente les soins reçus de 25 %","Erhöht die eingehende Heilung um 25%","","","Улучшает лечение на 25%","",""
"RESISTANCE_TO_PARALYSIS_NAME","Text","","PARALYSIS RESISTANCE","麻痹抗性","RÉSISTANCE À LA PARALYSIE","LÄHMUNGSRESISTENZ","","","УСТОЙЧИВОСТЬ К ПАРАЛИЧУ","",""
"RESISTANCE_TO_PARALYSIS_DESCRIPTION","Text","","Reduces incoming paralysis damage by half","减少一半的麻痹伤害","Réduit de moitié les dégâts de paralysie reçus","Reduziert eingehenden Lähmungsschaden um die Hälfte.","","","Получаемый парализующий урон уменьшается в два раза","",""
"KEY_SY_POISON_RES_VEST_ATTACHMENT_DESCRIPTION","Text","","Poison and Paralysis-resistant enhanced healing undersuit","抗毒和麻痹的增强治疗内衣","Combinaison de soins améliorés, résistante au poison et à la paralysie","Gift- und lähmungsresistenter Unteranzug mit verbesserter Heilung.","","","Костюм, защищающий от яда и парализующего оружия","",""
"KEY_SY_POISON_RES_VEST_ATTACHMENT_NAME","Text","","Trauma Response Vest","创伤反应背心","Gilet anti-traumatisme","Trauma-Notfallweste","","","Костюм биозащиты","",""
"KEY_BLAST_RESISTANCE_NAME","Text","","BLAST RESISTANCE","爆炸抗性","RÉSISTANCE AUX EXPLOSIONS","EXPLOSIONSRESISTENZ","","","УСТОЙЧИВОСТЬ К ВЗРЫВАМ","",""
"KEY_NJ_FIRE_RES_VEST_ATTACHMENT_DESCRIPTION","Text","","New Jericho Acid-resistant Undersuit Module","新耶利哥耐酸内衣模块","Module de combinaison anti-acide de la Nouvelle-Jéricho","Unteranzugmodul mit Säurebeständigkeit aus Neu-Jericho","","","Костюм химзащиты Нового Иерихона, защищающий от воздействия кислоты","",""
"KEY_NJ_FIRE_RES_VEST_ATTACHMENT_NAME","Text","","Acid-Res Vest Module","耐酸背心模块","Gilet anti-acide","Säureschutzmodul für Westen","","","Костюм защитный химический","",""
"KEY_SY_MIST_REPEL_ATTACHMENT_DESCRIPTION","Text","","Synedrion Mist-repellant Leg Module","平衡议会迷雾驱散腿部模块","Module Synedrion anti-brouillard","Beinmodul zur Nebelabwehr (Synedrion)","","","Модуль Синедриона для ног, позволяющий рассеивать Туман","",""
"NANOVEST_NAME","Text","","Nanotech Vest","纳米技术背心","Gilet Nanotech","Nanotech-Schutzweste","","","Нано-комбинезон","",""
"NANOVEST_DESCRIPTION","Text","","Enhanced limb protection","强化肢体保护","Protection des membres améliorée","Verbesserter Gliedmaßenschutz","","","Комбинезон из наноматериала, защищающий все конечности","",""
"NANOVEST_ABILITY_NAME","Text","","INCREASED BODYPART HP","增加部位生命值","POINTS DE VIE DES MEMBRES ACCRUS","ERHÖHTE KÖRPERTEIL-HP","","","УВЕЛИЧЕННЫЕ ХИТЫ ЧАСТЕЙ ТЕЛА","",""
"NANOVEST_ABILITY_DESCRIPTION","Text","","Increases the HP of all bodyparts by 10","所有部位生命值增加10","Augmente les PV de tous les membres de 10","Erhöht die Trefferpunkte (HP) aller Körperteile um 10","","","Увеличивает хиты всех частей тела на 10","",""
"KEY_BASE_FACILITY_CONTAINMENT_DESCRIPTION","Text","","Live Pandorans can be contained here and kept alive. Large creatures will take more space, and space is shared across all facilities. The facility has 25 containment space.","这里可以关押活体潘多拉体并保持其存活。大型生物占用更多空间，且空间在所有设施间共享。该设施拥有25个关押空间。","Les Pandorans vivants peuvent être contenus ici et maintenus en vie. Les créatures de grande taille occupent plus d’espace, et l’espace est partagé entre toutes les installations. Cette installation dispose de 25 emplacements de contention.","Lebende Pandoraner können hier untergebracht und am Leben erhalten werden. Große Kreaturen benötigen mehr Platz, der von allen Einrichtungen gemeinsam genutzt wird. Die Einrichtung verfügt über 25 Unterbringungsplätze.","","","Здесь держат живых Пандоранов. Крупные существа занимают больше места. Доступное пространство включает в себя все Изоляторы на базах, в каждом - 25 единиц объема.","",""
"Taxiarch_Nergal","Text","","Taxiarch Nergal","指挥官内尔加尔","Taxiarch Nergal","Taxiarch Nergal","","","Таксиарх Нергал","",""
"Nikolai","Text","","Nikolai","尼古拉","Nikolai","Nikolai","","","Николай","",""
"Stas","Text","","Stas","斯塔斯","Stas","Stas","","","Стас","",""
"Zhara","Text","","Zhara","扎拉","Zhara","Kaninchen","","","Жара","",""
"Sophia_Villanova","Text","","Sophia Villanova","索菲娅·维拉诺瓦","Sophia Villanova","Sophia Villanova","","","София Вилланова","",""
"Colonel_Jack_Harlson","Text","","Colonel Jack Harlson","杰克·哈尔森上校","Colonel Jack Harlson","Oberst Jack Harlson","","","Полковник Джек Харлсон","",""
"Captain_Richter","Text","","Captain J. P. Richter","J. P. 里希特上尉","Captain J. P. Richter","Hauptmann J. P. Richter","","","Капитан Дж. П. Рихтер","",""
"KEY_NJ_EXO_BIO_HELMET_DESCRIPTION","Text","","New Jericho Will Disruption Head Augmentation","新耶利哥意志干扰头部义体","Module crânien de la Nouvelle-Jéricho : Perturbation de Volonté","Kopfaugmentation zur Willensstörung (Neu-Jericho)","","","Аугментация «Голова-подавитель воли» Нового Иерихона","",""
