"Key","Type","Desc","English","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"KEY_DLC3_MOUNTEGG_NAME","Text","","HAMMERFALL CRATER","锤击陨石坑","CRATÈRE HAMMERFALL","Hammerfall-Krater","","","КРАТЕР «УДАР МОЛОТА»","",""
"KEY_DLC3_THE_GIFT","Text","","AURORA","极光号","AURORA","AURORA","","","АВРОРА","",""
"KEY_MARKETPLACE_HAVEN_ADDITIONAL_HEADER","Text","","The Bazaar","市集","Le Bazar","Der Basar","","","Рынок","",""
"KEY_MARKETPLACE_DESCRIPTION_5","Text","","Enjoy the sights and pungent smells!","享受这里的景色和浓烈气味！","Profitez des vues et des odeurs piquantes !","Genieße den Anblick und die beißenden Gerüche!","","","Наслаждайтесь пестрыми видами и необычными запахами!","",""
"DLC5/KEY_MARKETPLACE_HAVEN_HEADER","Text","","BAZAAR HAVEN","市集避难所","REFUGE DU BAZAR","BASAR ZUFLUCHT","","","УБЕЖИЩЕ-БАЗАР","",""
"DLC5/KEY_KAOS_SYNDICATE","Text","","The Bazaar","市集","Le Bazar","Der Basar","","","Рынок","",""
"KEY_MISSION_HAVEN_INFESTED_VICTORY_NAME","Text","","MISSION COMPLETE","任务完成","MISSION TERMINÉE","MISSION ABGESCHLOSSEN","","","МИССИЯ ЗАВЕРШЕНА","",""
"KEY_MISSION_HAVEN_INFESTED_VICTORY_DESCRIPTION","Text","","NODE DESTROYED","节点已摧毁","NOEUD DÉTRUIT","KNOTEN ZERSTÖRT","","","УЗЕЛ ПОРЧИ УНИЧТОЖЕН","",""
"KEY_MISSION_HAVEN_INFESTED_DEFEAT_DESCRIPTION","Text","","Infestation remains.","感染依然存在。","L'infestation demeure.","Der Befall besteht weiterhin.","","","Заражение сохраняется","",""
"KEY_GEOSCAPE_HAVEN_INFESTED","Text","","A haven in the Mist, has succumbed to Pandoran infestation!","迷雾中的避难所已被潘多拉感染！","Un refuge dans la brume, a succombé à l'infestation pandorienne !","Eine Zuflucht im Nebel ist der pandoranischen Befall zum Opfer gefallen!","","","Убежище в Тумане стало жертвой Пандоранского нашествия!","",""
"KEY_MISSION_HAVEN_INFESTED_NAME","Text","","INFESTED HAVEN","被感染的避难所","REFUGE INFESTE","BEFALLENE ZUFLUCHT","","","ЗАРАЖЕННОЕ УБЕЖИЩЕ","",""
"KEY_MISSION_HAVEN_INFESTED_DESCRIPTION","Text","","Cleanse the infestation","清除感染","Nettoyer l'infestation","Beseitigen Sie den Befall.","","","Очистите место заражения","",""
"DLC2 Necronomicon/KEY_EXCAVATE_POPUP_BUTTON","Text","","EXPLORE","探索","EXPLORER","ERKUNDEN","","","ИССЛЕДОВАТЬ","",""
