Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_GEO_HINT_CUSTOMIZE_DESC,Text,,"Maybe it's time to introduce all these purple numbers and pibs!

Example: Margareta has 12 Willpower and 5 Delirium. Because she has 36 Stamina, and each 10 points in Stamina reduce effects of Delirium by 1, effect of Delirium on Margareta's Willpower is reduced by 3. Therefore she has 12-(5-3)=10 Willpower available.

1) This is character's actual Willpower. Number in <color=#A020F0>() in purple</color> means Willpower is being reduced by Delirium.
2) This shows the Delirium character has over the total Delirium character can have, depending on progress of Oneiric Delirium. At first, character may not have Delirium in excess of 4. By midgame this is increased to 8, and by late game to 12. <b>Pay attention to Oneiric Delirium events to learn when the cap is changed</b>.
3) Stamina is reducing effects of Delirium on Willpower: each <color=#A020F0><b> -</b></color> signifies that effect is reduced by 1. ",,"Peut-être qu'il est temps d'expliquer tous ces chiffres violets et les tirets !

Exemple : Margareta a 12 Points de Volonté et 5 Points de Delirium. Comme elle a 36 points d'Endurance, et que chaque 10 points d'Endurance, les effets du Delirium sont réduit de 1, l'effet du Delirium sur la Volonté de Margareta est réduit de 3. Elle a donc 12-(5-3)=10 Volontés disponibles.

1) C'est la volonté réelle du personnage. Le chiffre <color=#A020F0>(en violet)</color> signifie que la Volonté est réduite par le Delirium.
2) Cela montre que le Delirium du personnage est supérieur au Delirium total qu'il peut avoir, en fonction de la progression du Delirium. Au début, le personnage ne peut pas avoir un Delirium supérieur à un tiers de sa Volonté. En milieu de partie, cette limite passe à la moitié, et en fin de partie, il n'y a plus de limite. <b>Faites attention aux événements lié au Delirium pour savoir quand le plafond est modifié.</b>
3) L'endurance réduit les effets du Delirium sur la Volonté : chaque <color=#A020F0><b> -</b></color> signifie que cet effet est réduit de 1.","Zeit, die violetten Zahlen und Symbole zu entwirren.

Beispiel: Margareta besitzt 12 Willenskraft und 5 Delirium. Da sie über 36 Ausdauer verfügt und jeweils 10 Punkte Ausdauer die Auswirkungen des Deliriums um 1 reduzieren, wird der Effekt des Deliriums auf ihre Willenskraft um 3 gesenkt. Somit stehen ihr 12 – (5 – 3) = 10 Willenskraft zur Verfügung.

1. Dies ist die <b>tatsächliche Willenskraft</b> der Einheit. Die <color=#A020F0>violette Zahl in Klammern ()</color> zeigt an, dass die Willenskraft durch Delirium reduziert wird. In diesem Menü kannst du auch Fähigkeitspunkte (FP) ausgeben, um die Werte deiner Einheit zu verbessern.

2. Dieser Wert zeigt das <b>aktuelle Delirium</b> der Einheit im Verhältnis zum maximal möglichen Delirium, das vom Fortschritt des Oneirischen Deliriums abhängt. Anfangs kann eine Einheit höchstens ein Drittel ihrer Willenskraft als Delirium ansammeln. Im mittleren Spielverlauf steigt diese Grenze auf die Hälfte, und im späten Spiel existiert keine Begrenzung mehr. <b>Achte auf Ereignisse des Oneirischen Deliriums, um zu erfahren, wann sich diese Grenze ändert.</b>

3. <b>Ausdauer</b> mildert die Auswirkungen von Delirium auf die Willenskraft: Jedes <color=#A020F0><b> -</b></color> reduziert diesen Abzug um 1 Punkt.",,"Może czas wyjaśnić te wszystkie fioletowe liczby i pipy!

Przykład: Margareta ma 12 Siły Woli i 5 Delirium. Ponieważ ma 36 Wytrzymałości, a każde 10 punktów Wytrzymałości zmniejsza wpływ Delirium o 1, efekt Delirium na Siłę Woli Margarety jest zmniejszony o 3. Dlatego ma dostępne 12-(5-3)=10 punktów Siły Woli.

1) To jest rzeczywista Siła Woli postaci. Liczba w <color=#A020F0>() na fioletowo</color> oznacza, że Siła Woli jest zmniejszana przez Delirium.
2) To pokazuje, ile Delirium ma postać względem maksymalnej ilości, jaką może posiadać, zależnie od postępu Onirycznego Delirium. Na początku gry postać nie może mieć Delirium przekraczającego jedną trzecią jej Siły Woli. W środkowej fazie gry limit rośnie do połowy, a pod koniec gry limit znika. <b>Zwracaj uwagę na wydarzenia Onirycznego Delirium, aby wiedzieć, kiedy limit się zmienia</b>.
3) Wytrzymałość zmniejsza wpływ Delirium na Siłę Woli: każde <color=#A020F0><b>-</b></color> oznacza, że efekt jest zmniejszony o 1.","Итак, пришло время разобраться со всеми этими фиолетовыми цифрами и черточками!

Пример: у Маргарет 12 единиц Силы Воли и 5 единиц Сонного Безумия. Поскольку у Маргарет 36 единиц Выносливости, а каждые 10 единиц выносливости уменьшают эффект Сонного Безумия на 1, его влияние на Силу Воли Маргарет уменьшается на 3 (36 делим на 10 и округляем до целого числа вниз). Следовательно, у нее остается 12-5+3=10 единиц Силы Воли (то есть стартовые Очки Воли в миссиях). Посмотрим на цифры на этом скрине:

1 - это базовая Сила Воли персонажа, потенциальный максимум при прокачке персонажа и число в скобках<color=#A020F0> фиолетовым </color>цветом - текущая Сила Воли, сниженная из-за Сонного Безумия.
2 - текущий уровень Сонного Безумия у персонажа и его максимум (ИСБ - Индекс Сонного Безумия), который определяется в зависимости от прогрессирования Сонного Безумия. В начале игры максимальный уровень Сонного Безумия у персонажа может быть не более трети его Силы Воли. К середине игры это значение увеличивается до половины Силы Воли, а к концу игры ограничения пропадают. <b>Обращайте внимание на события Сонного Безумия, чтобы не пропускать изменение максимума</b>.
3 - выносливость текущая и выносливость максимальная. Выносливость снижает влияние Сонного Безумия на Силу Воли: каждый фиолетовый знак <color=#A020F0><b>-</b></color> означает, что эффект уменьшается на 1.","Puede que sea momento de explicarte que son estos números morados.

Ejemplo: Margareta tiene 12 de Fuerza de Voluntad y 5 Delirio. Porque ella tiene 36 de Aguante, y cada 10 puntos de Aguante reduce en 1 el efecto del Delirio, por lo que se reduce en 3. Como resultado ella tiene 12-(5-3)=12-2=10 Fuerza de Voluntad restante.

1) La Fuerza de Voluntad del personaje. Número en <color=#A020F0>() morado</color> significa que es reducido por el Delirio.
2) Esto muestra el Delirio que tiene el personaje en contraste con el máximo que puede tener, dependiendo del progreso del Delirio Onírico. Primero, el Delirio no superará un tercio de la Fuerza de Voluntad. A mediados de la partida sube hasta la mitad, y en la recta final no hay límite. <b>Presta atención a los eventos de Delirio Onírico para saber cuando cambia el límite</b>.
3) El Aguante mitiga los efectos del Delirio: cada <color=#A020F0><b> -</b></color> significa que el efecto se reduce en 1.",
KEY_GEO_HINT_CUSTOMIZE_TITLE,Text,,DELIRIUM,,DELIRIUM,DELIRIUM,,DELIRIUM,СОННОЕ БЕЗУМИЕ,DELIRIO,
KEY_GEO_HINT_PANDORAN_BASE_DIPLOMACY_EFFECTS_DESCRIPTION,Text,,"In TFTV, Factions will <b>not</b> react negatively to revealed Pandoran Colonies if you fail to destroy them. However, you will suffer a small penalty with the leaders of the nearby havens.

Each Pandoran colony contributes to Pandoran evolution: the more active Pandoran colonies there are, the faster the enemy will field more advanced units and the faster the Oneiric Delirium will grow. 

In addition, destroying a more advanced Pandoran colony (a Lair or a Citadel) removes the earliest <b>Void Omen</b> currently in play. (On Rookie difficulty, destroying Nests also removes Void Omens). 
",,"Dans TFTV, les factions ne réagiront <b>pas négativement</b> aux colonies pandoriennes révélées si vous ne parvenez pas à les détruire. Cependant, vous subirez une petite pénalité auprès des dirigeants des refuges proches.

Chaque colonie pandorienne contribue à l'évolution des Pandoriens : plus il y a de colonies pandoriennes actives, plus vite l'ennemi déploie des unités plus avancées et plus vite le Delirium se développe.

En outre, la destruction d'une colonie pandorienne avancée (une tanière ou une citadelle) supprime la plus ancienne « Influence du Néant » actuellement en jeu. (En difficulté « Bleu », la destruction des Nids pandoriens supprime également les Influences du Néant).
","In TFTV reagieren Fraktionen <b>nicht</b> negativ darauf, wenn entdeckte pandoranische Kolonien nicht zerstört werden. Allerdings erleidest du eine geringe diplomatische Einbuße bei den Anführern nahegelegener Zufluchten.

Jede pandoranische Kolonie trägt zur Evolution der Pandoraner bei: Je mehr aktive Kolonien existieren, desto schneller setzt der Feind fortgeschrittene Einheiten ein – und desto rascher schreitet das <color=#a020f0>Oneirische Delirium</color> voran.

Die Zerstörung eines Baus oder einer Zitadelle entfernt das früheste aktive <b>Omen der Leere</b>. Auf dem Schwierigkeitsgrad Grünschnabel gilt dies auch für Nester.

<color=#f7bc20>EVOLUTIONSSTUFEN DER PANDORANER-KOLONIEN</color>
 • <color=#ffffff>Nest (Stufe 1)</color>: Die kleinste Form. Beherbergt meist einfache Einheiten. Die Zerstörung verlangsamt die Evolution, entfernt Omen aber nur im Schwierigkeitsgrad „Grünschnabel“.
 • <color=#ffffff>Bau (Stufe 2)</color>: Kolonie mit gefährlicheren Wächtern. Zerstörung entfernt das älteste aktive Omen der Leere.
 • <color=#ffffff>Zitadelle (Stufe 3)</color>: Das Machtzentrum der Pandoraner in einer Region. Extrem gut verteidigt, immer von einer Scylla. Ihre Vernichtung ist der effektivste Weg, die Evolution zu bremsen und Omen zu beseitigen.",,"W TFTV frakcje <b>nie</b> reagują negatywnie na ujawnione kolonie Pandora, jeśli nie uda ci się ich zniszczyć. Otrzymasz jednak niewielką karę u przywódców pobliskich przystani.

Każda kolonia Pandora przyczynia się do ewolucji Pandoran: im więcej aktywnych kolonii istnieje, tym szybciej wróg wystawia bardziej zaawansowane jednostki i tym szybciej narasta Oniryczne Delirium.

Dodatkowo zniszczenie bardziej zaawansowanej kolonii Pandora (Legowiska lub Cytadeli) usuwa najstarszy <b>Znak Pustki</b> aktualnie obecny w grze. (Na poziomie Rekrut zniszczenie Gniazda również usuwa Znaki Pustki).","В TFTV фракции не будут вас штрафовать из-за обнаруженных колоний Пандоранов, если вам не удастся их уничтожить. Однако лидеры близлежащих убежищ все же будут слегка недовольны.

Каждая колония Пандоранов вносит свой вклад в эволюцию Пандоранов: чем активнее колонии Пандоранов, тем быстрее враг выставит более продвинутых юнитов и тем быстрее будет расти уровень Сонного Безумия.

Кроме того, уничтожение более продвинутой колонии Пандоранов (Логова, Цитадели, а на уровне сложности Новичок - Гнезда) деактивирует самое раннее из действующих в этот момент Знамений Пустоты.
","En TFTV, las Facciones <b>no</b> reaccionarán negativamente a las Colonias Pandoras descubiertas si no las has conseguido destruir. Sin embargo, sufrirás una mínima penalización con los líderesde los refugios cercanos.

Cada colonia Pandora contribuye a la evolución Pandora: cuanto más tiempo estén activas, verás a unidades más avanzadas más a menudo y el Delirio Onírico crecerá con mayor rapidez.

Además, destruyendo las colonias Pandoras avanzadas (un Nido o Ciudadela) elimina al <b>Augurio del Vacío</b> más antiguo activo en ese momento. (En dificultad Novato, destruir Nidos también elimina a los Augurios del Vacío). 
",
KEY_GEO_HINT_PANDORAN_BASE_DIPLOMACY_EFFECTS_TITLE,Text,,"PANDORAN COLONIES: DIPLOMACY, EVOLUTION AND VOID OMENS",,"COLONIES PANDORIENNES : DIPLOMATIE, ÉVOLUTION ET INFLUENCES DU NÉANT","PANDORANISCHE KOLONIEN: DIPLOMATIE, EVOLUTION UND OMEN DER LEERE",,"KOLONIE PANDORA: DYPLOMACJA, EWOLUCJA I ZNAKI PUSTKI","КОЛОНИИ ПАНДОРАНОВ: ДИПЛОМАТИЯ, ЭВОЛЮЦИЯ И ЗНАМЕНИЯ ПУСТОТЫ","COLONIAS PANDORA: DIPLOMACIA, EVOLUCIÓN Y AUGURIOS DEL VACÍO",
KEY_GEO_HINT_MORE_AIRCRAFT_DESC,Text,,"In TFTV, all aircraft, except Anu Blimp, seat 4 less passengers than in Vanilla. To increase the space for units by 4, you need to equip your craft with one of the passenger modules. The starting Manticore comes with the FAR passenger module, which also (very slowly) recuperates the Stamina of all those on board. To manufacture additional FAR modules, you need to research the corresponding technology, which is unlocked after you research Phoenix Archives. There are two additional passenger modules that you may unlock in the course of the game.

Passenger modules cost half the resources and take half as much time to manufacture as a Manticore in Vanilla. The cost of all craft in the game has been, in turn, reduced by this amount. Therefore, a Manticore now costs only half the amount of resources and takes twice as fast to be manufactured.

The aircraft have a modular design, and you will want to use some of them for interception (and trading), and others for exploration (because of the risk of ambushes) and transporting operatives to tactical missions.",,"Dans TFTV, tous les appareils, à l'exception du dirigeable Anu, peuvent accueillir 4 passagers de moins que dans Vanilla. Pour augmenter l'espace pour les unités de 4, vous devez équiper votre vaisseau avec l'un des modules passagers. La Manticore de départ est équipée du module de passager FAR. les unités récupèrent (très lentement) de l'endurance lorsque ils sont à bord. Pour fabriquer des modules FAR supplémentaires, vous devez rechercher la technologie correspondante, qui est débloquée après avoir fait des recherches sur les archives du projet Phoenix. Il existe deux modules passagers supplémentaires que vous pouvez débloquer au cours du jeu.

Les modules passagers coûtent deux fois moins de ressources et prennent deux fois moins de temps à fabriquer qu'une Manticore dans Vanilla. Le coût de tous les vaisseaux du jeu a été réduit de ce montant. Par conséquent, une Manticore ne coûte que la moitié des ressources et prend deux fois moins de temps pour être fabriquée.

Les appareils sont de conception modulaire, et vous voudrez utiliser certains d'entre eux pour l'interception (et le commerce), et d'autres pour l'exploration (en raison du risque d'embuscades) et le transport de troupe vers les missions tactiques.","In TFTV verfügen alle Fluggeräte – mit Ausnahme des Anu-Luftschiffs – über <b>vier Truppplätze weniger</b> als im Basisspiel. Um die Kapazität um vier Einheiten zu erhöhen, muss ein Fluggerät mit einem Truppmodul ausgerüstet werden. Der Start-Manticore ist bereits mit dem FAR-Truppmodul ausgestattet, das zusätzlich (sehr langsam) die Ausdauer aller transportierten Einheiten regeneriert. Um weitere FAR-Module herzustellen, muss die entsprechende Technologie erforscht werden, die nach dem Studium der Phoenix-Archive freigeschaltet wird. Im weiteren Spielverlauf können zwei zusätzliche Truppmodule freigeschaltet werden.

Truppmodule kosten nur die Hälfte der Ressourcen und benötigen lediglich die halbe Herstellungszeit eines Manticore im Basisspiel. Die Kosten aller Fluggeräte wurden entsprechend angepasst: Ein Manticore erfordert nun nur noch die Hälfte der Ressourcen und wird in der halben Zeit gefertigt.

Fluggeräte sind modular aufgebaut. Es empfiehlt sich, einige für Abfangeinsätze (und Handel) auszurüsten und andere für Erkundungen – insbesondere wegen der Gefahr von Hinterhalten – sowie für den Transport von Einheiten zu taktischen Missionen einzusetzen.",,"W TFTV wszystkie statki powietrzne, poza sterowcem Anu, mają o 4 miejsca pasażerskie mniej niż w wersji Vanilla. Aby zwiększyć liczbę miejsc o 4, musisz wyposażyć statek w jeden z modułów pasażerskich. Początkowa Manticore ma moduł pasażerski FAR, który dodatkowo (bardzo powoli) regeneruje Wytrzymałość wszystkich osób na pokładzie. Aby produkować dodatkowe moduły FAR, musisz zbadać odpowiednią technologię, odblokowywaną po zbadaniu Archiwów Phoenix. W trakcie gry możesz odblokować jeszcze dwa dodatkowe moduły pasażerskie.

Moduły pasażerskie kosztują połowę zasobów i wymagają połowy czasu produkcji Mantikory z Vanilla. Koszt wszystkich statków w grze został z kolei obniżony o tę wartość. Dlatego Manticore kosztuje teraz tylko połowę zasobów i produkuje się dwa razy szybciej.

Statki mają modułową konstrukcję i będziesz chciał wykorzystywać część z nich do przechwytywania (oraz handlu), a inne do eksploracji (ze względu na ryzyko zasadzek) oraz transportu operatorów na misje taktyczne.","В TFTV все самолеты, за исключением дирижабля Ану, вмещают на 4 пассажира меньше, чем в ванильной игре. Чтобы увеличить пассажировместимость самолетов на 4 дополнительных места, вам необходимо оборудовать свой самолет одним из пассажирских модулей. Стартовая Мантикора поставляется с модулем РШМ, который также (очень медленно) восстанавливает выносливость всех, кто находится на борту. Чтобы производить такие модули, вам необходимо изучить соответствующую технологию, которая будет доступна после изучения архивов Феникса. Есть два дополнительных пассажирских модуля, которые вы можете разблокировать в ходе игры.

Пассажирские модули стоят вдвое меньше ресурсов и требуют вдвое меньше времени на изготовление, как и Мантикора, по сравнению с ванильной игрой. Стоимость всех самолетов в игре, в свою очередь, была снижена аналогично. Таким образом, Мантикора теперь стоит вдвое меньше ресурсов и изготавливается в два раза быстрее.

Самолеты имеют модульную конструкцию, некоторые из них хороши для перехвата (и торговли), а другие - для исследования локаций (из-за риска попадания в засады) и транспортировки бойцов на тактические миссии.","En TFTV, todas las aeronaves, excepto el Anu Blimp, tiene 4 espacios de pasajeros menos que en Vanilla. Para aumentar el espacio en 4 unidades, necesitas equipar la nave con uno de los módulos de pasajeros. La Mantícora inicial tiene el módulo de pasajeros FAR, el cual también (poco a poco) regenera el Aguante de todos abordo. Para fabricar más módulos FAR, debes investigar la tecnología correspondiente, que se desbloquea tras investigar los Archivos Phoenix. Hay dos módulos de pasajeros más que puedes desbloquear durante el transcurso del juego.

Los módulos de pasajeros cuestan la mitad de recursos y tiempo que construir una Mantícora en Vanilla. El coste de todas las aeronaves del juego ha sido, reducido esa cantidad. Por eso, un Mantícora ahora cuesta solo la mitad de recursos y tarda el doble en construirse.

La aeronave tiene un diseño modular, y querrás usar parte de él para comunicaciones (y comercio), y otros para exploración (por el riesgo de emboscadas) y transportar operativos a las misiones tácticas.",
KEY_GEO_HINT_MORE_AIRCRAFT_TITLE,Text,,AIRCRAFT AND PASSENGER MODULES,,APPAREILS ET MODULES PASSAGERS,FLUGGERÄTE- UND TRUPPMODULE,,STATKI POWIETRZNE I MODUŁY PASAŻERSKIE,САМОЛЕТЫ И ПАССАЖИРСКИЕ МОДУЛИ,AERONAVES Y MÓDULOS DE PASAJEROS,
KEY_DLC3_TUT_SUPPLY_DESCRIPTION,Text,,"A Pandoran flyer has separated itself from the Festering Skies. It may come upon a haven and attack it. If the haven is not yet revealed, it will send an SOS disclosing its postion. 

Should the stray Pandoran flyer return to the swarm, the haven will be targeted by the Behemoth. Once a haven is targeted for attack, nothing can be done to prevent it: once the Behemoth reaches the haven, it will damage all its facilities and harvest about half of its population. 

Destroy Pandoran flyers to protect the havens, to colllect rewards from factions and to force the Behemoth to submerge.",,"Un chasseur pandorien s'est séparé de l'essaim. Il peut tomber sur un refuge et l'attaquer. Si le refuge n'a pas encore été révélé, il enverra un SOS indiquant sa position.

Si l'appareil pandorien errant retourne dans l'essaim, le refuge sera pris pour cible par le Béhémoth. Une fois qu'un refuge est visé par une attaque, rien ne peut être fait pour l'empêcher : une fois que le Béhémoth aura atteint le refuge, il endommagera toutes ses installations et récoltera environ la moitié de sa population.

Détruisez les pandoriens volants pour protéger les refuges, pour collecter les récompenses des factions et pour forcer le Béhémoth à s'immerger.","Ein pandoranisches Flugwesen hat sich von den Fauligen Himmeln gelöst. Es kann auf eine Zuflucht stoßen und sie angreifen. Ist die Zuflucht noch nicht entdeckt, sendet sie ein Notsignal aus, das ihre Position preisgibt.

Kehrt das umherirrende pandoranische Flugwesen zum Schwarm zurück, wird die Zuflucht vom Behemoth ins Visier genommen. Sobald eine Zuflucht als Angriffsziel markiert ist, kann nichts mehr unternommen werden, um dies zu verhindern: Erreicht der Behemoth die Zuflucht, beschädigt er alle Einrichtungen und erntet etwa die Hälfte der Bevölkerung.

<b>Zerstöre pandoranische Flugwesen, um Zufluchten zu schützen, Belohnungen von den Fraktionen zu erhalten und den Behemoth zum Abtauchen zu zwingen.</b>",,"Pandorański lotnik odłączył się od Festering Skies. Może natknąć się na przystań i ją zaatakować. Jeśli przystań nie została jeszcze odkryta, wyśle sygnał SOS, ujawniający jej pozycję.

Jeśli zbłąkany lotnik Pandora wróci do roju, przystań zostanie namierzona przez Behemota. Gdy przystań zostanie wyznaczona jako cel ataku, nie da się już temu zapobiec: kiedy Behemot do niej dotrze, uszkodzi wszystkie jej obiekty i zbierze około połowy populacji.

Niszcz lotników Pandora, aby chronić przystanie, zdobywać nagrody od frakcji i zmuszać Behemota do zanurzenia.","Пандоранский летун отделился от ""Гнойного Неба"". Он может наткнуться на убежище и атаковать его. Если убежище еще не обнаружено, оно отправит сигнал SOS со своими координатами.

Если заблудившийся летун Пандоранов вернется обратно в рой, к убежищу направится Бегемот. Предотвратить его нападение невозможно: как только Бегемот доберется до убежища, он повредит все его объекты и уничтожит около половины его населения.

Уничтожайте летунов Пандоранов, чтобы защищать убежища, получать награды от фракций и заставить Бегемота уйти под воду пораньше.","Un Pandora volante se a separado del Festering Skies. Podría ir a un refugio y atacarlo. Si el refugio no ha sido descubierto, enviará una señal SOS revelando su posición. 

Si el Pandora volante vuelve al enjambre, el refugio podrá ser atacado por el Behemoth. Cuando el refugio sea avistado por el Behemoth, no se podrá prevenir el ataque: cuando el Behemoth alcance el refugio, dañará todas sus instalaciones y consumirá casi la mitad de su población.

Destruye a los Pandoran volantes para proteger los refugios, conseguir recompensas de las facciones y forzar al Behemoth a sumergirse.",
KEY_DLC3_TUT_SUPPLY_NAME,Text,,PANDORAN FLYER,,PANDORIEN VOLANT,PANDORANISCHES FLUGWESEN,,PANDORAŃSKI LOTNIK,ПАНДОРАНСКИЙ ЛЕТУН,PANDORA VOLANTE,
KEY_DLC3_TUT_BOMBARDMENT_DESCRIPTION,Text,,"A Pandoran flyer has separated itself from the Festering Skies. It may come upon a haven and attack it. If the haven is not yet revealed, it will send an SOS disclosing its postion. 

Should the stray Pandoran flyer return to the swarm, the haven will be targeted by the Behemoth. Once a haven is targeted for attack, nothing can be done to prevent it: once the Behemoth reaches the haven, it will damage all its facilities and harvest about half of its population. 

Destroy Pandoran flyers to protect the havens, to colllect rewards from factions and to force the Behemoth to submerge.",,"Un chasseur pandorien s'est séparé de l'essaim. Il peut tomber sur un refuge et l'attaquer. Si le refuge n'a pas encore été révélé, il enverra un SOS indiquant sa position.

Si l'appareil pandorien errant retourne dans l'essaim, le refuge sera pris pour cible par le Béhémoth. Une fois qu'un refuge est visé par une attaque, rien ne peut être fait pour l'empêcher : une fois que le Béhémoth aura atteint le refuge, il endommagera toutes ses installations et récoltera environ la moitié de sa population.

Détruisez les pandoriens volants pour protéger les refuges, pour collecter les récompenses des factions et pour forcer le Béhémoth à s'immerger.","Ein pandoranisches Flugwesen hat sich von den Fauligen Himmeln gelöst. Es kann auf eine Zuflucht stoßen und sie angreifen. Ist die Zuflucht noch nicht entdeckt, sendet sie ein Notsignal aus, das ihre Position preisgibt.

Kehrt das umherirrende pandoranische Flugwesen zum Schwarm zurück, wird die Zuflucht vom Behemoth ins Visier genommen. Sobald eine Zuflucht als Angriffsziel markiert ist, kann nichts mehr unternommen werden, um dies zu verhindern: Erreicht der Behemoth die Zuflucht, beschädigt er alle Einrichtungen und erntet etwa die Hälfte der Bevölkerung.

<b>Zerstöre pandoranische Flugwesen, um Zufluchten zu schützen, Belohnungen von den Fraktionen zu erhalten und den Behemoth zum Abtauchen zu zwingen.</b>",,"Pandorański lotnik odłączył się od Festering Skies. Może natknąć się na przystań i ją zaatakować. Jeśli przystań nie została jeszcze odkryta, wyśle sygnał SOS, ujawniający jej pozycję.

Jeśli zbłąkany lotnik Pandora wróci do roju, przystań zostanie namierzona przez Behemota. Gdy przystań zostanie wyznaczona jako cel ataku, nie da się już temu zapobiec: kiedy Behemot do niej dotrze, uszkodzi wszystkie jej obiekty i zbierze około połowy populacji.

Niszcz lotników Pandora, aby chronić przystanie, zdobywać nagrody od frakcji i zmuszać Behemota do zanurzenia.","Пандоранский летун отделился от ""Гнойного Неба"". Он может наткнуться на убежище и атаковать его. Если убежище еще не обнаружено, оно отправит сигнал SOS со своими координатами.

Если заблудившийся летун Пандоранов вернется обратно в рой, к убежищу направится Бегемот. Предотвратить его нападение невозможно: как только Бегемот доберется до убежища, он повредит все его объекты и уничтожит около половины его населения.

Уничтожайте летунов Пандоранов, чтобы защищать убежища, получать награды от фракций и заставить Бегемота уйти под воду пораньше.","Un Pandora volante se a separado del Festering Skies. Podría ir a un refugio y atacarlo. Si el refugio no ha sido descubierto, enviará una señal SOS revelando su posición. 

Si el Pandora volante vuelve al enjambre, el refugio podrá ser atacado por el Behemoth. Cuando el refugio sea avistado por el Behemoth, no se podrá prevenir el ataque: cuando el Behemoth alcance el refugio, dañará todas sus instalaciones y consumirá casi la mitad de su población.

Destruye a los Pandoran volantes para proteger los refugios, conseguir recompensas de las facciones y forzar al Behemoth a sumergirse.",
KEY_DLC3_TUT_BOMBARDMENT_NAME,Text,,PANDORAN FLYER,,PANDORIEN VOLANT,PANDORANISCHES FLUGWESEN,,PANDORAŃSKI LOTNIK,ПАНДОРАНСКИЙ ЛЕТУН,PANDORA VOLANTE,
