"Key","Type","Desc","English","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"UMBRA_SIGHTED_TITLE","Text","","Umbra!","幽影！","Ombre !","Umbra!","","","Фиолетовая Тварь!","",""
"UMBRA_SIGHTED_TEXT","Text","","<i>""They say an Umbra doesn't just kill you: it steals your soul""</i>

In TFTV, the Umbra can spawn in place of a dead Arthron or Triton with the <b>Touched by the Void</b> ability, which they have a chance to roll at the start of each complete turn. The chance to roll is the total amount of Delirium of all your operatives on the mission divided by two.

The Umbra can only attack characters with Delirium or characters caught in the Mist, but they can be attacked by all characters.","<i>“他们说幽影不仅仅是杀死你：它还会偷走你的灵魂”</i>

在《来自虚空的恐惧》（TFTV）中，幽影可以替代死去的Arthron或Triton生成，且带有<b>被虚空触碰</b>能力，该能力在每个完整回合开始时有几率触发。触发几率为所有参与任务干员的谵妄值总和除以二。

幽影只能攻击带有谵妄状态的角色或处于迷雾中的角色，但所有角色都可以攻击幽影。","<i>« On dit qu'une Ombre ne fait pas que vous tuer : elle vous vole votre âme. »</i>

Dans TFTV, l’Umbra peut apparaître à la place d’un Arthron ou d’un Triton mort possédant la capacité « <b>Imprégné du Néant</b> », qu’ils ont une chance d’obtenir au début de chaque tour. La probabilité d’obtention correspond au total de Delirium de toutes vos unités engagées dans la mission, divisé par deux.

Les Ombres ne peuvent attaquer que les personnages ayant du Delirium, mais elles peuvent être attaquées par tous les personnages.","<i>„Man sagt, ein Umbra tötet dich nicht nur, er stiehlt dir auch die Seele.“</i>

In TFTV kann ein Umbra anstelle eines toten Arthron oder Triton mit der Fähigkeit <b>„Berührt von der Leere“</b> erscheinen. Diese Fähigkeit kann zu Beginn jeder vollen Runde gewürfelt werden. Die Wahrscheinlichkeit dafür entspricht der Hälfte des gesamten Delirium-Werts aller Einheiten in der Mission.

Ein Umbra kann nur Einheiten mit Delirium oder Einheiten im Nebel angreifen, ist aber für alle Einheiten angreifbar.","","","<i>""Говорят, что Фиолетовая Тварь не просто убивает тебя: она крадет твою душу.""</i>

В TFTV Фиолетовые Твари (Umbra) могут возникать из мертвых Артронов или Тритонов, которые имели способность Благословление Пустоты (Touched by the Void). Эта способность с некоторой вероятность может возникнуть у любого Артрона или Тритона в начале каждого хода. Шанс возникновения равен общему количеству очков Сонного Безумия у всех ваших бойцов в миссии, деленому пополам.

Фиолетовая Тварь может атаковать только бойцов, которые заражены Сонным Безумием, или тех, кто находится в Зоне Тумана. Фиолетовых Тварей может атаковать любой юнит.","",""
"REVENANT_SIGHTED_TITLE","Text","","Revenant","复仇者","Revenant","Revenant","","","Возвращенец","",""
"REVENANT_SIGHTED_TEXT","Text","","<i>""The Pandorans were somehow stealing our dead and splicing them into new monstrosities. We would recognize them in the field because of some small, inconsequential detail - an involuntary spasm, betraying a familiar gesture, a terrifying scream, bearing the echo of a beloved voice.""</i>

We should try capturing it.","<i>“潘多拉体以某种方式偷走了我们的死者，并将他们拼接成新的怪物。我们在战场上能认出它们，是因为一些微小且无关紧要的细节——不由自主的痉挛、暴露出熟悉动作的瞬间、令人恐惧的尖叫，带着心爱之人的回声。”</i>

我们应该尝试捕获它。","<i>« Les Pandoriens volaient en quelque sorte nos morts et les épissaient dans de nouvelles monstruosités. Nous les reconnaissions sur le terrain grâce à un petit détail sans importance - un spasme involontaire, trahissant un geste familier, un cri terrifiant, portant l'écho d'une voix aimée. »</i>

Nous devrions essayer de les capturer","<i>„Die Pandoraner stahlen auf unerklärliche Weise unsere Toten und fügten sie zu neuen Ungeheuern zusammen. Wir erkannten sie auf dem Schlachtfeld an kleinen, unbedeutenden Details – einem unwillkürlichen Zucken, einer vertrauten Geste, einem markerschütternden Schrei, der an die Stimme eines geliebten Menschen erinnerte.“</i>

Wir sollten versuchen, sie einzufangen.","","","<i>""Пандораны каким-то образом похитили наших погибших товарищей и превратили их в новых чудовищ. Мы узнаем их в боях по какой-нибудь маленькой, незначительной детали - непроизвольному спазму, выдающему знакомый жест, или ужасающему воплю, в котором слышится эхо знакомого голоса.""</i>

Мы должны попытаться взять это существо живьем!","",""
"VOID_TOUCHED_TITLE","Text","","Touched by the Void","被虚空触碰","Imprégné du Néant","Berührt von der Leere","","","Благословленный Пустотой","",""
"VOID_TOUCHED_TEXT","Text","","<i>""A purple fume emanated from its body, marking it as the bearer of a Terrible Purpose.”</i>

This Pandoran is special. After it is attacked, it is very likely to gain a special ability (however, there is a small chance that it will be passed by the Void and lose its Touch, gaining nothing). At first, the only ability it may gain is to spawn an Umbra version of itself on death. However, as the Oneiric Delirium advances, Touched by the Void Pandorans will gain other effects when attacked for the first time.","<i>“一股紫色烟雾从它的身体中散发出来，标志着它是可怕使命的承载者。”</i>

这个潘多拉体很特殊。被攻击后，它很可能获得一个特殊能力（不过也有小概率被虚空忽视，失去触碰状态，什么也没得到）。起初，它唯一可能获得的能力是在死亡时生成一个幽影版本的自己。但随着梦魇谵妄的推进，被虚空触碰的潘多拉体在首次被攻击时会获得其他效果。","<i>« Une fumée pourpre émanait de son corps, le désignant comme le porteur d'un sombre dessein. »</i>

Ce Pandorien est spécial. Après avoir été attaqué, il est très probable qu'il gagne une capacité spéciale (toutefois, il existe une faible chance que le Néant l'ignore et qu'il perde son lien, ne gagnant ainsi rien). Au départ, la seule capacité qu'il peut obtenir est de générer une version Umbra de lui-même à sa mort. Cependant, à mesure que le Delirium progresse, les Pandoriens « Imprégné du Néant » gagneront d'autres effets lorsqu'ils seront attaqués pour la première fois.","<i>„Violetter Rauch strömte aus seinem Körper und kennzeichnete ihn als Träger von etwas Schrecklichem.“</i>

Dieser Pandoraner ist etwas Besonderes. Wird er angegriffen, erhält er mit hoher Wahrscheinlichkeit eine besondere Fähigkeit (es besteht jedoch eine geringe Chance, dass er von der Leere verlassen wird und seine Berührung verliert, wodurch er nichts erlangt). Anfangs kann dieser besondere Pandoraner lediglich die Fähigkeit erlangen, beim Tod eine Umbra-Version von sich selbst zu erzeugen. Mit fortschreitendem Oneirischen Delirium erhalten von der Leere berührte Pandoraner jedoch weitere Effekte, wenn sie angegriffen werden.","","","<i>""От его тела исходил фиолетовый дым, и я понял, передо мной - Благословленный Пустотой.""</i>

Этот Пандоран особенный. Если его атаковать, скорее всего он получит особую способность (однако, есть небольшой шанс, ""Пустота"" его проигнорирует, и он потеряет свое Благословление Пустоты, ничего не получив взамен). Поначалу единственная способность, которую он может получить - это восстать Фиолетовой Тварью после своей гибели. Однако по мере прогрессирования Сонного Безумия Пандораны, Благословленные Пустотой, будут получать другие способности, будучи атакованными в первый раз.","",""
"TBTV_ON_ATTACK_TITLE_HINT","Text","","Void Touched - Attacker is Marked for Death","被虚空触碰 - 攻击者被死亡标记","Imprégné du Néant – L’attaquant est Désigné pour mourir","Leerenberührt – Angreifer erhält eine Todesmarkierung","","","Благословленный Пустотой - напавший на него помечается в ответ Смертельной Меткой","",""
"TBTV_ON_ATTACK_TEXT_HINT","Text","","<i>”There was the black plume, jetting from the crabbie’s head… I got the bastard, I thought… Next thing I know, they are all coming after me!""</i>

The Pandorans have learned a new trick. From now on, any Touched by the Void Arthron or Triton can either:

- Afflict its attacker with Marked for Death (all hits on the character do 10 extra damage)
- Spawn Umbra on death","<i>“那黑色羽毛从螃蟹头上喷出……我以为我干掉了那个混蛋……接下来我知道的就是，他们全都冲我来了！”</i>

潘多拉体学会了新把戏。从现在起，任何被虚空触碰的Arthron或Triton可以：

- 使攻击者受到死亡标记（对该角色的所有命中额外造成10点伤害）
- 死亡时生成幽影","<i>« Il y a eu ce panache noir jaillissant de la tête du crabe... Je l’ai eu, ce salaud, me suis-je dit... Et l’instant d’après, ils se jetaient tous sur moi ! »</i>

Les Pandoriens ont appris un nouveau tour. Désormais, tout Arthron ou Triton « Imprégné du Néant » peut, au choix :

- Infliger à son attaquant l’état Désigné pour mourir (toutes les attaques contre ce personnage infligent 10 points de dégâts supplémentaires)
- Faire apparaître une Umbra à sa mort","<i>„Da war die schwarze Rauchwolke, die aus dem Kopf der Krabbe schoss... Ich hab den Kerl erwischt, dachte ich... Im nächsten Moment waren sie alle hinter mir her!“</i>

Die Pandoraner haben einen neuen Trick gelernt. Von nun an kann jeder von der Leere berührte Arthron oder Triton entweder:

 • Seinen Angreifer mit „Todesmarkierung“ belegen (alle Treffer verursachen 10 zusätzlichen Schaden).
 • Beim Tod einen Umbra beschwören.","","","<i>""Голова Крабби разлетелась на кусочки... Готов, подумал я. Следующее, однако, что я помню - они все опять идут на меня!""</i>

Пандораны научились новому трюку. Отныне любой Благословленный Пустотой Артрон или Тритон, может либо:

- пометить атаковавшего его бойца Смертельной Меткой (все атаки по отмеченному Меткой наносят 10 дополнительных единиц урона);
- породить Фиолетовую Тварь в момент своей гибели.","",""
"TBTV_ON_TURN_END_TITLE_HINT","Text","","Void Touched - Calls reinforcements at turn's end","被虚空触碰 - 回合结束时呼叫增援","Imprégné du Néant – Appelle des renforts à la fin du tour","Berührt von der Leere – Ruft am Ende des Zuges Verstärkung.","","","Благословленный Пустотой - вызывается подкрепление в конце хода","",""
"TBTV_ON_TURN_END_TEXT_HINT","Text","","<i>""Pandorans, they always have 'friends' nearby.""</i>

This Pandoran will call reinforcements if it <b>survives (in whatever shape)</b> until the end of your turn. From now on, any Touched by the Void Arthron or Triton can do one of the following:

- Call reinforcements at the end of player’s turn
- Afflict its attacker with Marked for Death (all hits on the character do 10 extra damage)
- Spawn Umbra on death","<i>“潘多拉体，总是有‘朋友’在附近。”</i>

如果该潘多拉体<b>存活（无论形态如何）</b>直到你的回合结束，它将呼叫增援。从现在起，任何被虚空触碰的Arthron或Triton可以执行以下之一：

- 在玩家回合结束时呼叫增援
- 使攻击者受到死亡标记（对该角色的所有命中额外造成10点伤害）
- 死亡时生成幽影","<i>« Les Pandoriens... ils ont toujours des “amis” dans le coin. »</i>

Ce Pandorien appellera des renforts s’il <b>survit (quelle que soit sa forme)</b> jusqu’à la fin de votre tour. Désormais, tout Arthron ou Triton « Imprégné du Néant » peut effectuer l’une des actions suivantes :

- Appeler des renforts à la fin du tour du joueur
- Infliger à son attaquant l’état Désigné pour mourir (toutes les attaques contre ce personnage infligent 10 points de dégâts supplémentaires)
- Faire apparaître une Umbra à sa mort","<i>„Pandoraner haben immer „Freunde“ in der Nähe.“</i>

Dieser Pandoraner ruft Verstärkung, wenn er (<b>in welcher Gestalt auch immer</b>) bis zum Ende deines Zuges <b>überlebt</b>. Ab sofort kann jeder von der Leere berührte Arthron oder Triton Folgendes tun:

 • Am Ende deines Zuges Verstärkung rufen.
 • Angreifer mit „Todesmarkierung“ belegen (alle Treffer auf den Charakter verursachen 10 zusätzlichen Schaden).
 • Beim Tod einen Umbra beschwören.","","","<i>""У Пандоранов всегда есть ""друзья"" где-то рядом.""</i>

Этот Пандоран вызовет подкрепление, если останется жив (в любом виде) в конце вашего хода.  Отныне любой Благословленный Пустотой Артрон или Тритон, может либо:

- вызвать подкрепление в конце хода игрока;
- пометить атаковавшего его бойца Смертельной Меткой (все атаки по отмеченному Меткой наносят 10 дополнительных единиц урона);
- породить Фиолетовую Тварь в момент своей гибели.","",""
