Key,Type,Desc,English
TFTV_INCIDENT_30_TITLE_SY,Text,,The Hollow Ones
TFTV_INCIDENT_30_DESC,Text,,"A scavenger named Childs Brimley, currently in custody, claims his team was infected—*mimicked*, he says—by a Pandoran organism. According to his report, the creature didn’t just copy their physiology but also their behavior and memories. One by one, his team turned… until he was the last. Synedrion researchers are at loss, and rumors are spreading throughout the [HavenName]."
TFTV_INCIDENT_30_CHOICE_0_B,Text,,Conduct an interview with Brimley. (Biotech)
TFTV_INCIDENT_30_CHOICE_1_E_O,Text,,Investigate the scavenging site. (Exploration/Occult)
TFTV_INCIDENT_30_CHOICE_2,Text,,Leave it to Synedrion. [END]
TFTV_INCIDENT_30_OUTCOME_0_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 80 tech","Brimley gave us detailed accounts—too detailed, perhaps. He insists he saw versions of his crewmates speaking in perfect voices, with perfect memories, but *wrong eyes.* His story is unnervingly consistent. Still, the evidence suggests paranoia and cabin fever."
TFTV_INCIDENT_30_OUTCOME_1_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 80 tech","We recovered logs and audio fragments. The descent into violence was slow, filled with mistrust and contradictions. One recording ends with a voice repeating a teammate’s words before they were spoken. The autopsies showed no major mutations, and the Pandoran involvement is unconfirmed."
TFTV_INCIDENT_30_OUTCOME_0_FAIL,Text,,"The interview broke down quickly. He alternated between fear and laughter, begging us to ‘check behind their eyes.’"
TFTV_INCIDENT_30_OUTCOME_1_FAIL,Text,,"No biological evidence found. Just blood, old gear, and scratched walls. One message had been carved over and over into a bulkhead: ‘It wasn’t her.’"
TFTV_INCIDENT_31_TITLE_SY,Text,"Req: Anu >49, Syn >49",Foundations in Ash
TFTV_INCIDENT_31_DESC,Text,,"Director, we’ve been discreetly approached by Disciples of Anu diplomatic envoy from [HavenName]. There’s a dilapidated house on the outskirts that, according to Anu oral history, was once a sanctuary—where the Exalted briefly hid from the authorities during the First Mist outbreak. Synedrion has restricted access to it, citing unsafe conditions."
TFTV_INCIDENT_31_CHOICE_0_O,Text,,Look for hidden compartments within the structure (Occult)
TFTV_INCIDENT_31_CHOICE_1_C_E,Text,,Look for and retrieve any electronic devices (Compute/Exploration)
TFTV_INCIDENT_31_CHOICE_2,Text,,Decline the request. [END]
TFTV_INCIDENT_31_OUTCOME_0_SUCCESS,Text,"AN to SYN +5
SYN to AN +5
200 food, 40 tech","In a concealed compartment beneath the floorboards, we found a pen drive—miraculously intact. It contains articles from <i>Human Horizon</i>, a sensationalist prewar outlet, and unauthored texts critiquing early 21st-century transhumanist ideologies. There’s no proof this was the Exalted’s hideout—but someone here was deeply skeptical of forced evolution."
TFTV_INCIDENT_31_OUTCOME_1_SUCCESS,Text,"AN to SYN +5
SYN to AN +5
200 food, 40 tech","We recovered a single data device containing cached material—opinion pieces from the early mist years, warnings against radical bio-modification movements, and vague references to academic conferences."
TFTV_INCIDENT_31_OUTCOME_0_FAIL,Text,,"We uncovered old furniture, some unreadable printouts, and a scorched personal journal—mostly illegible. One line stood out: “Can’t stop a tsunami. Drown or evolve.’"
TFTV_INCIDENT_31_OUTCOME_1_FAIL,Text,,"Most of what we found was water-damaged or burned. One corrupted file listed banned journals, including several fringe scientific publications. It seems whoever lived here questioned everything—including Anu doctrine."
,,,
TFTV_INCIDENT_32_TITLE_SY,Text,,The Whole
TFTV_INCIDENT_32_DESC,Text,,"Director, in the center of the local marketplace, there's a small attraction known as The Whole—a blind old woman, seated behind a screen. She's advertised as a living fusion of multiple people. No visible mutations. But she speaks in many voices—different accents, ages, tones—shifting between them mid-conversation. Synedrion officials consider it performance art. Locals aren’t so sure."
TFTV_INCIDENT_32_CHOICE_0_P,Text,,Conduct a psychological assessment (Psycho-Sociology)
TFTV_INCIDENT_32_CHOICE_1_B_C,Text,,Run a discreet bioscan and record samples. (Biotech/Compute)
TFTV_INCIDENT_32_CHOICE_2,Text,,Leave it be. [END]
TFTV_INCIDENT_32_OUTCOME_0_SUCCESS,Text,Reward: additional personnel,"She eventually opened up. She claims to have survived a detention camp during the first mist outbreak. Infected prisoners around her died—some slowly, some violently. She says she didn't inherit their mutations… but their minds. She calls it a burden, not a gift."
TFTV_INCIDENT_32_OUTCOME_1_SUCCESS,Text,Reward: additional personnel,"No mutations detected, but her brain activity was anomalous—multiple neural signatures firing as if in parallel. Possible case of psychic imprint retention. Her voice recorder captured one phrase, repeated in twelve voices: <i>‘We remain.’</i>"
TFTV_INCIDENT_32_OUTCOME_0_FAIL,Text,,"Her speech was fragmented—memories of people she couldn’t have been. One moment a mother, the next a terrified soldier. Trauma, maybe—but she knew things she shouldn't."
TFTV_INCIDENT_32_OUTCOME_1_FAIL,Text,,"Nothing remarkable in her genome, but during the scan, background audio picked up faint layered voices—too synchronized to be coincidence. Her vitals never changed."
,,,
TFTV_INCIDENT_33_TITLE_SY,Text,Req: Haven with Research center,The Man who debated too well
TFTV_INCIDENT_33_DESC,Text,,"Director, we’ve been asked to quietly assist in a missing persons case. Dr. Eryan Vallis, a senior voice within the Polyphonic Tendency, vanished following a spirited—but allegedly civil—debate with Terraformer representatives in the science center. Witnesses say he left fuming, but there’s no record of his departure from the haven. One Terraformer reportedly joked he’d offered Vallis ‘a rare vintage to smooth things over.’ No one’s seen Vallis since."
TFTV_INCIDENT_33_CHOICE_0_P,Text,,Interrogate all the witnesses. (Psycho-Sociology)
TFTV_INCIDENT_33_CHOICE_1_C_E,Text,,Search the science center thorougly. (Compute/Exploration)
TFTV_INCIDENT_33_CHOICE_2,Text,,We don't have time for detective work. [END]
TFTV_INCIDENT_33_OUTCOME_0_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 80 tech","The Terraformers loathed Dr. Vallis. Only one of them - the one who joked about smoothing things over with some wine-, showed any restraint when casting aspersions towards the missing person. Under further questioning, he broke down and confessed to killing him. ""There was no other choice!"""
TFTV_INCIDENT_33_OUTCOME_1_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 80 tech","A decorative wall in the science center’s acoustic wing concealed a narrow corridor. At the far end, we found a bricked-up alcove—polycrete still curing. Inside: Vallis’s body, arms crossed, seated upright. An old wine bottle lay beside him, label faded but partially legible: ‘Resonant Oak – Private Cask.’ A glass stood untouched. Scratched faintly into the wall: ‘He said we’d toast to understanding.’"
TFTV_INCIDENT_33_OUTCOME_0_FAIL,Text,,"A lot of Terraformers naturally disagreed with his views, but no one seems capable of harming him personally, whatever their ideological differences."
TFTV_INCIDENT_33_OUTCOME_1_FAIL,Text,,"We discovered a forgotten chamber beneath the center—acoustic insulation peeling from the walls. The air smelled faintly of alcohol. An overturned glass, an empty bottle, and a trail of smeared footprints ended at a sealed maintenance hatch. No body. A ring of dust marked where someone once sat for a long time."
TFTV_INCIDENT_35_TITLE_SY,Text,,What the Earth Kept
TFTV_INCIDENT_35_DESC,Text,,"Director, a Synedrion expedition returned to [HavenName] from a region where changes in terrain following the Second Mist —subsidence, erosion, and structural collapse—have exposed areas previously inaccessible to survey teams.

Among the findings is something unexpected: the skeletal remains of an unknown creature.

The expedition recovered what appears to be a single limb—possibly a leg, possibly something else entirely."
TFTV_INCIDENT_35_CHOICE_0_B_O,Text,,Analyze the remains (Biotech/Occult)
TFTV_INCIDENT_35_CHOICE_1_C,Text,,Correlate the discovery with Phoenix and Synedrion data archives. (Compute)
TFTV_INCIDENT_35_CHOICE_2,Text,,Let Synedrion handle it. [END]
TFTV_INCIDENT_35_OUTCOME_0_SUCCESS,Text,"Reward: +4 Syn, +8 haven leader, + 500 Research","The limb is fossilized but largely intact. Bone structure is vaguely cephalopodan, but scaled to monstrous proportions—comparable to a Pandoran creature, but at a magnitude 100 times larger. The tissue residue is hundreds of thousands of years old. It may predate humanity… and resemble our future. "
