"Key","Type","Desc","English","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"TFTV_LORE_ALISTAIR_TITLE","Text","","Alistair Ashby","阿利斯泰尔·阿什比","Alistair Ashby","Alistair Ashby","","","Алистер Эшби","",""
"TFTV_LORE_ALISTAIR_DESCRIPTION","Text","","Sometimes Alistair thought that the transformative effect of the Pandoravirus on him could not have been greater had he actually been infected with it.

Alistair went from a youthful college-dropout influencer to a bona fide expert, all by taking the first Mist stories seriously, while the rest of the media still considered them fake news. He grasped the significance of what was happening earlier and better than anyone else. He anticipated the Third World War and its consequences, including the rise of the highly polarized and ideologically charged factions, and the demise of race, wealth, nationality and family prestige as relevant sociological factors.

“We are mistaken about the coming Apocalypse. It’s not about extinction or survival. It’s about our place in the new food chain.”

The Pandoravirus also brought Alistair into contact with the child prodigy Olena Kim. They ran into each other more than two decades ago and have been inseparable ever since, to the extent that Alistair now considers himself her oppa (older brother).

The connection - if any - between Alistair and Phoenix Project remains a mystery, but it seems like he knew Randolph Symes III personally.","有时阿利斯泰尔觉得潘多拉病毒对他的变革效果，甚至不亚于他真的被感染了。

阿利斯泰尔从一个年轻的大学辍学生网红，成长为真正的专家，这全靠他认真对待最初的迷雾故事，而当时其他媒体还把它们当作假新闻。他比任何人都更早更准确地把握了正在发生的事情的重要性。他预见了第三次世界大战及其后果，包括高度极化和意识形态激烈的派系崛起，以及种族、财富、国籍和家族声望作为社会学因素的消亡。

“我们对即将到来的末日理解错误。它不是关于灭绝或生存，而是关于我们在新的食物链中的位置。”

潘多拉病毒还让阿利斯泰尔结识了神童奥莱娜·金。他们二十多年前相遇，从此形影不离，以至于阿利斯泰尔现在自称是她的欧巴（哥哥）。

阿利斯泰尔与凤凰计划之间的关系——如果有的话——仍是谜团，但看起来他与兰道夫·西姆斯三世私交甚笃。","Parfois, Alistair pensait que l'effet du Pandoravirus sur lui ne pouvait être pire, en supposant qu'il était réellement infecté.

Alistair est passé du statut de jeune influenceur ayant abandonné ses études à celui de véritable expert, simplement en prenant au sérieux les premiers récits sur la Brume, alors que le reste des médias les considérait encore comme des fake news. Il a saisi l'importance de ce qui se passait plus tôt et mieux que quiconque. Il a anticipé la Troisième Guerre mondiale et ses conséquences, notamment l'émergence de factions très différentes et chargées d'idéologies, ainsi que la fin de la race, de la richesse, de la nationalité et du prestige familial en tant que facteurs sociologiques pertinents.

« Nous nous trompons sur l'Apocalypse à venir. Il ne s'agit pas d'extinction ou de survie. Il s'agit de notre place dans la nouvelle chaîne alimentaire. »

Le Pandoravirus a également mis Alistair en contact avec l'enfant prodige Olena Kim. Ils se sont rencontrés il y a plus de deux décennies et sont inséparables depuis, à tel point qu'Alistair se considère désormais comme son oppa (grand frère).

Le lien — s'il existe — entre Alistair et le Projet Phénix reste un mystère, mais il semble qu'il ait connu Randolph Symes III personnellement.","Manchmal dachte Alistair, die verändernde Wirkung des Pandoravirus auf ihn hätte kaum größer sein können – selbst wenn er tatsächlich damit infiziert worden wäre.

Alistair wandelte sich vom jungen College-Abbrecher-Influencer zu einem echten Experten – nur weil er die ersten Geschichten vom Nebel ernst nahm, während der Rest der Medien sie noch als Fake News abtat. Er begriff die Tragweite der Ereignisse früher und besser als alle anderen. Er sagte den Dritten Weltkrieg und seine Folgen voraus, darunter den Aufstieg der stark polarisierten und ideologisch aufgeladenen Fraktionen und den Bedeutungsverlust von Rasse, Reichtum, Nationalität und Familienprestige als soziologische Faktoren.

<i>„Wir irren uns, was die kommende Apokalypse angeht. Es geht nicht um Aussterben oder Überleben. Es geht um unseren Platz in der neuen Nahrungskette.“</i>

Das Pandoravirus brachte Alistair auch mit dem Wunderkind Olena Kim in Kontakt. Sie begegneten sich vor über zwei Jahrzehnten und sind seitdem unzertrennlich, so sehr, dass Alistair sich mittlerweile als ihren Oppa (großen Bruder) betrachtet.

Welche Verbindung – wenn überhaupt – zwischen Alistair und dem Phoenix-Projekt besteht, bleibt ein Rätsel, aber es wirkt, als hätte er Randolph Symes III. persönlich gekannt.","","","Иногда Алистеру кажется, что влияние Пандоравируса на него не стало бы сильнее, даже если бы он им заразился.

Алистер прошел путь от молодого дуралея, бросившего колледж, до настоящего гуру, и все потому, что серьезно отнесся к первым сообщениям о Тумане, пока все СМИ все еще считали их фэйками. Он понял значение происходящего раньше и лучше, чем кто-либо другой. Он предвидел Третью мировую войну и ее последствия, включая появление ультра поляризованных и идеологически чуждых друг другу фракций, а также исчезновение рас, богатств, национальностей и семейных ценностей как значимых социологических факторов.

«Мы заблуждаемся относительно грядущего Апокалипсиса. Речь идет не о вымирании или выживании. Речь идет о нашем месте в новой пищевой цепи».

Также из-за Пандоравируса Алистер сошелся с ребенком-вундеркиндом Аленой Ким. Они встретились более двадцати лет назад и с тех пор неразлучны до такой степени, что Алистер считает себя ее старшим братом.

Связь между Алистером и Проектом Феникс остается загадкой, но, похоже, он был лично знаком с Рэндольфом Саймсом 3-м.","",""
"TFTV_LORE_OLENA_TITLE","Text","","Olena Kim","奥莱娜·金","Olena Kim","Olena Kim","","","Алена Ким","",""
"TFTV_LORE_OLENA_DESCRIPTION","Text","","Olena was born in Odesa to a Korean father and a Ukrainian mother, both renowned scholars in archaeology and anthropology. They traveled around the world with their daughter, exposing her to different cultures and languages. A prodigy, Olena bears the imprint of a program for the gifted: an alien within her own species.

She lost her parents during the First Mist. When Alistair Ashby and his band of refugees found her, she was another shell shocked child. In time, he became her friend and confidant, one of the few people who understood her.

Olena never talks about her past unless asked directly. She prefers to focus on the present and future challenges. She is loyal to Alistair and respects his judgment, particularly as to people. She is curious about the various factions but wary of their intentions or agendas.","奥莱娜出生于敖德萨，父亲是韩国人，母亲是乌克兰人，二人均为考古学和人类学著名学者。他们带着女儿周游世界，让她接触不同文化和语言。作为天才，奥莱娜身上带有天赋计划的印记：她是自己物种中的异类。

她在第一次迷雾期间失去了父母。当阿利斯泰尔·阿什比和他的难民团找到她时，她是另一个受惊的孩子。随着时间推移，他成为她的朋友和知己，是少数理解她的人之一。

除非被直接问及，奥莱娜从不谈论过去。她更愿意专注于当前和未来的挑战。她忠于阿利斯泰尔，尊重他的判断，尤其是对人的判断。她对各派系充满好奇，但对他们的意图或议程保持警惕。","Olena est née à Odesa d’un père coréen et d’une mère ukrainienne, tous deux éminents chercheurs en archéologie et en anthropologie. Ils ont voyagé autour du monde avec leur fille, la confrontant à différentes cultures et langues. Prodige, Olena porte l’empreinte d’un programme pour enfants surdoués : une étrangère au sein de sa propre espèce.

Elle perdit ses parents lors de la Première Brume. Lorsque Alistair Ashby et sa bande de réfugiés la trouvèrent, elle n’était qu’un enfant traumatisé. Avec le temps, il devint son ami et confident, l’une des rares personnes à vraiment la comprendre.

Olena ne parle jamais de son passé à moins d’être interrogée directement. Elle préfère se concentrer sur les défis du présent et de l’avenir. Elle est loyale envers Alistair et respecte son jugement, notamment en ce qui concerne les gens. Elle s’intéresse aux différentes factions, mais reste méfiante quant à leurs intentions ou leurs agendas.","Olena wurde in Odessa als Tochter eines koreanischen Vaters und einer ukrainischen Mutter geboren, beides angesehene Archäologen und Anthropologen. Sie bereisten mit ihrer Tochter die Welt und ließen sie verschiedene Kulturen und Sprachen kennenlernen. Als Wunderkind trug Olena die Spuren eines Förderprogramms für Hochbegabte: eine Außenseiterin innerhalb ihrer eigenen Spezies.

Sie verlor ihre Eltern während des Ersten Nebels. Als Alistair Ashby und seine Gruppe von Flüchtlingen sie fanden, war sie ein weiteres traumatisiertes Kind. Mit der Zeit wurde er ihr Freund und Vertrauter, einer der wenigen Menschen, die sie verstanden.

Olena spricht nie über ihre Vergangenheit, es sei denn, sie wird direkt danach gefragt. Sie konzentriert sich lieber auf die Gegenwart und die Herausforderungen der Zukunft. Sie ist Alistair treu ergeben und respektiert sein Urteilsvermögen, insbesondere in Bezug auf Menschen. Sie ist neugierig auf die verschiedenen Fraktionen, aber misstraut deren Absichten und Zielen.","","","Алена родилась в Одессе в семье отца-корейца и матери-украинки, известных ученых в области археологии и антропологии. Они путешествовали с дочерью по всему миру, приобщая ее к разным культурам и языкам. Будучи вундеркиндом, Алена несет на себе отпечаток своего дара: чуждая своему собственному виду.

Она потеряла родителей во время Первого Тумана. Когда Алистер Эшби и его группа беженцев нашли ее, она была еще одним потрясенным ребенком. Со временем он стал ее другом и доверенным лицом, одним из немногих, кто ее понимал.

Алена никогда не говорит о своем прошлом, если ее не спрашивают напрямую. Она предпочитает сосредоточиться на настоящем и будущих проблемах. Она верна Алистеру и уважает его суждения, особенно в отношении людей. Она интересуется различными фракциями, но с опаской относится к их намерениям и планам.","",""
"TFTV_LORE_HELENA_TITLE","Text","","Helena Lewandowski","海伦娜·莱万多夫斯基","Helena Lewandowski","Dr. Helena Lewandowski","","","Хелена Левандовски","",""
"TFTV_LORE_HELAN_DESCRIPTION","Text","","Helena Lewandowski was born in Warsaw, Poland, in 1993. She had a passion for history and archaeology since she was a child, and pursued her studies at the University of Warsaw. She became one of the world’s leading experts on prehistoric cultures and civilizations, especially those that existed before the last ice age. 

In 2019, she joined Project Glory, a secretive attempt to study the nature of enigmatic ruins that predated Homo Sapiens. Project Glory was funded by the Phoenix Project and Vanadium Inc., and was led by Dr. Randolph Symes III, the director of the Phoenix Project at that time.

However, Dr. Symes did not share her enthusiasm or vision. Helena left Project Glory and joined Vanadium Inc., where she continued her research under the supervision of Tobias West, the CEO of Vanadium Inc. In 2022, when the Pandora virus began to spread across the globe, Helena uncovered evidence of an ancient civilization that had advanced technology and knowledge beyond anything known to modern humans. She contacted West and told him about her breakthrough.

However, West suddenly shut down Project Glory and ordered Helena to return to New Jericho’s headquarters. She was later transferred to a prison facility, where she remained until rescued by the Phoenix Project. ","海伦娜·莱万多夫斯基1993年出生于波兰华沙。她从小热爱历史和考古，曾在华沙大学深造。她成为世界领先的史前文化和文明专家，尤其专注于最后一次冰河时代之前的文明。

2019年，她加入了荣耀计划，这是一个秘密项目，旨在研究早于智人存在的神秘遗迹。荣耀计划由凤凰计划和钒公司资助，时任凤凰计划主任兰道夫·西姆斯三世博士领导。

然而，西姆斯博士并不认同她的热情和愿景。海伦娜离开荣耀计划，加入钒公司，在钒公司CEO托比亚斯·韦斯特的监督下继续研究。2022年，当潘多拉病毒开始全球传播时，海伦娜发现了一个拥有超越现代人类认知的先进技术和知识的古代文明证据。她联系了韦斯特，告知了她的突破。

然而，韦斯特突然关闭了荣耀计划，命令海伦娜返回新耶利哥总部。后来她被转移到监狱设施，直到被凤凰计划救出。","Helena Lewandowski est née à Varsovie, en Pologne, en 1993. Passionnée d’histoire et d’archéologie depuis l’enfance, elle a poursuivi ses études à l’Université de Varsovie. Elle est devenue l’une des principales expertes mondiales des cultures et civilisations préhistoriques, en particulier celles ayant existé avant la dernière période glaciaire.

En 2019, elle a rejoint le Projet Gloire, une initiative secrète visant à étudier la nature de ruines énigmatiques datant d’avant l’Homo Sapiens. Le Projet Gloire était financé par le Projet Phénix et Vanadium Inc., et dirigé par le Dr Randolph Symes III, alors directeur du Projet Phénix.

Cependant, le Dr Symes ne partageait ni son enthousiasme ni sa vision. Helena quitta le Projet Gloire et rejoignit Vanadium Inc., où elle poursuivit ses recherches sous la supervision de Tobias West, PDG de Vanadium Inc. En 2022, lorsque le virus Pandora commença à se répandre dans le monde, Helena découvrit des preuves d’une civilisation ancienne possédant une technologie et des connaissances dépassant tout ce que l’humanité moderne connaissait. Elle contacta West pour lui annoncer sa percée.

Cependant, West ferma soudainement le Projet Gloire et ordonna à Helena de retourner au quartier général de la Nouvelle-Jéricho. Elle fut ensuite transférée dans un établissement pénitentiaire, où elle resta jusqu’à ce qu’elle soit secourue par le Projet Phénix.","Dr. Helena Lewandowski wurde 1993 in Warschau, Polen, geboren. Schon als Kind begeisterte sie sich für Geschichte und Archäologie und studierte an der Universität Warschau. Sie zählt zu den weltweit führenden Expertinnen für prähistorische Kulturen und Zivilisationen, insbesondere jener, die vor der letzten Eiszeit existierten.

2019 schloss sie sich dem Projekt Herrlichkeit an, einem geheimnisvollen Vorhaben zur Erforschung rätselhafter Ruinen aus der Zeit vor dem Homo sapiens. Das Projekt Herrlichkeit wurde vom Phoenix-Projekt und Vanadium Inc. finanziert und von Dr. Randolph Symes III., dem damaligen Direktor des Phoenix-Projekts, geleitet.

Dr. Symes teilte jedoch weder ihre Begeisterung noch ihre Vision. Helena verließ Projekt Herrlichkeit und schloss sich Vanadium Inc. an, wo sie ihre Forschung unter der Aufsicht von Tobias West, dem CEO von Vanadium Inc., fortsetzte. Als sich 2022 das Pandoravirus weltweit auszubreiten begann, stieß Helena auf Beweise für eine uralte Zivilisation, deren Technologie und Wissen alles übertrafen, was der modernen Menschheit bekannt war. Sie kontaktierte West und informierte ihn über ihren Durchbruch.

Doch plötzlich stellte West Projekt Herrlichkeit ein und befahl Helena, zum Hauptquartier von Neu-Jericho zurückzukehren. Später wurde sie in eine Haftanstalt verlegt, wo sie bis zu ihrer Befreiung durch das Phoenix-Projekt inhaftiert blieb.","","","Хелена Левандовски родилась в Варшаве, Польша, в 1993 году. Она с детства увлекалась историей и археологией и продолжила обучение в Варшавском университете. Она стала одним из ведущих мировых экспертов по доисторическим культурам и цивилизациям, особенно тем, которые существовали до последнего ледникового периода. 

В 2019 году она присоединилась к проекту «Слава» - тайной попытке изучить природу загадочных руин, существовавших еще до появления человечества. Проект «Слава» под руководством Рэндольфа Саймса 3-его, директора Проекта Феникс на тот момент, финансировался Проектом Феникс и корпорацией Ванадий.

Однако доктор Саймс не разделял ее энтузиазм и идеи. Хелена покинула проект «Слава» и присоединилась к корпорации Ванадий, где продолжила свои исследования под руководством Тобиаса Уэста, генерального директора. В 2022 году, когда Пандоравирус начал распространяться по всему миру, Хелена обнаружила свидетельства существования древней цивилизации, которая обладала технологиями и знаниями, превосходящими все, что известно современным людям. Она связалась с Уэстом и рассказала ему о своем открытии.

Однако Уэст внезапно закрыл проект «Слава» и приказал Хелене вернуться в штаб-квартиру Нового Иерихона. Позже ее перевели в тюрьму, где она оставалась до тех пор, пока ее не спасла команда Проекта Феникс.","",""
"TFTV_LORE_BENNU_TITLE","Text","","Bennu","贝努","Bennu","Bennu","","","Бенну","",""
"TFTV_LORE_BENNU_DESCRIPTION","Text","","The Phoenix Project relies on a number of Limited Artificial Intelligences: task oriented, non replicating software with limited growth potential devoid of internal personality modulators, aggregated under the namespace Bennu. 

Bennu runs the life support on Phoenix bases, assists with research and manufacturing processes, and provides the Director Interface and other critical information, among many other crucial background tasks. They allow the Director maximum control in both strategic and tactical decisions. 

As a data processing unit, Bennu works to present all relevant information in the most succinct, understandable and engaging manner. Like this text here! Hope you enjoyed it!","凤凰计划依赖多个有限人工智能：面向任务、不可复制、成长潜力有限且无内部人格模块的软件，统称为贝努。

贝努负责凤凰基地的生命维持，协助研究和制造流程，提供指挥官界面及其他关键情报，承担众多重要后台任务。它们让指挥官在战略和战术决策中拥有最大控制权。

作为数据处理单元，贝努致力于以最简洁、易懂且引人入胜的方式呈现所有相关信息。就像这里的这段文字！希望你喜欢！","Le Projet Phénix s’appuie sur un certain nombre d’Intelligences Artificielles Limitées : des logiciels orientés tâches, non réplicables, au potentiel de croissance limité et dépourvus de modules de personnalité internes, regroupés sous le nom de Bennu.

Bennu gère le support vital des bases Phénix, assiste dans les processus de recherche et de fabrication, et fournit l’Interface du Directeur ainsi que d’autres informations critiques, parmi de nombreuses autres tâches essentielles en arrière-plan. Elles permettent au Directeur de garder un contrôle maximal sur les décisions stratégiques et tactiques.

En tant qu’unité de traitement de données, Bennu s’efforce de présenter toutes les informations pertinentes de la manière la plus concise, compréhensible et engageante possible. Comme ce texte ici ! Nous espérons que cela vous a plu !","Das Phoenix-Projekt stützt sich auf Bennu: ein Kollektiv aus aufgabenorientierten, limitierten KIs – Software ohne Replikationsdrang, Wachstumspotenzial oder Persönlichkeitskerne.

Bennu überwacht die Lebenserhaltung, steuert Produktionsprozesse und dient als die einzige Schnittstelle, die den Verstand des Direktors mit der brutalen Realität der Datenflut verbindet. Es ist das Rückgrat, das die totale Kontrolle über Leben und Tod auf dem Schlachtfeld ermöglicht.

Als rein analytische Einheit filtert Bennu die Wahrheit in verdauliche Fragmente. Wie dieses hier. Konsumiere die Information, solange dein Bewusstsein noch zur Verarbeitung fähig ist!","","","Проект Феникс опирается на набор слабых искусственных интеллектов - специализированных, не способных к воспроизводству, программ с ограниченным потенциалом самообучения, лишенных какой-либо личности, объединенных вместе в систему под названием Бенну. 

Бенну обеспечивают жизнедеятельность баз Феникса, помогает в исследованиях и производственных процессах, реализует панель управления Директора и доступ к базе данных Проекта Феникс, а также выполняет множество других важнейших фоновых задач. Он позволяет Директору полностью контролировать принятие стратегических и тактических решений. 

Будучи по сути улучшенной версией ChatGPT, Бенну представляет всю необходимую информацию в наиболее краткой, понятной и увлекательной форме, как, например, данный текст! Надеюсь, вам понравилось?!","",""
"TFTV_TIP_GEOSCAPE_1","Text","","Accepting a Diplomacy mission from one faction will normally give you a large penalty with the other factions.","接受一个派系的外交任务通常会导致与其他派系产生较大惩罚。","Accepter une mission de Diplomatie d’une faction entraîne normalement une pénalité importante auprès des autres factions.","Wenn du eine Diplomatie-Mission für eine Fraktion annimmst, bekommst du meist einen großen Malus bei den anderen Fraktionen.","","","Приняв дипломатическое задание от одной фракции, вы обычно получаете большой штраф в отношениях с другими фракциями.","",""
"TFTV_TIP_GEOSCAPE_2","Text","","If you choose to postpone a Diplomacy mission, you will suffer a penalty with the offering faction, and be offered the mission again once you reach the required Diplomacy rating.","如果你选择推迟外交任务，将会受到提供任务派系的惩罚，并且一旦达到所需的外交等级，该任务会再次提供给你。","Si vous choisissez de reporter une mission de Diplomatie, vous subirez une pénalité auprès de la faction qui l’a proposée, et la mission vous sera à nouveau proposée une fois que vous atteindrez le niveau requis de Diplomatie.","Wenn du eine Diplomatie-Mission aufschiebst, erleidest du einen Malus bei der anbietenden Fraktion und bekommst sie erneut angeboten, sobald du die erforderliche Diplomatie-Bewertung erreichst.","","","Если вы решите отложить дипломатическую миссию, вы будите оштрафованы фракцией, предложившей миссию. И вам предложат ее снова не раньше, чем когда вы достигнете требуемого рейтинга дипломатии.","",""
