Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_K2_MISSION_FLAVOUR_TEXT,Text,,DOWNLOAD IMPOSSIBLE WEAPONS RESEARCH,,TÉLÉCHARGER LA RECHERCHE SUR LES MYSTÉRIEUSES ARMES,FORSCHUNG DER UNMÖGLICHEN WAFFEN HERUNTERLADEN,,,СКАЧАТЬ ИССЛЕДОВАНИЕ СУПЕР-ОРУЖИЯ,,
BASEDEFENSE_INFESTATION_OBJECTIVE,Text,,DESTROY THE SPAWNERY AND THE SENTINELS,,DÉTRUISEZ L'INCUBATEUR ET LES SENTINELLES,ZERSTÖRE DIE BRUTKAMMER UND DIE WÄCHTER,,,УНИЧТОЖЬТЕ ИНКУБАТОРЫ И СТРАЖЕЙ,,
BASEDEFENSE_SECOND_OBJECTIVE,Text,,"KILL REMAINING PANDORANS. EGGS, WORMS, MINDFRAGGERS, AND MYRMIDONS CAN BE LEFT FOR THE CLEANING DETAIL.",,"ÉLIMINEZ LES PANDORIENS RESTANTS. LES ŒUFS, VERS, CORRUPTEURS ET MYRMIDONS PEUVENT ÊTRE LAISSÉS AU PERSONNEL DE NETTOYAGE.","TÖTE DIE VERBLEIBENDEN PANDORANER. EIER, WÜRMER, MINDFRAGGER UND MYRMIDONEN KÖNNEN DEM REINIGUNGSTEAM ÜBERLASSEN WERDEN",,,"УНИЧТОЖЬТЕ ОСТАВШИХСЯ ПАНДОРАНОВ. ЯЙЦА, ЧЕРВЕЙ, ПРОМЫВАТЕЛЕЙ И МИРМИДОНОВ ДОБИВАТЬ НЕ ОБЯЗАТЕЛЬНО.",,
BASEDEFENSE_SURVIVE5_OBJECTIVE,Text,,SURVIVE {0} TURNS,,SURVIVRE PENDANT {0} TOURS,ÜBERLEBE {0} RUNDEN,,,ПРОДЕРЖИТЕСЬ {0} ХОДОВ,,
BASEDEFENSE_SURVIVE_COMPLETE,Text,,SURVIVED THE ATTACK,,A SURVÉCU À L'ATTAQUE,ANGRIFF ÜBERLEBT,,,МЫ ВЫЖИЛИ,,
BASEDEFENSE_SURVIVE3_OBJECTIVE,Text,,SURVIVE {0} TURNS,,SURVIVRE PENDANT {0} TOURS,ÜBERLEBE {0} RUNDEN,,,ПРОДЕРЖИТЕСЬ {0} ХОДОВ,,
BASEDEFENSE_SENTINEL_OBJECTIVE,Text,,DESTROY THE SENTINEL,,DÉTRUISEZ LA SENTINELLE,ZERSTÖRE DEN WÄCHTER,,,УНИЧТОЖЬТЕ СТРАЖА,,
BASEDEFENSE_VENTING_PROMPT,Text,,"Activate Emergency Venting? This will stop the incoming wave of Pandoran reinforcements, but it will damage your power generator and cause random fires and explosions around the base!",,"Activer la ventilation d’urgence ? Cela stoppera la vague de renforts Pandoriens, mais endommagera votre générateur et provoquera des incendies et explosions aléatoires dans toute la base  !","Notentlüftung aktivieren? Dadurch wird die anrückende Welle pandoranischer Verstärkung gestoppt, aber der Stromgenerator wird beschädigt und es kommt zu zufälligen Bränden und Explosionen in der Basis!",,,"Активировать аварийную вентиляцию? Это остановит надвигающуюся волну Пандоранских подкреплений, но повредит ваш генератор энергии и вызовет случайные пожары и взрывы по всей базе!",,
CAPTURE_ABILITY_NAME,Text,,PRIORITY SKYHOOK EXTRACTION,,EXTRACTION PRIORITAIRE,PRIORITÄTSEVAKUIERUNG „SKYHOOK“,,,ЗАХВАТИТЬ В ПЕРВУЮ ОЧЕРЕДЬ,,
CAPTURE_ABILITY_DESCRIPTION,Text,,Marks the paralyzed Pandoran for priority extraction and capture at the end of the mission.,,Marque le Pandorien paralysé pour extraction prioritaire à la fin de la mission.,Markiert den gelähmten Pandoraner zur vorrangigen Evakuierung und Gefangennahme am Missionsende.,,,Отмечает парализованного Пандорана для приоритетного захвата в конце миссии.,,
