Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
TFTV_ALL_OPTIONS_TITLE,Text,,SHOW ALL OPTIONS,,AFFICHER TOUTES LES OPTIONS,ALLE EINSTELLUNGEN,,POKAŻ WSZYSTKIE OPCJE,ПОКАЗАТЬ ВСЕ НАСТРОЙКИ,MOSTRAR TODAS LAS OPCIONES,
TFTV_ALL_OPTIONS_DESCRIPTION,Text,,Show all the options.,,Afficher toutes les options.,Zeige alle Einstellungen.,,Pokaż wszystkie opcje.,Показывает все настройки мода,Mostrar todas las opciones,
TFTV_SCAVENGING_OPTIONS_TITLE,Text,,SHOW SCAVENGING SITES OPTIONS (ON NEW GAME ONLY),,AFFICHER LES OPTIONS DES SITES DE RÉCUPÉRATION,BEUTEZÜGE ANPASSEN (NEUE SPIELE),,POKAŻ OPCJE MIEJSC ZBIERACTWA (TYLKO W NOWEJ GRZE),ПОКАЗАТЬ НАСТРОЙКИ РУИН (ДЛЯ НОВОЙ ИГРЫ),MOSTRAR OPCIONES DE SITIOS DE BÚSQUEDA DE BÚSQUEDA (SOLO EN EL NUEVA PARTIDA),
TFTV_SCAVENGING_OPTIONS_DESCRIPTION,Text,,Show additional options for number and type of scavenging sites in game world.,,(NOUVELLE PARTIE UNIQUEMENT) Affiche des options supplémentaires concernant le nombre et le type de sites de récupération.,Einstellungen für Anzahl und Art der Beutestätten im Spiel.,,Pokaż dodatkowe opcje liczby i rodzaju miejsc zbieractwa w świecie gry.,"Показывает дополнительные настройки количества и типов руин (сбор ресурсов, спасение людей, поиск машин) в игровом мире",Mostrar opciones adicionales para la cantidad y el tipo de sitios de búsqueda en el mundo del juego.,
TFTV_TACTICAL_OPTIONS_TITLE,Text,,SHOW OPTIONS FOR TACTICAL,,AFFICHER LES OPTIONS TACTIQUES,TAKTISCHE EINSTELLUNGEN,,POKAŻ OPCJE TAKTYCZNE,ПОКАЗАТЬ НАСТРОЙКИ ТАКТИЧЕСКОГО РЕЖИМА,MOSTRAR OPCIONES PARA TÁCTICA,
TFTV_TACTICAL_OPTIONS_DESCRIPTION,Text,,Show additional options for the turn based Tactical part of the game.,,Affiche des options supplémentaires pour la partie tactique au tour par tour.,Zusätzliche Einstellungen für den rundenbasierten Taktikteil des Spiels.,,Pokaż dodatkowe opcje turowej części taktycznej gry.,Показывает дополнительные настройки для тактического (боевого) режима игры,Muestra opciones adicionales para el Combate por Turnos.,
TFTV_GEOSCAPE_OPTIONS_TITLE,Text,,SHOW OPTIONS FOR GEOSCAPE,,AFFICHER LES OPTIONS DU GEOSCAPE,GEOSCAPE-EINSTELLUNGEN,,POKAŻ OPCJE GEOSKRY,ПОКАЗАТЬ НАСТРОЙКИ ПЛАНЕТАРНОГО РЕЖИМА,MOSTRAR OPCIONES PARA LA GEOSFERA,
TFTV_GEOSCAPE_OPTIONS_DESCRIPTION,Text,,Show additional options for the strategic (or Geoscape) part of the game.,,Affiche des options supplémentaires pour la partie stratégique (Géoscape).,Zusätzliche Einstellungen für den strategischen (oder Geoscape) Teil des Spiels.,,"Pokaż dodatkowe opcje strategicznej części gry, czyli Geoskry.",Показывает дополнительные настройки для стратегического (планетарного) режима игры,Muestra opciones adicionales para la parte estratégica (o Geosfera) del juego.,
TFTV_MISC_OPTIONS_TITLE,Text,,SHOW OTHER OPTIONS,,AFFICHER LES AUTRES OPTIONS,WEITERE EINSTELLUNGEN,,POKAŻ INNE OPCJE,ПОКАЗАТЬ ПРОЧИЕ НАСТРОЙКИ,MOSTRAR OTRAS OPCIONES,
TFTV_MISC_OPTIONS_DESCRIPTION,Text,,Show minor options and adjustments.,,Affiche les options et réglages mineurs.,Kleinere Einstellungen und Anpassungen.,,Pokaż drobne opcje i ustawienia.,Показывает мелкие настройки и регулировки,Mostrar opciones menores y ajustes.,
