"Key","Type","Desc","English","Chinese (Simplified)","French","German","Italian","Polish","Russian","Spanish","UI_Tester"
"VOID_OMEN_TITLE_1","Text","","Ambushes more dangerous and more likely, but have more crates","伏击更危险且更频繁，但有更多资源箱","Les embuscades sont plus dangereuses et plus fréquentes, mais il y a plus de caisses de stockage.","Hinterhalte sind gefährlicher und wahrscheinlicher, enthalten dafür aber mehr plünderbare Kisten","","","Негатив: повышена вероятность особо опасных засад. 
Позитив: где засады - там и ящики с ресурсами","",""
"VOID_OMEN_TITLE_2","Text","","All diplomatic penalties and rewards halved","所有外交惩罚和奖励减半","Toutes les pénalités et récompenses diplomatiques sont réduites de moitié","Diplomatie: Strafen/Belohnungen halbiert","","","Негатив: все награды от фракций уменьшены вдвое.
Позитив: дипломатические штрафы тоже уменьшены вдвое","",""
"VOID_OMEN_TITLE_3","Text","","All abilities cost +50% WP, but Delirium has no effect on WP","所有技能消耗意志力增加50%，但谵妄不影响意志力","Toutes les capacités coûtent +50% de Points de Volonté, mais le Delirium n'a aucun effet sur les Points de Volonté.","Alle Fähigkeiten kosten +50% Willenskraft (WP), dafür beeinflusst Delirium Willenskraft nicht","","","Негатив: все способности стоят +50% к Очкам Воли.
Позитив: Сонное Безумие не влияет на Очки Воли","",""
"VOID_OMEN_TITLE_4","Text","","Max operatives that can be deployed reduced by 2, but +100% experience ","可部署干员上限减少2，但经验获得增加100%","6 unités maximum peuvent être déployées sur n'importe quelle mission, mais +100% d'expérience.","Maximal einsetzbare Einheiten -2, dafür +100% Erfahrung","","","Негатив: максимальное количество бойцов для миссий уменьшено на 2 (до 6).
Позитив: оставшиеся бойцы получают опыт +100%","",""
"VOID_OMEN_TITLE_5","Text","","Haven defenders always hostile, but crates available for looting ","避难所防御者始终敌对，但可掠夺资源箱","Les défenseurs des refuges sont toujours hostiles, mais des caisses sont disponibles pour le pillage.","Zufluchtsverteidiger stets feindselig, Kisten plünderbar","","","Негатив: защитники убежищ всегда настроены враждебно и к бойцам Феникса.
Позитив: в миссиях по защите убежищ присутствуют ящики с ресурсами","",""
"VOID_OMEN_TITLE_6","Text","","Pandorans evolve as they lose missions and colonies, but Phoenix research output increased by 50%","潘多拉体在失去任务和殖民地时进化，但凤凰计划研究产出增加50%","Les pandoriens évoluent au fur et à mesure qu'ils perdent des missions et des colonies.","Pandoraner entwickeln sich mit verlorenen Missionen und Kolonien weiter, Phoenix-Forschung +50%","","","Негатив: Пандораны эволюционируют быстрее, если проигрывают бои и теряют Колонии. 
Позитив: скорость исследований Проекта Феникс увеличена на 50%","",""
"VOID_OMEN_TITLE_7","Text","","More Mist in missions, can deploy one more operative on standard missions","任务中迷雾增多，标准任务可多部署一名干员","Plus de brume dans les missions","Mehr Nebel in Missionen, eine zusätzliche Einheit in Standardmissionen einsetzbar","","","Негатив: больше Тумана во всех миссиях.
Позитив: +1 боец к лимиту (до 9) в стандартных миссиях","",""
"VOID_OMEN_TITLE_7_ALT","Text","","More Mist in missions, but easier to see through","任务中迷雾增多，但更容易看穿","Plus de brume dans les missions","Mehr Nebel in Missionen, dafür bessere Sicht durch den Nebel","","","Негатив: больше Тумана во всех миссиях.
Позитив: но он более прозрачен, чем обычно.","",""
"VOID_OMEN_TITLE_8","Text","","Diplomatic penalties among factions +50%, but research by factions doubled","派系间外交惩罚增加50%，但派系研究产出翻倍","Pénalités diplomatiques entre factions +50%, mais recherche de factions doublée","Diplomatiestrafen zwischen Fraktionen +50%, Fraktionsforschung verdoppelt","","","Негатив: дипломатические штрафы фракций +50%.
Позитив: удвоена скорость исследований во фракциях","",""
"VOID_OMEN_TITLE_9","Text","","Attacks on havens twice as frequent","对避难所的攻击频率加倍","Des attaques deux fois plus fréquentes contre les refuges","Angriffe auf Zufluchten doppelt so häufig","","","Негатив: нападения на убежища стали чаще в два раза","",""
