Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,,UI_Tester
UI_HITPOINTS,Text,,ADDITIONAL HITPOINTS,,,,,,ДОПОЛНИТЕЛЬНЫЕ ХИТЫ,,
UI_TRAMPLE_NAME,Text,,TRAMPLE,,,,,,БОЕВОЙ ОТВАЛ,,
UI_TRAMPLE_DESC,Text,,"This unit can run over Worms, Mindfraggers, and Myrmidons",,,,,,"Может давить Червяков, Промывателей и Мирмидонов",,
UI_LAUNCHMISSILES_DESC,Text,,Launch a missile at a target location,,,,,,Запустить ракету по точке на местности,,
UI_SCARAB_CATEGORY,Text,,ScarabShootCategory,,,,,,Тип стрельбы Скарабея,,
UI_SALVO_DESC,Text,,Launch three missiles at a target location,,,,,,Запустить 3 ракеты по точке на местности,,
UI_DOUBLESHOOT_DESC,Text,,Shoot twice at target enemy or target point.,,,,,,Выстрелить дважды по врагу или точке прицеливания,,
UI_TRIPLESHOOT_DESC,Text,,Shoot three times at target enemy or target point.,,,,,,Выстрелить трижды по врагу или точке прицеливания,,
UI_RELOAD_DESC,Text,,Reload the currently equipped weapon,,,,,,Перезарядить установленное оружие,,
UI_JUNKER_NAME,Text,,JUNKER,,,,,,БРОНЕТРАКТОР НИ-1,,
UI_JUNKER_HULL,Text,,Junker Hull Upgrade,,,,,,Улучшение корпуса Бронетрактора НИ-1,,
UI_JUNKER_ENGINE,Text,,Junker Engine Upgrade,,,,,,Улучшение двигателя Бронетрактора НИ-1,,
UI_JUNKER_GOOGUN,Text,,Junker Goo Turret,,,,,,Слизевая турель Бронетрактора НИ-1,,
UI_JUNKER_SCREAMER,Text,,Junker Sonic Turret,,,,,,Акустическая турель Бронетрактора НИ-1,,
UI_JUNKER_TITAN,Text,,Junker Grenade Launcher Turret,,,,,,Гранатомет Бронетрактора НИ-1,,
UI_JUNKER_MINIGUN,Text,,Junker Minigun,,,,,,Пулемет Бронетрактора НИ-1,,
UI_JUNKER_WHEEL,Text,,Junker Wheel,,,,,,Колесо Бронетрактора НИ-1,,
AN_MUTOG_BASHER_NAME,Text,,BASHER TAIL,,,,,,БОЕВОЙ ХЛЫСТ,,
AN_MUTOG_BASHER_DESC,Text,,Performs an attack that can shred armor and daze an enemy,,,,,,"Выполняет атаку, которая может Оглушить врага и Разорвать его броню",,
KB_DEATHPROOF_NAME,Text,,Deathproof,,,,,,Турбина,,
KB_KNR_NAME,Text,,KILL'N'RUN,,,,,,МАНЕВР СКОРОСТЬЮ,,
KB_KNR_DESC,Text,,"Once per turn, take a free 12-tile move after killing an enemy",,,,,,"Уничтожив врага, переместитесь бесплатно на 12 клеток. Один раз за ход",,
KB_SLAUGHTERHOUSE_NAME,Text,,Slaughterhouse,,,,,,Шипы,,
KB_GUNNERMODULE_NAME,Text,,Gunner's Cockpit,,,,,,Турель стрелка,,
KB_MANNEDGUNNER_NAME,Text,,GUNNER OVERRIDE,,,,,,РУЧНАЯ НАВОДКА ОРУДИЯ,,
KB_MANNEDGUNNER_DESC,Text,,Action Point costs for firing Weapons are reduced by 1 while a passenger is inside,,,,,,"Очки Действий за стрельбу из оружия снижаются на 1, пока внутри машины находится боец",,
KB_EXITGUNNER_NAME,Text,,OBSTRUCTED EXIT,,,,,,УЗКИЙ ЛЮК,,
KB_EXITGUNNER_DESC,Text,,Exiting the vehicle costs 3 Action Points,,,,,,Десантирование из машины стоит 3 Очка Действий,,
KB_KAMIKAZE_NAME,Text,,KAMIKAZE,,,,,,КАМИКАДЗЕ,,
KB_KAMIKAZE_DESC,Text,,"The vehicle explodes upon death, causing significant damage to nearby targets",,,,,,"Машина взрывается при уничтожении, повреждая все вокруг",,
SY_KINETIC_NAME,Text,,KINETIC SHIELD,,,,,,БАЛЛИСТИЧЕСКИЙ ЩИТ,,
SY_KINETIC_DESC,Text,,Attacks from enemies further than 10 tiles deal 25% less damage,,,,,,"Атаки врагов, находящихся на расстоянии более 10 клеток, наносят на 25% меньше урона",,
SY_STASIS_NAME,Text,,STASIS CHAMBER,,,,,,СТАЗИС-КАМЕРА,,
SY_STASIS_DESC,Text,,Passengers Restore 80 Hit Points and 5 Will Points at the start of each turn,,,,,,Пассажиры восстанавливают 80 хитов и 5 Очков Воли в начале каждого хода,,
SY_NAVMODULE_NAME,Text,,Navigation Beacon,,,,,,Система навигации,,
SY_DETECTION_NAME,Text,,ENHANCED MOTION DETECTION,,,,,,УЛУЧШЕННЫЙ РАДАР,,
SY_DETECTION_DESC,Text,,"Locate all enemies within 20 tiles, even behind obstructions",,,,,,"Обнаруживает всех врагов в радиусе 20 клеток, даже за препятствиями",,
SY_MISTREPELLER_NAME,Text,,ENHANCED MIST REPELLER,,,,,,УЛУЧШЕННЫЙ РАССЕИВАТЕЛЬ ТУМАНА,,
SY_MISTREPELLER_DESC,Text,,Remove all Mist in a 3 tile radius while moving. Allies within this radius are immune to the effects of Mist,,,,,,При перемещении машины Туман в радиусе 3-х клеток рассеивается. Союзники в пределах этого радиуса невосприимчивы к эффектам Тумана,,
SY_MISTIMMUNITY_NAME,Text,,IMMUNE TO MIST,,,,,,НЕВОСПРИИМЧИВОСТЬ К ТУМАНУ,,
SY_MISTIMMUNITY_DESC,Text,,Actor is immune to the effects of Mist,,,,,,Туман на вас не действует,,
SY_JAMMER_DESC,Text,,"All enemy units within 12 tiles become DISORIENTED, preventing the use of Will Point abilities",,,,,,Все враги в радиусе 12 клеток дезориентируются (не могут использовать Очки Воли один ход),,
SY_HYBRID_NAME,Text,,Hermes X1,,,,,,Распылитель «Гермес Х1»,,
SY_STIM_NAME,Text,,STIM CLOUD,,,,,,БОДРЯЩИЙ ГАЗ,,
SY_STIM_DESC,Text,,All allies within 5 tiles recover 2 Action Points,,,,,,Все союзники в радиусе 5 клеток восстанавливают по 2 Очка Действий,,
SY_THRUSTERS_NAME,Text,,Cleric X2,,,,,,Распылитель «Клирик Х2»,,
SY_CURE_NAME,Text,,CURE CLOUD,,,,,,ЦЕЛЕБНЫЙ ГАЗ,,
SY_CURE_DESC,Text,,"Removes all Paralysis, Bleeding, Poison, Strained, Infected, Dazed and Slowed status effects from all allied units within 10 tiles",,,,,,"Снимает все статусные эффекты Паралича, Кровотечения, Отравления, Усталости, Заражения, Оглушения и Замедления со всех союзных юнитов в радиусе 10 клеток",,
SY_ARMOUR_NAME,Text,,RESTORE ARMOR,,,,,,ДРОИД ПО РЕМОНТУ БРОНИ,,
SY_ARMOUR_DESC,Text,,Restore 10 armor to all allied units within 10 tiles,,,,,,Восстанавливает 10 очков брони всем дружественным юнитам в радиусе 10 клеток,,
PX_LAZARUS_NAME,Text,,Lazarus Shield,,,,,,Щит Лазаря,,
PX_VANISH_NAME,Text,,VANISH,,,,,,УКРЫТЬСЯ,,
PX_VANISH_DESC,Text,,Disappear from view for the next turn (or until spotted),,,,,,Исчезнуть с поля зрения врагов до конца следующего хода (или пока не столкнетесь),,
PX_HIDDEN_NAME,Text,,HIDDEN,,,,,,МАСКИРОВОЧНАЯ СЕТЬ,,
PX_HIDDEN_DESC,Text,,Vehicle is hidden,,,,,,Машина скрыта,,
PX_DEPLOY_NAME,Text,,Deployment Bay,,,,,,Десантный отсек,,
PX_EJECT_NAME,Text,,EJECT,,,,,,БОЕВОЕ ДЕСАНТИРОВАНИЕ,,
PX_EJECT_DESC,Text,,"Until the end of the turn, exiting the vehicle does not cost any Action Points",,,,,,До конца хода выйти из машины можно бесплатно,,
PX_STABILITY_NAME,Text,,Reinforced Stabilisers,,,,,,Усиленные стабилизаторы,,
PX_AMMUNITION_NAME,Text,,Ammunition Racks,,,,,,Дополнительная боеукладка,,
NJ_REINFORCED_NAME,Text,,REINFORCED ARMOR PLATING,,,,,,УСИЛЕННАЯ БРОНЯ,,
NJ_REINFORCED_DESC,Text,,Hull Armors gain 50 Hit Points,,,,,,Броня корпуса получает +50 очков,,
NJ_LIGHTWEIGHT_NAME,Text,,FAST ENTRY,,,,,,АВТОМАТИЧЕСКИЙ ЛЮК,,
NJ_LIGHTWEIGHT_DESC,Text,,Entering the vehicle does not cost any Action Points,,,,,,Позволяет бесплатно забраться в машину,,
NJ_GASTANKS_NAME,Text,,Gas Tanks,,,,,,Газовая турбина,,
NJ_TRACTION_NAME,Text,,REINFORCED SUSPENSION,,,,,,УСИЛЕННАЯ ПОДВЕСКА,,
NJ_TRACTION_DESC,Text,,Grants +10 Armor and +100 Hit Points to all wheels,,,,,,Дает +10 брони и +100 хитов всем колесам,,
NJ_BLASTVULN_NAME,Text,,VULNERABLE TO BLASTS,,,,,,СНИЖЕННАЯ ВЗРЫВОСТОЙКОСТЬ,,
NJ_BLASTVULN_DESC,Text,,Double effect of Blast Damage,,,,,,Взрывы будут наносить двойной урон,,
NJ_OBLITERATOR_NAME,Text,,OBLITERATOR,,,,,,УНИЧТОЖИТЕЛЬ,,
NJ_OBLITERATOR_DESC,Text,,Grants a secondary firemode specialised in single-target takedown,,,,,,"Предоставляет дополнительный режим ведения огня, заточенный под уничтожение одиночных целей",,
NJ_INCENDIARY_NAME,Text,,LOAD INCENDIARY GRENADES,,,,,,ЗАЖИГАТЕЛЬНЫЕ ГРАНАТЫ,,
NJ_INCENDIARY_DESC,Text,,Load Incendiary Grenades that deal 40 additional Fire Damage,,,,,,"Зарядить зажигательные гранаты, дающие дополнительно 40 Огненного урона",,
NJ_CONCUSSION_NAME,Text,,LOAD CONCUSSION GRENADES,,,,,,ОГЛУШАЮЩИЕ ГРАНАТЫ,,
NJ_CONCUSSION_DESC,Text,,Load Concussion Grenades that deal 30 additional Sonic Damage,,,,,,"Зарядить фугасные гранаты, дающие дополнительно 30 Оглушающего урона",,
